,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,678,834,797,1184,722,873,1093,686,586,805,-
1,Market Cap Growth,-18.69%,-29.56%,10.31%,35.70%,-33.90%,27.22%,86.55%,-14.78%,-,-,-
2,Enterprise Value,304,525,489,875,450,410,764,355,250,771,-
3,Last Close Price,0.91,1.10,0.96,1.41,0.80,0.87,1.06,0.63,0.54,0.73,-
4,PE Ratio,8.03,8.02,6.70,15.61,27.04,-,9.63,7.29,21.06,-,-
5,Forward PE,4.84,5.61,4.91,9.11,6.89,-,-,-,-,-,-
6,PS Ratio,0.73,0.83,0.75,1.26,0.92,1.08,0.98,0.74,1.08,1.59,-
7,PB Ratio,1.83,2.41,2.01,3.38,1.81,1.82,2.07,1.38,1.32,2.07,-
8,P/TBV Ratio,1.84,2.64,2.20,3.74,1.96,1.98,2.25,1.48,1.41,2.20,-
9,P/FCF Ratio,-,6.63,6.32,4.94,11.05,-,5.20,21.83,-16.47,-,-
10,P/OCF Ratio,-,6.56,6.28,4.90,10.48,-,5.08,21.24,-16.97,-,-
11,PEG Ratio,0.10,0.10,0.10,0.10,0.10,-,-,-,-,-,-
12,EV/Sales Ratio,0.34,0.52,0.46,0.93,0.57,0.51,0.69,0.38,0.46,1.53,-
13,EV/EBITDA Ratio,2.61,3.38,2.90,8.23,9.48,-,4.54,2.73,7.10,-,-
14,EV/EBIT Ratio,2.67,3.43,2.94,8.43,9.97,-,4.57,2.75,7.30,-,-
15,EV/FCF Ratio,-,4.17,3.88,3.65,6.89,-,3.64,11.29,-7.03,-,-
16,Debt / Equity Ratio,0.02,0.03,0.02,0.02,0.03,0.03,0.02,0.03,0.04,0.04,1.28
17,Debt / FCF Ratio,-,0.08,0.06,0.04,0.17,-,0.05,0.43,-0.46,-,0.88
18,Return on Capital Employed (ROCE),27.68%,42.98%,41.17%,28.90%,11.00%,-,31.22%,25.44%,7.54%,-,60.74%
19,Earnings Yield,12.44%,12.47%,14.93%,6.41%,3.70%,6.51%,10.39%,13.71%,4.75%,-0.94%,-
20,FCF Yield,15.09%,15.82%,20.26%,9.05%,5.29%,19.22%,4.58%,-6.07%,6.57%,-,
21,Dividend Yield,13.82%,7.26%,8.46%,1.41%,-,-,2.86%,1.63%,-,-,-
22,Buyback Yield / Dilution,-0.60%,0.12%,0.17%,-1.34%,0.43%,0.71%,2.57%,5.01%,-26.41%,-29.86%,-
23,Total Shareholder Return,13.23%,7.38%,8.63%,0.07%,0.43%,0.71%,5.42%,6.64%,-26.41%,-29.86%,-
