,Fiscal Quarter,Q2 2024,Q1 2024,Q2 2023,Q1 2023
,Period Ending,"Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023"
0,Revenue,112.45,112.45,105.89,105.89
1,Cost of Revenue,74.11,74.11,66.83,66.83
2,Gross Profit,38.34,38.34,39.05,39.05
3,"Selling, General & Admin",17.94,17.94,15.15,15.15
4,Research & Development,7.36,7.36,8.2,8.2
5,Other Operating Expenses,0.81,0.81,0.89,0.89
6,Operating Expenses,27,27,25.04,25.04
7,Operating Income,11.34,11.34,14.02,14.02
8,Interest Expense,-1.42,-1.42,-1.21,-1.21
9,Interest & Investment Income,0.07,0.07,0.05,0.05
10,Earnings From Equity Investments,0.19,0.19,0,0
11,Other Non Operating Income (Expenses),-2.43,-2.43,-2.97,-2.97
12,EBT Excluding Unusual Items,7.76,7.76,9.89,9.89
13,Legal Settlements,-,-,0.07,0.07
14,Pretax Income,7.76,7.76,9.96,9.96
15,Income Tax Expense,2,2,2.75,2.75
16,Net Income,5.76,5.76,7.21,7.21
17,Net Income to Common,5.76,5.76,7.21,7.21
18,Shares Outstanding (Basic),375,375,375,375
19,Shares Outstanding (Diluted),375,375,375,375
20,EPS (Basic),0.02,0.02,0.02,0.02
21,EPS (Diluted),0.02,0.02,0.02,0.02
22,Free Cash Flow,-7.04,-7.04,-13.89,-13.89
23,Free Cash Flow Per Share,-0.02,-0.02,-0.04,-0.04
24,Gross Margin,34.10%,34.10%,36.88%,36.88%
25,Operating Margin,10.09%,10.09%,13.24%,13.24%
26,Profit Margin,5.12%,5.12%,6.81%,6.81%
27,Free Cash Flow Margin,-6.26%,-6.26%,-13.12%,-13.12%
28,EBITDA,13.14,13.14,15.69,15.69
29,EBITDA Margin,11.69%,11.69%,14.81%,14.81%
30,D&A For EBITDA,1.8,1.8,1.67,1.67
31,EBIT,11.34,11.34,14.02,14.02
32,EBIT Margin,10.09%,10.09%,13.24%,13.24%
33,Effective Tax Rate,25.72%,25.72%,27.57%,27.57%
