,Fiscal Quarter,Current,Q2 2024,Q1 2024,Q2 2023,Q1 2023
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023"
0,Debt / Equity Ratio,0.45,0.45,0.45,-,0.33
1,Debt / EBITDA Ratio,1.49,2.28,2.28,-,1.21
2,Asset Turnover,0.72,-,-,-,
3,Inventory Turnover,-,5.06,-,-,-
4,Quick Ratio,1.22,1.22,1.22,-,-
5,Current Ratio,1.69,1.69,1.69,-,-
6,Return on Equity (ROE),8.04%,-,-,-,
7,Return on Assets (ROA),4.52%,-,-,-,
8,Return on Capital (ROIC),6.81%,-,-,-,
9,Return on Capital Employed (ROCE),23.10%,15.36%,11.93%,-,-
10,Payout Ratio,17.79%,80.75%,80.75%,-,-
