,Fiscal Quarter,Q2 2024,Q1 2024,Q2 2023,Q1 2023
,Period Ending,"Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023"
0,Cash & Equivalents,21.67,21.67,-,-
1,Cash & Short-Term Investments,21.67,21.67,-,29.21
2,Receivables,341.94,341.94,-,-
3,Inventory,58.64,58.64,-,-
4,Other Current Assets,79.19,79.19,-,-
5,Total Current Assets,501.44,501.44,-,-
6,"Property, Plant & Equipment",93.5,93.5,-,-
7,Long-Term Investments,15.25,15.25,-,-
8,Other Intangible Assets,2.25,2.25,-,-
9,Long-Term Deferred Tax Assets,3.54,3.54,-,-
10,Other Long-Term Assets,11.04,11.04,-,-
11,Total Assets,627.01,627.01,-,-
12,Accounts Payable,125.46,125.46,-,-
13,Accrued Expenses,36.26,36.26,-,-
14,Current Portion of Long-Term Debt,84.9,84.9,-,-
15,Current Portion of Leases,1.41,1.41,-,-
16,Current Income Taxes Payable,4.7,4.7,-,-
17,Current Unearned Revenue,43.35,43.35,-,-
18,Other Current Liabilities,0.8,0.8,-,-
19,Total Current Liabilities,296.88,296.88,-,-
20,Long-Term Debt,42.25,42.25,-,-
21,Long-Term Leases,1.25,1.25,-,-
22,Total Liabilities,340.38,340.38,-,-
23,Retained Earnings,248.13,248.13,-,-
24,Comprehensive Income & Other,38.2,38.2,-,-
25,Total Common Equity,286.33,286.33,-,240.49
26,Minority Interest,0.3,0.3,-,-
27,Shareholders' Equity,286.63,286.63,-,240.49
28,Total Liabilities & Equity,627.01,627.01,-,-
29,Total Debt,129.82,129.82,-,78.6
30,Net Cash (Debt),-108.15,-108.15,-,-49.39
31,Net Cash Per Share,-0.29,-0.29,-,-0.13
32,Filing Date Shares Outstanding,374.89,374.89,375,375
33,Total Common Shares Outstanding,374.89,374.89,375,375
34,Working Capital,204.56,204.56,-,-
35,Book Value Per Share,0.76,0.76,-,0.48
36,Tangible Book Value,284.09,284.09,-,239.34
37,Tangible Book Value Per Share,0.76,0.76,-,0.48
