,Fiscal Quarter,H1 2024,H1 2023,H1 2018
,Period Ending,"Jun '24 Jun 30, 2024","Jun '23 Jun 30, 2023","Jun '18 Jun 30, 2018"
0,Cash & Equivalents,384.18,-,328.56
1,Short-Term Investments,12.33,-,-
2,Trading Asset Securities,92.79,-,-
3,Cash & Short-Term Investments,489.3,-,328.56
4,Cash Growth,48.92%,-,-
5,Accounts Receivable,250.76,-,16.8
6,Other Receivables,-,-,5
7,Receivables,250.76,-,21.8
8,Inventory,22.92,-,-
9,Prepaid Expenses,92.3,-,-
10,Other Current Assets,-,-,154.57
11,Total Current Assets,855.28,-,504.93
12,"Property, Plant & Equipment",218.64,-,44.08
13,Long-Term Investments,41.63,-,16.88
14,Other Intangible Assets,0.1,-,6.36
15,Long-Term Deferred Tax Assets,0.57,-,0.31
16,Long-Term Deferred Charges,-,-,0.93
17,Other Long-Term Assets,0.02,-,0.13
18,Total Assets,1116,-,573.62
19,Accounts Payable,84.38,-,2.59
20,Accrued Expenses,7.65,-,2.41
21,Current Income Taxes Payable,2.11,-,2.71
22,Current Unearned Revenue,25.08,-,53.21
23,Other Current Liabilities,7.09,-,0.12
24,Total Current Liabilities,126.32,-,61.05
25,Long-Term Debt,-,-,6
26,Long-Term Deferred Tax Liabilities,0.92,-,-
27,Total Liabilities,127.24,-,67.05
28,Common Stock,50.12,-,45
29,Additional Paid-In Capital,771.77,-,408
30,Retained Earnings,147.14,-,53.52
31,Comprehensive Income & Other,20.29,-,-
32,Total Common Equity,989.32,-,506.52
33,Minority Interest,-0.32,-,0.05
34,Shareholders' Equity,989,-,506.57
35,Total Liabilities & Equity,1116,-,573.62
36,Total Debt,-,-,6
37,Net Cash (Debt),489.3,-,322.56
38,Net Cash Growth,51.69%,-,-
39,Net Cash Per Share,10.78,-,7.23
40,Filing Date Shares Outstanding,50.12,45.3,44.61
41,Total Common Shares Outstanding,50.12,45.3,44.61
42,Working Capital,728.96,-,443.88
43,Book Value Per Share,19.74,-,11.35
44,Tangible Book Value,989.22,-,500.16
45,Tangible Book Value Per Share,19.74,-,11.21
46,Buildings,-,-,38.55
47,Machinery,-,-,2.78
48,Construction In Progress,-,-,7.06
