,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022"
0,Market Capitalization,5530,38969,-,-,-,-
1,Enterprise Value,8544,42123,-,-,-,-
2,Last Close Price,7.72,54.40,-,-,-,-
3,PS Ratio,10.58,76.76,-,-,-,-
4,PB Ratio,2.70,16.81,-,-,-,-
5,P/TBV Ratio,33.70,33.70,-,-,-,-
6,EV/Sales Ratio,16.83,82.98,-,-,-,-
7,Debt / Equity Ratio,1.34,1.34,1.41,1.40,1.43,-
8,Debt / FCF Ratio,-,-,110.47,-,-16.24,-
9,Earnings Yield,-7.01%,-0.99%,-,-,-,-
10,FCF Yield,-3.67%,-0.52%,-,-,-,-
11,Buyback Yield / Dilution,-6.68%,-9.56%,-,-,-,-
12,Total Shareholder Return,-6.68%,-9.56%,-,-,-,-
