,no,s,n,marketCap,price,change,revenue,url
48,49,hose/NVL,No Va Land Investment Group Corporation,20281087195200.0,10500,-0.47393364928909953,9073375473961.0,quote/hose/NVL
49,50,hose/GEX,GELEX Group JSC,19766885239000.0,22800,-0.6535947712418301,33752305412973.0,quote/hose/GEX
50,51,hose/SIP,Sai Gon VRG Investment Corporation,18969059610300.0,92000,0.9879253567508232,6004978043219.0,quote/hose/SIP
51,52,hose/VTP,Viettel Post Joint Stock Corporation,18352704429400.0,150700,-0.7899934167215273,,quote/hose/VTP
52,53,hose/DCM,Petrovietnam Camau Fertilizer JSC,18105480000000.0,34750,-0.14367816091954022,13455585149640.0,quote/hose/DCM
53,54,hose/VPI,Van Phu - Invest Investment JSC,17954781269700.0,56300,0.0,1898039523381.0,quote/hose/VPI
54,55,hose/PDR,Phat Dat Real Estate Development Corporation,17899371701500.0,20600,0.9803921568627452,2017086004127.0,quote/hose/PDR
55,56,hose/VIX,VIX Securities JSC,17793860710600.0,12200,-2.0080321285140563,1756972818912.0,quote/hose/VIX
56,57,hose/KDC,KIDO Group Corporation,16374056854000.0,56500,-0.176678445229682,7755444967836.0,quote/hose/KDC
57,58,hose/FTS,FPT Securities JSC,15510111856200.0,51700,1.7716535433070866,1147748531060.0,quote/hose/FTS
58,59,hose/VHC,Vinh Hoan Corporation,15240369496100.0,67900,0.29542097488921715,12535149032218.0,quote/hose/VHC
59,60,hose/DPM,PetroVietnam Fertilizer and Chemicals Corporation - JSC,13951066369000.0,36500,-0.6802721088435374,13496142223703.0,quote/hose/DPM
60,61,hose/HAG,Hoang Anh Gia Lai JSC,13428970894100.0,12500,-0.398406374501992,5601910390000.0,quote/hose/HAG
61,62,hose/CTR,Viettel Construction Joint Stock Corporation,13154376085000.0,117100,-1.3479359730412803,,quote/hose/CTR
62,63,hose/DHG,DHG Pharmaceutical JSC,13139980135500.0,100500,-0.691699604743083,4884867655092.0,quote/hose/DHG
63,64,hose/PVD,Petrovietnam Drilling and Well Services Corporation,13063180141000.0,23650,-0.8385744234800839,9521185449210.0,quote/hose/PVD
64,65,hose/NLG,Nam Long Investment Corporation,12900022684000.0,33100,-1.1940298507462688,7196050482193.0,quote/hose/NLG
65,66,hose/VSH,Vinh Son - Song Hinh Hydropower JSC,12757027284000.0,53700,-0.18587360594795535,1825139095390.0,quote/hose/VSH
66,67,hose/VCG,Vietnam Construction and Import-Export Joint Stock Corporation,12510603272200.0,20900,-5.429864253393665,12872959173073.0,quote/hose/VCG
67,68,hose/BSI,BIDV Securities JSC,12446787115800.0,55800,-1.238938053097345,1229390167704.0,quote/hose/BSI
68,69,hose/DIG,Development Investment Construction Joint Stock Corporation,12258025099500.0,20350,0.9925558312655088,1314524344563.0,quote/hose/DIG
69,70,hose/SBT,Thanh Thanh Cong - Bien Hoa JSC,12218175570000.0,14950,-0.33333333333333337,29996224235326.0,quote/hose/SBT
70,71,hose/HSG,Hoa Sen Group,11705516524650.0,18900,-0.7874015748031495,39271893738448.0,quote/hose/HSG
71,72,hose/DXG,Dat Xanh Group JSC,11567290131750.0,16050,-3.0211480362537766,4733193172494.0,quote/hose/DXG
72,73,hose/TCH,Hoang Huy Investment Financial Services JSC,11526723291750.0,17900,0.2801120448179272,5479543121941.0,quote/hose/TCH
73,74,hose/SJS,SJ Group JSC,11401137748000.0,101000,-0.09891196834817012,643025047001.0,quote/hose/SJS
74,75,hose/DBC,Dabaco Group JSC,10157208550750.0,30150,-2.1103896103896105,13573523231898.0,quote/hose/DBC
75,76,hose/BMP,Binh Minh Plastics JSC,9847870841400.0,124300,1.8018018018018016,4615678655546.0,quote/hose/BMP
76,77,hose/BWE,Binh Duong Water - Environment Corporation JSC,9764831793600.0,44900,0.0,3958997823072.0,quote/hose/BWE
77,78,hose/HDG,Ha Do Group JSC,9400466235550.0,27950,0.0,2719227682602.0,quote/hose/HDG
78,79,hose/PVT,PetroVietnam Transportation Corporation,9344323532800.0,25900,-0.7662835249042145,11732148061983.0,quote/hose/PVT
79,80,hose/CMG,CMC Corporation,8971366317150.0,42450,0.4733727810650888,7952694383189.0,quote/hose/CMG
80,81,hose/DGW,Digiworld Corporation,8810581740000.0,41500,2.091020910209102,22078260362207.0,quote/hose/DGW
81,82,hose/PHR,Phuoc Hoa Rubber JSC,8699048511600.001,64800,0.46511627906976744,1633090518901.0,quote/hose/PHR
82,83,hose/BHN,Hanoi Beer Alcohol and Beverage Joint Stock Corporation,8588190000000.0,36500,-5.4404145077720205,8219620812274.0,quote/hose/BHN
83,84,hose/CTD,Coteccons Construction JSC,8484058188600.0,84900,-4.606741573033708,22905777578080.0,quote/hose/CTD
84,85,hose/KOS,KOSY JSC,8367003597750.0,39000,-1.1406844106463878,1438926718406.0,quote/hose/KOS
85,86,hose/PC1,PC1 Group JSC,8261532995100.0,24000,1.2658227848101269,10078077470632.0,quote/hose/PC1
86,87,hose/BAF,BAF Vietnam Agriculture JSC,8114784745900.0,34000,0.14727540500736375,,quote/hose/BAF
87,88,hose/SZC,Sonadezi Chau Duc Shareholding Company,8063366662400.0,44800,-2.50272034820457,942758904830.0,quote/hose/SZC
88,89,hose/EVF,EVN Finance JSC,7947912630900.0,10550,0.4761904761904762,1248647000000.0,quote/hose/EVF
89,90,hose/IMP,Imexpharm Corporation,7423231968400.0,46600,1.4145810663764962,2205119938413.0,quote/hose/IMP
90,91,hose/NKG,Nam Kim Steel JSC,7205891184100.0,16100,0.3115264797507788,20609022190077.0,quote/hose/NKG
91,92,hose/TMS,Transimex Corporation,7129059703500.0,42100,0.0,3320991190376.0,quote/hose/TMS
92,93,hose/SCS,Saigon Cargo Service Corporation,7002659271600.0,73800,-0.2702702702702703,1036882045512.0,quote/hose/SCS
93,94,hose/ACG,An Cuong Wood - Working JSC,6001360250800.0,39450,-1.0037641154328731,3916072016259.0,quote/hose/ACG
94,95,hose/HAH,Hai An Transport And Stevedoring JSC,5921542840800.0,48800,-3.937007874015748,3992094957163.0,quote/hose/HAH
95,96,hose/IJC,Becamex Infrastructure Development JSC,5855099952000.0,15500,-2.8213166144200628,1020637132951.0,quote/hose/IJC
96,97,hose/HNA,Hua Na Hydropower JSC,5833758808000.0,25000,0.0,854580386608.0,quote/hose/HNA
97,98,hose/CTS,Vietnam Bank for Industry and Trade Securities JSC,5830541791200.0,39200,0.3841229193341869,932863394280.0,quote/hose/CTS
98,99,hose/VCF,Vinacafé Bien Hoa JSC,5823488478500.0,219100,2.335357309668379,2556279078149.0,quote/hose/VCF
