,Fiscal Quarter,Current,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020",+2 Quarters
0,Market Capitalization,74,53,47,62,127,788,277,173,117,118,177,Upgrade
1,Market Cap Growth,-13.54%,-13.54%,-62.63%,-92.18%,-54.17%,354.81%,137.36%,46.74%,-34.06%,-20.69%,-44.80%,Upgrade
2,Enterprise Value,65,47,42,45,112,772,253,85,26,30,85,Upgrade
3,Last Close Price,0.58,0.40,0.36,0.47,0.96,5.95,2.09,1.27,0.84,0.80,1.17,Upgrade
4,PE Ratio,-,-,-,-,-,-,-,36.85,12.20,27.08,-,Upgrade
5,PS Ratio,1.46,1.04,0.87,1.19,2.47,16.89,7.98,5.46,3.05,2.87,4.00,Upgrade
6,PB Ratio,1.08,0.77,0.67,0.79,1.59,9.41,3.17,1.85,1.22,1.23,1.84,Upgrade
7,P/TBV Ratio,0.77,0.77,0.67,0.79,1.59,9.41,3.17,1.85,1.22,1.23,1.84,Upgrade
8,P/FCF Ratio,14.05,10.06,-68.92,-,-,-374.89,-,-,20.08,14.64,19.90,Upgrade
9,P/OCF Ratio,9.74,9.74,220.87,-,-,342.47,169.76,70.86,19.45,14.36,19.42,Upgrade
10,EV/Sales Ratio,1.28,0.93,0.78,0.86,2.17,16.54,7.29,2.67,0.69,0.73,1.91,Upgrade
11,EV/EBITDA Ratio,-,-,-,-31.17,-,-,389.69,295.35,-,-27.16,-,Upgrade
12,EV/EBIT Ratio,-,-,-,-,-,-,-,-,-,-21.45,-,Upgrade
13,EV/FCF Ratio,12.28,8.92,-61.27,-,-,-367.27,-,-,4.55,3.71,9.53,Upgrade
14,Debt / Equity Ratio,0.05,0.05,0.10,0.10,0.02,0.04,0.05,0.07,0.01,0.02,0.02,Upgrade
15,Debt / FCF Ratio,0.60,0.60,-9.81,-,-,-1.41,-,-,0.21,0.19,0.21,Upgrade
16,Return on Capital Employed (ROCE),-,-,-,-,-,-,-,-,-,-1.44%,-,Upgrade
17,Earnings Yield,-11.66%,-16.29%,-19.32%,-9.47%,-5.60%,-0.61%,-0.36%,2.71%,8.20%,3.69%,1.42%,Upgrade
18,FCF Yield,7.12%,9.95%,-1.45%,-10.23%,-0.73%,-0.27%,-12.26%,-16.72%,4.98%,6.83%,5.03%,Upgrade
19,Dividend Yield,6.90%,4.97%,-,-,-,-,-,5.52%,9.49%,10.02%,4.26%,Upgrade
20,Buyback Yield / Dilution,-,-,-,-,-,-,-,-,-,0.27%,Upgrade,
21,Total Shareholder Return,6.90%,4.97%,-,-,-,-,-,5.52%,9.49%,10.02%,4.53%,Upgrade
