Stock Symbol,Date,Stock Price
000032,2024-09-30,17.31
000032,2024-06-30,14.98
000032,2024-03-31,17.96
000032,2023-12-31,21.03
000032,2023-09-30,22.22
000032,2023-06-30,32.66
000032,2023-03-31,32.74
000032,2022-12-31,19.96
000032,2022-09-30,12.01
000032,2022-06-30,14.84
000032,2022-03-31,17.93
000032,2021-12-31,20.41
000032,2021-09-30,17.89
000032,2021-06-30,18.73
000032,2021-03-31,22.39
000032,2020-12-31,17.62
000032,2020-09-30,20.42
000032,2020-06-30,21.41
000032,2020-03-31,14.25
000032,2019-12-31,13.92
