,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,972,1244,288,265,112,33,88,94,135,117,158,Upgrade
1,Market Cap Growth,368.91%,368.91%,157.30%,712.44%,26.45%,-65.30%,-34.47%,-19.49%,-14.56%,-38.33%,-23.08%,Upgrade
2,Enterprise Value,721,1070,119,190,33,-68,19,44,127,124,171,Upgrade
3,Last Close Price,3.97,5.08,1.41,1.30,1.00,0.35,0.94,1.21,2.36,2.45,3.97,Upgrade
4,PE Ratio,38.96,59.19,47.06,-57.39,-,-,-,-,-,-,-,Upgrade
5,PS Ratio,4.80,7.29,4.31,4.68,2.06,0.62,1.76,1.28,1.60,1.16,1.39,Upgrade
6,PB Ratio,2.94,3.23,0.99,0.92,0.59,0.17,0.40,0.44,0.72,0.70,1.00,Upgrade
7,P/TBV Ratio,3.90,3.90,1.27,1.17,0.90,0.25,0.59,0.67,1.21,1.46,2.39,Upgrade
8,P/FCF Ratio,-,-,-17.56,-,-3.82,-,-2.12,-,31.49,-,-11.13,Upgrade
9,P/OCF Ratio,-,-,-20.83,-,-3.86,-,-2.13,-,24.16,-,-11.23,Upgrade
10,EV/Sales Ratio,4.22,6.27,1.79,3.36,0.60,-,0.38,0.59,1.51,1.23,1.51,Upgrade
11,EV/EBITDA Ratio,-,-700.77,-,-,-,-,-,-,-,-,-,Upgrade
12,EV/EBIT Ratio,-,-381.09,-,-,-,-,-,-,-,-,-,Upgrade
13,EV/FCF Ratio,-109.11,-,-7.28,-,-1.11,-,-0.45,-,29.73,-,-12.07,Upgrade
14,Debt / Equity Ratio,0.07,0.07,0.09,0.09,0.10,0.09,0.06,0.06,0.08,0.11,0.14,Upgrade
15,Debt / FCF Ratio,-,-,-1.55,-,-0.64,-,-0.32,-,3.39,-,-1.53,Upgrade
16,Return on Capital Employed (ROCE),-,-0.73%,-,-,-,-,-,-,-,-,-,Upgrade
17,Earnings Yield,2.16%,1.69%,2.12%,-1.74%,-22.51%,-88.74%,-33.06%,-25.45%,-14.81%,-73.55%,-57.98%,Upgrade
18,FCF Yield,-0.68%,-0.53%,-5.69%,-10.53%,-26.21%,16.99%,-47.16%,-28.76%,3.18%,-0.02%,-8.98%,Upgrade
19,Buyback Yield / Dilution,-96.15%,-55.98%,-165.63%,-95.91%,-35.34%,-58.27%,-66.64%,-40.57%,-29.78%,-16.15%,-,Upgrade
20,Total Shareholder Return,-96.15%,-55.98%,-165.63%,-95.91%,-35.34%,-58.27%,-66.64%,-40.57%,-29.78%,-16.15%,-,Upgrade
