,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,731,783,402,471,586,1000,1384,1089,1464,851,1362,Upgrade
1,Market Cap Growth,66.08%,66.08%,-31.37%,-52.87%,-57.65%,-8.18%,-5.43%,28.00%,7.50%,-41.41%,-4.00%,Upgrade
2,Enterprise Value,379,538,230,350,238,788,1015,782,1104,452,924,Upgrade
3,Last Close Price,0.06,0.06,0.04,0.04,0.05,0.09,0.12,0.10,0.13,0.07,0.12,Upgrade
4,PE Ratio,11.75,13.57,8.67,29.75,-,-,-,252.55,-,-,-,Upgrade
5,PS Ratio,6.16,7.23,4.41,9.00,-21.98,-14.26,93.53,19.63,-,2.42,4.33,Upgrade
6,PB Ratio,0.86,0.92,0.52,0.62,0.80,1.34,1.79,1.30,1.76,1.09,1.72,Upgrade
7,P/TBV Ratio,1.21,1.21,0.71,0.85,1.13,1.87,2.47,1.77,2.43,1.56,2.61,Upgrade
8,P/FCF Ratio,14.29,15.29,88.86,-,-9.02,-,-,26.77,-,20.30,62.44,Upgrade
9,P/OCF Ratio,15.18,15.18,76.86,-,-9.03,-,-,26.77,-,19.96,59.20,Upgrade
10,EV/Sales Ratio,3.50,4.97,2.52,6.69,-8.91,-,-,14.09,-,1.29,2.94,Upgrade
11,EV/EBITDA Ratio,5.79,8.36,4.71,18.69,-,-,-,43.47,-,31.58,-,Upgrade
12,EV/EBIT Ratio,5.91,8.39,4.72,22.18,-,-,-,68.82,-,-45.88,-,Upgrade
13,EV/FCF Ratio,7.40,10.50,50.80,-,-3.66,-,-,19.22,-,10.77,42.37,Upgrade
14,Debt / Equity Ratio,0.01,0.01,-,0.00,0.00,0.00,0.28,0.26,0.26,0.28,0.27,Upgrade
15,Debt / FCF Ratio,0.15,0.15,-,-,-0.03,-,-,5.36,-,5.19,9.98,Upgrade
16,Return on Capital Employed (ROCE),7.46%,7.46%,6.27%,2.06%,-,-,-,1.34%,-,-1.25%,-,Upgrade
17,Earnings Yield,7.88%,7.37%,11.53%,3.36%,-5.70%,-8.48%,-4.89%,0.40%,-,-4.17%,-2.85%,Upgrade
18,FCF Yield,7.00%,6.54%,1.13%,1.42%,-11.08%,-11.28%,0.72%,3.74%,-,4.93%,1.60%,Upgrade
19,Buyback Yield / Dilution,-1.73%,-3.33%,-0.12%,-1.05%,-1.20%,1.09%,-,-1.42%,-,-,-19.69%,Upgrade
20,Total Shareholder Return,-1.73%,-3.33%,-0.12%,-1.05%,-1.20%,1.09%,-,-1.42%,-,-,-19.69%,Upgrade
