,Fiscal Quarter,Q2 2024,Q1 2024,Q2 2023,Q1 2023
,Period Ending,"Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023"
0,Revenue,37.51,37.51,35.64,35.64
1,Cost of Revenue,22.31,22.31,19.44,19.44
2,Gross Profit,15.19,15.19,16.2,16.2
3,"Selling, General & Admin",3.5,3.5,2.44,2.44
4,Other Operating Expenses,-0.22,-0.22,-0.21,-0.21
5,Operating Expenses,3.41,3.41,2.27,2.27
6,Operating Income,11.79,11.79,13.93,13.93
7,Interest Expense,-0.16,-0.16,-0.22,-0.22
8,Interest & Investment Income,0.01,0.01,0.02,0.02
9,Currency Exchange Gain (Loss),-,-,0,0
10,Other Non Operating Income (Expenses),-4.2,-4.2,-1.08,-1.08
11,Pretax Income,7.44,7.44,12.66,12.66
12,Net Income,7.44,7.44,12.66,12.66
13,Net Income to Common,7.44,7.44,12.66,12.66
14,Shares Outstanding (Basic),452,452,400,400
15,Shares Outstanding (Diluted),452,452,400,400
16,EPS (Basic),0.02,0.02,0.03,0.03
17,EPS (Diluted),0.02,0.02,0.03,0.03
18,Free Cash Flow,8.46,8.46,15.68,15.68
19,Free Cash Flow Per Share,0.02,0.02,0.04,0.04
20,Gross Margin,40.51%,40.51%,45.46%,45.46%
21,Operating Margin,31.43%,31.43%,39.09%,39.09%
22,Profit Margin,19.83%,19.83%,35.53%,35.53%
23,Free Cash Flow Margin,22.55%,22.55%,43.99%,43.99%
24,EBITDA,14.62,14.62,16.51,16.51
25,EBITDA Margin,38.98%,38.98%,46.33%,46.33%
26,D&A For EBITDA,2.83,2.83,2.58,2.58
27,EBIT,11.79,11.79,13.93,13.93
28,EBIT Margin,31.43%,31.43%,39.09%,39.09%
