,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,2379,2558,2528,2736,2647,3182,2915,2677,2558,2647,2826,Upgrade
1,Market Cap Growth,-6.52%,-6.52%,-4.49%,-14.02%,-9.18%,18.89%,13.95%,1.12%,-9.47%,-4.30%,-7.76%,Upgrade
2,Enterprise Value,3770,3968,3980,4188,3991,4610,4394,4161,3933,3893,4037,Upgrade
3,Last Close Price,0.80,0.85,0.84,0.91,0.88,1.06,0.96,0.89,0.84,0.87,0.92,Upgrade
4,PE Ratio,-,-,-,-,-,-,79.85,-55.76,-,-,39.40,Upgrade
5,PS Ratio,7.88,8.47,8.30,9.21,9.48,9.95,9.01,7.25,7.26,8.35,7.26,Upgrade
6,PB Ratio,0.98,1.05,1.00,1.04,0.93,1.06,0.92,0.92,0.88,0.98,0.96,Upgrade
7,P/TBV Ratio,1.17,1.17,1.11,1.16,1.03,1.17,1.05,1.05,1.01,1.14,1.11,Upgrade
8,P/FCF Ratio,11.67,12.55,16.09,-149.36,-,43.15,-,58.11,-306.95,-,-,Upgrade
9,P/OCF Ratio,12.04,12.04,13.79,93.76,-,19.13,23.68,14.74,19.81,21.34,1576.74,Upgrade
10,EV/Sales Ratio,12.49,13.15,13.06,14.10,14.30,14.42,13.58,11.26,11.17,12.28,10.38,Upgrade
11,EV/EBITDA Ratio,52.42,79.91,140.46,131.31,868.14,-,72.05,80.15,1078.25,-,-,Upgrade
12,EV/EBIT Ratio,-,-137.09,-,-,-,-,-518.53,-,-,-,-,Upgrade
13,EV/FCF Ratio,18.49,19.46,25.33,-228.61,-,62.50,-,90.34,-472.03,-,-,Upgrade
14,Debt / Equity Ratio,0.63,0.63,0.64,0.61,0.58,0.57,0.58,0.63,0.63,0.67,0.55,Upgrade
15,Debt / FCF Ratio,7.55,7.55,10.42,-88.31,-,23.42,-,40.03,-218.64,-,-,Upgrade
16,Return on Capital Employed (ROCE),-,-0.90%,-,-,-,-,-0.17%,-,-,-,-,Upgrade
17,Earnings Yield,-6.17%,-5.74%,-8.14%,-6.06%,-3.07%,0.98%,1.25%,-1.79%,-8.46%,-5.05%,2.54%,Upgrade
18,FCF Yield,8.57%,7.97%,6.22%,-0.67%,1.19%,2.32%,0.55%,1.72%,-0.33%,-2.17%,-10.38%,Upgrade
19,Buyback Yield / Dilution,-,-,-,-,-,-,-,-0.01%,-0.01%,-0.10%,Upgrade,
20,Total Shareholder Return,0.63%,-,-,-,-,-,-,-,-0.01%,-0.01%,-0.10%,Upgrade
