Stock Symbol,Date,Stock Price
688100,2024-09-30,44.2
688100,2024-06-30,38.15
688100,2024-03-31,34.16
688100,2023-12-31,28.55
688100,2023-09-30,29.28
688100,2023-06-30,29.43
688100,2023-03-31,29.65
688100,2022-12-31,22.53
688100,2022-09-30,18.71
688100,2022-06-30,20.48
688100,2022-03-31,20.23
688100,2021-12-31,33.18
688100,2021-09-30,21.8
688100,2021-06-30,25.73
688100,2021-03-31,20.25
688100,2020-12-31,21.12
688100,2020-09-30,27.33
688100,2020-06-30,25.31
688100,2020-03-31,21.27
688100,2019-12-31,
