,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,44,76,205,225,256,279,383,276,276,276,291,Upgrade
1,Market Cap Growth,-65.98%,-65.98%,-19.65%,-19.49%,-33.31%,1.11%,38.89%,0%,-5.26%,-48.28%,-70.77%,Upgrade
2,Enterprise Value,-244,-216,94,292,256,284,242,259,259,259,274,Upgrade
3,Last Close Price,0.28,0.50,1.60,1.75,2.00,2.27,3.13,2.25,2.25,2.25,2.38,Upgrade
4,PE Ratio,2.75,5.45,10.01,5.67,7.74,22.03,34.61,22.32,36.20,104.10,-,Upgrade
5,PS Ratio,0.36,0.73,1.53,1.15,1.29,2.49,4.62,2.54,1.91,4.26,-,Upgrade
6,PB Ratio,0.12,0.20,0.69,0.77,0.88,0.99,1.42,1.10,1.15,1.32,1.39,Upgrade
7,P/TBV Ratio,0.22,0.22,0.71,0.81,0.94,1.14,1.62,1.23,1.53,1.75,1.84,Upgrade
8,P/FCF Ratio,0.25,0.44,0.58,2.12,-,-1.86,-,2.38,-,96.55,-,Upgrade
9,P/OCF Ratio,0.44,0.44,0.58,2.12,-,-1.86,-,2.37,-,77.30,-,Upgrade
10,EV/Sales Ratio,-,-,0.70,1.49,1.29,2.53,2.92,2.38,1.80,4.00,-,Upgrade
11,EV/EBITDA Ratio,-,-,3.48,4.62,3.61,6.07,7.01,7.88,11.27,41.39,-,Upgrade
12,EV/EBIT Ratio,-,-,3.98,4.91,3.81,6.64,7.98,9.02,13.75,55.62,-,Upgrade
13,EV/FCF Ratio,-1.41,-,0.27,2.75,-,-1.89,-,2.23,-,90.56,-,Upgrade
14,Debt / Equity Ratio,0.12,0.12,0.23,0.23,0.28,0.26,-,-,-,-,-,Upgrade
15,Debt / FCF Ratio,0.27,0.27,0.19,0.64,-,-0.49,-,-,-,-,-,Upgrade
16,Return on Capital Employed (ROCE),-,-,6.59%,16.85%,22.98%,15.02%,11.18%,11.31%,7.79%,2.20%,-,Upgrade
17,Earnings Yield,32.21%,18.36%,9.99%,17.64%,12.92%,4.54%,2.89%,4.48%,2.76%,0.96%,-,Upgrade
18,FCF Yield,398.59%,227.20%,171.91%,47.17%,-24.85%,-53.66%,-12.42%,42.05%,-0.80%,1.04%,-,Upgrade
19,Buyback Yield / Dilution,2.32%,8.50%,-3.99%,-6.21%,-19.85%,-15.48%,-,-,-,-,-,Upgrade
20,Total Shareholder Return,2.32%,8.50%,-3.99%,-6.21%,-19.85%,-15.48%,-,-,-,-,-,Upgrade
