,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,53,54,97,103,167,175,152,156,177,193,381,Upgrade
1,Market Cap Growth,-47.39%,-47.39%,-41.95%,-41.01%,9.86%,12.33%,-14.46%,-18.92%,-53.37%,-56.50%,-28.33%,Upgrade
2,Enterprise Value,187,224,234,308,401,433,379,303,334,336,648,Upgrade
3,Last Close Price,0.02,0.03,0.04,0.05,0.08,0.08,0.07,0.07,0.08,0.09,0.17,Upgrade
4,PE Ratio,-,-,-,-,-2.13,-,-,-,-,-,-,Upgrade
5,Forward PE,-,12.25,12.25,12.25,12.25,12.25,12.25,12.25,12.25,12.25,12.25,Upgrade
6,PS Ratio,0.12,0.13,0.20,0.23,0.45,0.33,0.18,0.17,0.23,0.22,0.28,Upgrade
7,PB Ratio,-0.48,-0.48,-1.19,-2.83,-4.89,-4.55,3.47,1.06,1.25,0.55,0.76,Upgrade
8,P/TBV Ratio,-,-,-,-,-,-,3.54,1.13,1.51,0.59,0.79,Upgrade
9,P/FCF Ratio,2.37,2.43,2.01,1.35,2.41,2.65,1.53,1.26,4.27,-,2.90,Upgrade
10,P/OCF Ratio,1.83,1.83,1.82,1.23,2.06,2.28,1.34,1.10,3.21,-,2.56,Upgrade
11,PEG Ratio,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,Upgrade
12,EV/Sales Ratio,0.45,0.53,0.47,0.67,1.09,0.82,0.45,0.32,0.44,0.38,0.47,Upgrade
13,EV/EBITDA Ratio,10.24,-,-,-10.91,-,-,-,-4.38,-,-,-,Upgrade
14,EV/FCF Ratio,8.35,10.00,4.86,4.01,5.79,6.54,3.81,2.44,8.03,-,4.94,Upgrade
15,Debt / Equity Ratio,-1.25,-1.25,-2.45,-5.73,-7.88,-7.85,8.70,2.43,2.14,0.97,0.79,Upgrade
16,Debt / FCF Ratio,6.31,6.31,4.14,2.72,3.88,4.57,3.84,2.88,7.30,-,3.02,Upgrade
17,Earnings Yield,-145.41%,-141.63%,-51.68%,-1.67%,-46.92%,-98.46%,-66.60%,-155.88%,-213.29%,-147.35%,-48.34%,Upgrade
18,FCF Yield,42.25%,41.15%,49.68%,74.23%,41.53%,37.78%,65.41%,79.37%,23.43%,21.87%,34.48%,Upgrade
19,Buyback Yield / Dilution,2.08%,0.23%,3.90%,-1.71%,-3.81%,-2.11%,-1.11%,0.06%,3.38%,4.41%,-,Upgrade
20,Total Shareholder Return,2.08%,0.23%,3.90%,-1.71%,-3.81%,-2.11%,-1.11%,0.06%,3.38%,4.41%,-,Upgrade
