,Fiscal Quarter,Current,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020",+2 Quarters
0,Market Capitalization,354,460,442,473,454,384,39,44,33,36,65,Upgrade
1,Market Cap Growth,-2.86%,-2.86%,-2.73%,23.33%,1063.93%,763.31%,17.12%,25.10%,-48.57%,-89.09%,-96.79%,Upgrade
2,Enterprise Value,395,489,403,434,441,391,44,51,50,38,98,Upgrade
3,Last Close Price,0.50,0.65,0.65,0.74,0.71,0.60,0.12,0.13,0.12,0.15,0.33,Upgrade
4,PE Ratio,-,-,-,-,-,41.73,-,-,-,-,-,Upgrade
5,PS Ratio,3.34,4.62,8.23,7.63,5.22,4.71,0.62,0.77,0.77,0.55,0.58,Upgrade
6,PB Ratio,3.92,4.28,3.91,6.29,5.80,4.91,1.09,1.21,0.72,0.71,0.76,Upgrade
7,P/TBV Ratio,14.52,14.52,10.87,6.29,5.80,4.91,1.09,1.21,0.72,0.71,0.76,Upgrade
8,P/FCF Ratio,-,-,-,-,-,-,36.69,-,-2.05,-,-,Upgrade
9,P/OCF Ratio,-,-,-,-,-,-,35.16,-,-2.06,-,-,Upgrade
10,EV/Sales Ratio,3.97,4.91,7.51,7.00,5.08,4.80,0.70,0.89,1.15,0.58,0.87,Upgrade
11,EV/EBITDA Ratio,-,-135.78,-,-,-,21.65,-1120.00,-,-1.19,-,-,Upgrade
12,EV/EBIT Ratio,-,-82.92,-,-,-,21.89,-191.58,-,-1.18,-,-,Upgrade
13,EV/FCF Ratio,-26.28,-,-,-,-,-,41.09,-,-3.07,-,-,Upgrade
14,Debt / Equity Ratio,0.61,0.61,0.45,0.04,0.04,0.07,0.89,0.84,0.69,0.62,0.48,Upgrade
15,Debt / FCF Ratio,-,-,-,-,-,-,29.95,-,-1.97,-,-,Upgrade
16,Return on Capital Employed (ROCE),-,-3.62%,-,-,-,22.84%,-0.62%,-,-91.42%,-,-,Upgrade
17,Earnings Yield,-3.21%,-2.47%,-1.69%,-0.82%,1.91%,2.40%,-39.65%,-50.88%,-155.52%,-838.47%,-435.26%,Upgrade
18,FCF Yield,-4.25%,-3.27%,-1.50%,-2.37%,-4.75%,-2.10%,2.73%,16.52%,-48.67%,-93.63%,-1.99%,Upgrade
19,Buyback Yield / Dilution,-3.89%,-6.25%,-1.53%,-12.96%,-45.01%,-111.76%,-84.92%,-27.47%,-29.19%,-17.86%,-9.00%,Upgrade
20,Total Shareholder Return,-3.89%,-6.25%,-1.53%,-12.96%,-45.01%,-111.76%,-84.92%,-27.47%,-29.19%,-17.86%,-9.00%,Upgrade
