,Fiscal Quarter,H1 2024,H2 2023,H1 2023
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023"
0,Cash & Equivalents,554.09,360.84,-
1,Short-Term Investments,1.99,1.57,-
2,Trading Asset Securities,-,1.25,-
3,Cash & Short-Term Investments,556.08,363.66,-
4,Accounts Receivable,63.3,38.26,-
5,Other Receivables,15.34,188.08,-
6,Receivables,78.64,226.34,-
7,Inventory,151.33,76.29,-
8,Other Current Assets,28.94,15.96,-
9,Total Current Assets,815,682.26,-
10,"Property, Plant & Equipment",122.69,106.11,-
11,Other Intangible Assets,15.05,5.77,-
12,Long-Term Deferred Tax Assets,160.85,203.8,-
13,Other Long-Term Assets,11.95,14.72,-
14,Total Assets,1126,1013.0,-
15,Accounts Payable,514.71,259.67,-
16,Accrued Expenses,90.76,107.19,-
17,Short-Term Debt,-,25.91,-
18,Current Portion of Leases,21.44,21.97,-
19,Current Income Taxes Payable,6.23,0.12,-
20,Current Unearned Revenue,84.14,66.33,-
21,Other Current Liabilities,53.85,249.7,-
22,Total Current Liabilities,771.12,730.89,-
23,Long-Term Debt,1822,1855.0,-
24,Long-Term Leases,24.82,34.96,-
25,Total Liabilities,2618,2621.0,-
26,Common Stock,0.13,0.13,-
27,Retained Earnings,-1493,-1606.0,-
28,Total Common Equity,-1492,-1606.0,-
29,Minority Interest,-,-2.04,-
30,Shareholders' Equity,-1492,-1608.0,-
31,Total Liabilities & Equity,1126,1013.0,-
32,Total Debt,1868,1938.0,-
33,Net Cash (Debt),-1312,-1574.0,-
34,Net Cash Per Share,-8.82,-10.58,-
35,Filing Date Shares Outstanding,241.47,148.84,148.84
36,Total Common Shares Outstanding,148.84,148.84,148.84
37,Working Capital,43.88,-48.63,-
38,Book Value Per Share,-10.03,-10.79,-
39,Tangible Book Value,-1508,-1612.0,-
40,Tangible Book Value Per Share,-10.13,-10.83,-
41,Machinery,135.09,99.41,-
42,Leasehold Improvements,19.56,19.61,-
