,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023"
0,Debt / Equity Ratio,-1.25,-1.25,-1.20,-
1,Debt / FCF Ratio,2.68,2.68,7.44,-
2,Return on Capital Employed (ROCE),13.48%,-,28.62%,-
