,Fiscal Quarter,Current,Q2 2024,Q1 2024,Q2 2023,Q1 2023
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023"
0,Debt / Equity Ratio,1.24,1.24,1.24,-,2.00
1,Debt / EBITDA Ratio,4.20,6.40,6.40,-,6.15
2,Debt / FCF Ratio,-,-,-,-,24.54
3,Asset Turnover,0.40,-,-,-,
4,Inventory Turnover,-,548.53,-,-,-
5,Quick Ratio,1.14,1.14,1.14,-,-
6,Current Ratio,1.18,1.18,1.18,-,-
7,Return on Equity (ROE),13.54%,-,-,-,
8,Return on Assets (ROA),2.67%,-,-,-,
9,Return on Capital (ROIC),5.16%,-,-,-,
10,Return on Capital Employed (ROCE),28.44%,19.78%,15.19%,-,-
