,Fiscal Quarter,Q2 2024,Q1 2024,Q2 2023,Q1 2023
,Period Ending,"Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023"
0,Revenue,118.64,118.64,121.64,121.64
1,Cost of Revenue,92.98,92.98,91.83,91.83
2,Gross Profit,25.67,25.67,29.82,29.82
3,"Selling, General & Admin",10.93,10.93,13.07,13.07
4,Research & Development,2.97,2.97,2.98,2.98
5,Other Operating Expenses,-0.91,-0.91,-0.89,-0.89
6,Operating Expenses,12.99,12.99,15.16,15.16
7,Operating Income,12.68,12.68,14.66,14.66
8,Interest Expense,-3.84,-3.84,-4.48,-4.48
9,Interest & Investment Income,0.2,0.2,0.38,0.38
10,Currency Exchange Gain (Loss),0.08,0.08,0.2,0.2
11,EBT Excluding Unusual Items,9.11,9.11,10.75,10.75
12,Gain (Loss) on Sale of Assets,0.01,0.01,0,0
13,Pretax Income,9.12,9.12,10.76,10.76
14,Income Tax Expense,-0.18,-0.18,-0.15,-0.15
15,Earnings From Continuing Operations,9.3,9.3,10.9,10.9
16,Minority Interest in Earnings,-,-,-0.04,-0.04
17,Net Income,9.3,9.3,10.86,10.86
18,Net Income to Common,9.3,9.3,10.86,10.86
19,Shares Outstanding (Basic),480,480,476,476
20,Shares Outstanding (Diluted),480,480,476,476
21,EPS (Basic),0.02,0.02,0.02,0.02
22,EPS (Diluted),0.02,0.02,0.02,0.02
23,Free Cash Flow,-22.27,-22.27,15.29,15.29
24,Free Cash Flow Per Share,-0.05,-0.05,0.03,0.03
25,Gross Margin,21.63%,21.63%,24.51%,24.51%
26,Operating Margin,10.68%,10.68%,12.05%,12.05%
27,Profit Margin,7.83%,7.83%,8.93%,8.93%
28,Free Cash Flow Margin,-18.77%,-18.77%,12.57%,12.57%
29,EBITDA,13.19,13.19,15.16,15.16
30,EBITDA Margin,11.12%,11.12%,12.47%,12.47%
31,D&A For EBITDA,0.52,0.52,0.51,0.51
32,EBIT,12.68,12.68,14.66,14.66
33,EBIT Margin,10.68%,10.68%,12.05%,12.05%
