,Fiscal Quarter,Current,Q3 2024,Q4 2023,Q3 2023
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023"
0,Debt / Equity Ratio,0.18,0.18,0.17,-
1,Debt / EBITDA Ratio,0.56,0.51,0.52,-
2,Debt / FCF Ratio,-,-,2.12,-
3,Quick Ratio,1.06,1.06,1.15,-
4,Current Ratio,1.57,1.57,1.61,-
5,Return on Capital Employed (ROCE),24.27%,19.38%,14.77%,-
6,Payout Ratio,1.89%,1.71%,2.37%,1.84%
