,Fiscal Quarter,Q2 2024,Q1 2024,Q2 2023,Q1 2023
,Period Ending,"Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023"
0,Cash & Equivalents,3135.0,3135.0,-,-
1,Trading Asset Securities,602.13,602.13,-,-
2,Cash & Short-Term Investments,3737.0,3737.0,-,998.84
3,Accounts Receivable,6.98,6.98,-,-
4,Other Receivables,17.86,17.86,-,-
5,Receivables,24.85,24.85,-,-
6,Inventory,200.98,200.98,-,-
7,Other Current Assets,271.36,271.36,-,-
8,Total Current Assets,4234.0,4234.0,-,-
9,"Property, Plant & Equipment",345.5,345.5,-,-
10,Long-Term Investments,686.17,686.17,-,-
11,Other Intangible Assets,50.03,50.03,-,-
12,Long-Term Deferred Tax Assets,93.54,93.54,-,-
13,Other Long-Term Assets,62.17,62.17,-,-
14,Total Assets,5472.0,5472.0,-,-
15,Accounts Payable,275.56,275.56,-,-
16,Accrued Expenses,105.14,105.14,-,-
17,Current Portion of Leases,39.04,39.04,-,-
18,Current Income Taxes Payable,7.02,7.02,-,-
19,Current Unearned Revenue,161.15,161.15,-,-
20,Other Current Liabilities,607.5,607.5,-,-
21,Total Current Liabilities,1195.0,1195.0,-,-
22,Long-Term Leases,57.42,57.42,-,-
23,Long-Term Unearned Revenue,123.54,123.54,-,-
24,Long-Term Deferred Tax Liabilities,1.11,1.11,-,-
25,Total Liabilities,1377.0,1377.0,-,-
26,Common Stock,147.76,147.76,-,-
27,Additional Paid-In Capital,3421.0,3421.0,-,-
28,Retained Earnings,377.08,377.08,-,-
29,Comprehensive Income & Other,129.88,129.88,-,-
30,Total Common Equity,4076.0,4076.0,-,650.62
31,Minority Interest,18.55,18.55,-,-
32,Shareholders' Equity,4094.0,4094.0,-,662.62
33,Total Liabilities & Equity,5472.0,5472.0,-,-
34,Total Debt,96.46,96.46,-,76.08
35,Net Cash (Debt),3641.0,3641.0,-,922.76
36,Net Cash Per Share,2.72,2.72,-,0.86
37,Filing Date Shares Outstanding,1478.0,1478.0,1070,1070
38,Total Common Shares Outstanding,1478.0,1478.0,1070,1070
39,Working Capital,3039.0,3039.0,-,-
40,Book Value Per Share,2.76,2.76,-,0.65
41,Tangible Book Value,4026.0,4026.0,-,634.17
42,Tangible Book Value Per Share,2.72,2.72,-,0.63
