,Comp_code,Year,Quarter,EPS,BVPS,ROA,ROE,P/E Ratio,DAR,MB,DY,DIV,Market Cap,Total Assets,Price,Time,SIZE
248,BDB,2024,2,210.1113226,11578.79197,0.02647031,0.055955263,13.17171712,0.678776925,0.75137372,0.091954023,1.03908046,9800323800,40604829189,11.3,6/30/2024,23.00568126
249,BED,2024,1,84.55820333,14433.68154,0.142265218,0.192648262,11.55361528,0.208933613,2.133897711,0.051948052,1.599999999,92400000000,54737561032,30.8,3/31/2024,25.24939282
250,BED,2024,2,626.6119487,12725.17608,0.126411364,0.17535018,12.6737255,0.393332936,2.420398728,0.051948052,1.599999999,92400000000,62926653649,30.8,6/30/2024,25.24939282
251,BKC,2024,1,123.895793,15719.70738,0.015495762,0.033809163,13.0774901,0.525076401,0.438939468,0,0,80990323200,3.89E+11,6.9,3/31/2024,25.11759552
252,BKC,2024,2,196.1020462,15915.80942,0.015934558,0.034013241,11.97362023,0.531698448,0.402115898,0,0,75121459200,3.99E+11,6.8,6/30/2024,25.0423721
253,BKC,2024,3,1627.593182,17543.40261,0.063063205,0.130393723,6.478163627,0.509137271,0.780920344,0,0,1.61E+11,4.2E+11,6.4,9/30/2024,25.8046702
254,BKC,2023,1,132.7070772,15291.54407,0.005915131,0.014912261,37.02682205,0.541337839,0.523164957,0,0,93901824000,3.91E+11,6.5,3/31/2023,25.26551565
255,BKC,2023,2,189.2178765,15480.76194,0.006956904,0.016364906,28.57619096,0.570082425,0.465093387,0,0,84511641600,4.23E+11,8.5,6/30/2023,25.16015513
256,BKC,2023,3,47.30468767,15528.06663,-0.003919596,-0.008801354,-53.98999444,0.565983326,0.470116478,0,0,85685414400,4.2E+11,7.2,9/30/2023,25.17394845
257,BKC,2023,4,167.2058236,15595.81159,0.013614026,0.028416816,15.79039166,0.498755685,0.442426479,0,0,80990323200,3.68E+11,6.9,12/31/2023,25.11759552
258,BKC,2022,1,74.42501198,11697.36807,0.052039462,0.174859206,3.181582464,0.670708116,0.478740172,0,0,65731276800,4.17E+11,12.4,3/31/2022,24.9088407
