Company Code,Date,Basic Average Shares,Basic EPS,Cost Of Revenue,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Diluted Average Shares,Diluted EPS,EBIT,EBITDA,General And Administrative Expense,Gross Profit,Impairment Of Capital Assets,Interest Expense,Interest Expense Non Operating,Interest Income,Interest Income Non Operating,Minority Interests,Net Income,Net Income Common Stockholders,Net Income Continuous Operations,Net Income From Continuing And Discontinued Operation,Net Income From Continuing Operation Net Minority Interest,Net Income Including Noncontrolling Interests,Net Interest Income,Net Non Operating Interest Income Expense,Normalized EBITDA,Normalized Income,Operating Expense,Operating Income,Operating Revenue,Other Non Operating Income Expenses,Other Operating Expenses,Other Special Charges,Otherunder Preferred Stock Dividend,Pretax Income,Reconciled Cost Of Revenue,Reconciled Depreciation,Rent And Landing Fees,Rent Expense Supplemental,Research And Development,Selling And Marketing Expense,Selling General And Administration,Special Income Charges,Tax Effect Of Unusual Items,Tax Provision,Tax Rate For Calcs,Total Expenses,Total Operating Income As Reported,Total Other Finance Cost,Total Revenue,Total Unusual Items,Total Unusual Items Excluding Goodwill,Write Off
600017,2022-12-31 00:00:00,3079364290.0,0.23,6507106843.32,94945894.0,94945894.0,3079364290.0,0.23,1441865764.16,2786845193.47,50520029.52,1952350454.42,6729848.36,398901704.09,398901704.09,16980449.15,16980449.15,-104871509.42,708253786.72,708253786.72,813125296.14,NaN,708253786.72,708253786.72,813125296.14,-386843972.19,-386843972.19,2783631629.17,705748397.969666,497256172.54,1455094281.88,8459457297.74,-25536857.18,89652234.85,-11201540.92,0.0,1042964060.07,6507106843.32,1344979429.31,2367320.52,2367320.52,27573901.0,50520029.52,3213564.3,708175.549666,229838763.93,0.220371,7004363015.86,1042627262.55,4922717.25,8459457297.74,3213564.3,3213564.3,1258128.26
600018,2022-12-31 00:00:00,23203442706.0,0.7423,23185613774.43,643263901.81,643263901.81,23203442706.0,0.7423,20024747855.53,23795689445.41,392676478.84,14094192949.2,1245478429.84,-99541250.69,-99541250.69,467520158.35,467520158.35,-686197128.04,17223915520.79,17223915520.79,17910112648.83,NaN,17223915520.79,17223915520.79,17910112648.83,551640602.93,551640602.93,24987610062.26,18284694980.057877,3916236740.26,10177956208.94,37279806723.63,-1384570397.05,1137360131.94,-91414452.45,0.0,20124289106.22,23185613774.43,3770941589.88,29775342.57,29775342.57,191057466.13,161267434.29,553943913.13,-1191900087.3,-131141157.582125,2214176457.39,0.110025,27101850514.69,20588311777.65,15420806.11,37279806723.63,-1191920616.85,-1191920616.85,37836109.91
600019,2022-12-31 00:00:00,22157910350.0,0.55,346852362797.72,857049566.34,857049566.34,21762233379.0,0.55,16645906713.25,36381229830.87,1183119425.79,22205524969.52,952691898.09,1601858970.04,1601858970.04,249141081.85,249141081.85,-1842065244.34,12186850692.42,12186850692.42,14028915936.76,NaN,12186850692.42,12186850692.42,14028915936.76,-1413858454.22,-1413858454.22,36669841346.89,12455987480.984959,9878277531.54,12327247437.98,369057887767.24,-560312282.9,1372210946.97,-752326070.66,0.0,15044047743.21,346852362797.72,19735323117.62,3168178420.67,726158057.95,1909277483.74,-332110098.11,-19474727.455042,1015131806.45,0.067477,356730640329.26,15604360026.11,61140566.03,369057887767.24,-288611516.02,-288611516.02,131744270.68
600020,2022-12-31 00:00:00,7576979372.0,0.0185,5893020555.34,7587651.95,7587651.95,7576979372.0,0.0185,1398886707.72,2521889436.46,26196203.88,1517487395.24,88697602.72,1220126550.16,1220126550.16,11449231.16,11449231.16,930067.45,140174118.39,140174118.39,139244050.94,NaN,140174118.39,140174118.39,139244050.94,-1210447858.41,-1210447858.41,2644092980.32,235363766.455615,179278775.3,1338208619.94,7410507950.58,-4746547.57,60052141.77,2265775.12,0.0,178760157.56,5893020555.34,1123002728.74,4665069.53,4665069.53,500000.0,24464640.56,50660844.44,-122203543.86,-27013895.794385,39516106.62,0.221057,6072299330.64,183506705.13,1770539.41,7410507950.58,-122203543.86,-122203543.86,31240166.02
600021,2022-12-31 00:00:00,48750420.47,4559342871.0,0.0733,31692366417.48,108547302.29,59796881.82,4559342871.0,0.0733,6025871136.94,11878715044.4,596275698.58,7556208087.79,169436.61,3468509187.85,3468509187.85,76694554.02,76694554.02,-1271601268.29,334199832.41,334199832.41,1605801100.7,NaN,334199832.41,334199832.41,1605801100.7,-3557699861.45,-3557699861.45,11808909703.07,290368143.281154,1959614157.61,5596593930.18,39248574505.27,44781501.04,243814711.71,-90980877.58,0.0,2557361949.09,31692366417.48,5852843907.46,134047889.15,134047889.15,197685492.57,352360.96,596628059.54,97789290.72,25973652.201154,951560848.39,0.372087,33651980575.09,2492064420.62,165885227.62,39248574505.27,69805341.33,69805341.33,-6977849.75
600022,2022-12-31 00:00:00,117001221.56,10708841090.0,0.0517,96603706129.24,182329329.79,65328108.23,10708841090.0,0.0517,2042554827.07,4506796043.29,257400472.13,5685713886.31,126249213.24,536322774.85,536322774.85,120019904.23,120019904.23,-862306420.17,553647084.34,553647084.34,1415953504.51,NaN,553647084.34,553647084.34,1415953504.51,-435955024.57,-435955024.57,4632458306.82,671777569.060275,3894022516.54,1791691369.77,102289420015.55,143521155.45,364159976.07,-899115.29,0.0,1506232052.22,96603706129.24,2464241216.22,105124260.49,105124260.49,2097033170.07,267148239.83,524548711.96,-120424096.1,-7531778.809725,90278547.71,0.059937,100497728645.78,1362710896.77,19652153.95,102289420015.55,-125662263.53,-125662263.53,-4926001.85
600023,2022-12-31 00:00:00,13050944530.0,-0.14,83363614730.48,14076330.36,14076330.36,13050944530.0,-0.14,-1699879138.91,4080565186.3,356625997.28,-3169031720.24,136646672.36,1398565942.88,1398565942.88,147191683.03,147191683.03,1776550196.96,-1827132234.16,-1827132234.16,-3603682431.12,-1827132234.16,-1827132234.16,-3603682431.12,-1259526027.76,-1259526027.76,4223080431.28,-1720245800.425,1888673528.84,-5057705249.08,80194583010.24,78456764.22,342317184.15,-27333216.53,0.0,-3098445081.79,83363614730.48,5780444325.21,8974300.44,8974300.44,261178984.51,53644114.21,410270111.49,-141457280.9,-35628811.245,505237349.33,0.25,85252288259.32,-3176901846.01,8151767.91,80194583010.24,-142515244.98,-142515244.98,32143825.07
600025,2022-12-31 00:00:00,19552373159.0,0.37,10443583793.36,67436364.95,67436364.95,19552373159.0,0.37,12127702151.11,18208858914.33,175257733.59,13137414638.65,NaN,3014569270.86,3014569270.86,25642104.64,25642104.64,-728169354.83,7234378068.82,7234378068.82,7962547423.65,NaN,7234378068.82,7234378068.82,7962547423.65,-2989516088.79,-2989516088.79,18159835840.39,7191544440.008736,1168199237.61,11969215401.04,23580998432.01,-230092705.88,440171512.65,-24305.66,0.0,9113132880.25,10443583793.36,6081156763.22,184769623.64,53560414.26,228818147.85,49023073.94,6189445.128736,1150585456.6,0.126256,11611783030.97,9094333438.46,588922.57,23580998432.01,49023073.94,49023073.94,-48998768.28
600026,2022-12-31 00:00:00,4767408000.0,0.3064,15157996000.0,64223724.63,64223724.63,4774130000.0,0.306,1460862000.0,3797090000.0,6608174000.0,947749000.0,3408799000.0,2784309.5,1044243000.0,1044243000.0,81140000.0,81140000.0,-327230000.0,1460862000.0,1460862000.0,1788092000.0,NaN,1460862000.0,1460862000.0,1788092000.0,-963103000.0,-963103000.0,6538631000.0,1415690843.754847,856090000.0,2552709000.0,18566795000.0,-53463000.0,72509300.2,-73945000.0,0.0,2752847000.0,15157996000.0,2811084000.0,17671295.54,1605450000.0,24101068.91,57273000.0,1005022000.0,69543000.0,24371843.754847,964755000.0,0.350457,16014086000.0,2757690129.65,26396941.89,18566795000.0,69543000.0,69543000.0,4402000.0
600027,2022-12-31 00:00:00,NaN,-0.08,106598976000.0,NaN,-0.08,2921489000.0,12699442000.0,1639362000.0,459560000.0,1015472000.0,4071292000.0,4071292000.0,84376000.0,84376000.0,737818000.0,116280000.0,116280000.0,-621538000.0,116280000.0,116280000.0,-621538000.0,-4021805000.0,-4021805000.0,13667346000.0,842208000.0,1585743000.0,-1126183000.0,107058536000.0,166268000.0,880352000.0,-82146000.0,0.0,-1149803000.0,106598976000.0,9777953000.0,NaN,1639362000.0,-978226000.0,-241976000.0,-528265000.0,0.25,108184719000.0,-1335595000.0,34889000.0,107058536000.0,-967904000.0,-967904000.0,44900000.0
