Comp_data,Year,Quarter,EPS,BVPS,ROA,ROE,P/E Ratio,DAR,MB,DY,DIV,Market Cap,Total Assets,Stock Price
ADC,2020,2,379.4578029,17704.72994,0.083339153,0.186906227,4.047285752,0.546918438,0.779452725,0.108695652,0.940217392,42228000000,1.20E+11,8.65
ADC,2020,3,1246.67509,18951.40503,0.077157327,0.177950858,6.938046484,0.652145932,1.20835368,0.065502183,0.536462882,70074000000,1.67E+11,8.19
ADC,2020,4,1832.869163,20773.6019,0.092888015,0.204000422,5.937491234,0.539040915,1.155312406,0.066666667,0.642666667,73440000000,1.38E+11,9.64
ALT,2024,1,-574.5723393,37844.87585,0.009813566,0.01418889,27.08028191,0.370872014,0.393712482,0.067114094,0.908053692,85476964100,3.45E+11,13.53
ALT,2024,2,213.4239171,38083.28831,0.00287847,0.004381771,78.827951,0.386343285,0.349234549,0.07518797,0.960902255,76298229700,3.56E+11,12.78
ALT,2024,3,-152.2808293,37018.08177,-0.001939476,-0.003160926,-102.6253659,0.446123319,0.332270053,0.081300813,1.130081301,70561520700,3.83E+11,13.9
ALT,2023,1,387.5643483,38608.40059,0.028135512,0.038912043,9.278820923,0.286281354,0.357435164,0.072463768,0.952898551,79166584200,3.10E+11,13.15
ALT,2023,2,594.9178761,39173.38052,0.035150564,0.048766476,7.555241023,0.244727612,0.362491054,0.070422535,0.876760563,81461267800,2.98E+11,12.45
ALT,2023,3,136.2944591,39371.0141,0.028345565,0.039215377,8.607098003,0.272359086,0.332732095,0.076335878,1.054198474,75150887900,3.10E+11,13.81
ALT,2023,4,393.575842,38444.43673,0.021968546,0.031920593,12.17717727,0.33396335,0.387572332,0.067114094,0.838926175,85476964100,3.34E+11,12.5
ALT,2022,1,217.1781147,37691.7422,0.00904536,0.012052,45.44514393,0.230515063,0.549191913,0.048309179,0.867632849,1.19E+11,2.81E+11,17.96
ALT,2022,2,202.42913,37894.15514,0.01579427,0.020886099,24.53853288,0.23335064,0.511952303,0.051546392,0.856185568,1.11E+11,2.84E+11,16.61
ALT,2022,3,495.0147374,38389.16988,0.017137868,0.022640684,17.84702,0.28041016,0.398549905,0.065359477,1.092810457,87771647700,3.06E+11,16.72
ALT,2022,4,403.2229494,38220.83625,0.032034011,0.043441493,8.216249851,0.303724579,0.353210482,0.074074074,0.928888889,77445571500,3.14E+11,12.54
ALT,2021,1,535.2774158,38019.30373,0.042027719,0.055735108,7.099892185,0.269049372,0.384015449,0.047945206,0.512054795,83755951400,2.98E+11,10.68
ALT,2021,2,-132.8892541,37659.87706,0.049755558,0.067686485,5.707908952,0.256217539,0.382369809,0.048611111,0.449166667,82608609600,2.90E+11,9.24
ALT,2021,3,428.2784291,38340.19507,0.03089621,0.042549962,12.49703454,0.283092255,0.524253984,0.034825871,0.375771144,1.15E+11,3.07E+11,10.79
ALT,2021,4,-56.7750109,37474.56409,0.018489767,0.024543022,19.42223298,0.224484926,0.474988847,0,0,1.02E+11,2.78E+11,17.62
ALT,2020,1,-788.3380027,36751.87375,0.010199828,0.011832577,29.0668589,0.140665892,0.348281562,0.0546875,0.5096875,73429875200,2.45E+11,9.32
ALT,2020,2,-599.6405275,36152.23323,-0.010102364,-0.011796407,-28.70791053,0.169430313,0.345760106,0.056,0.53424,71708862500,2.50E+11,9.54
ALT,2020,3,1343.310544,36227.74376,0.003807333,0.004594212,72.47523782,0.246243115,0.336758482,0.057377049,0.534754099,69987849800,2.76E+11,9.32
ALT,2020,4,778.7674731,37278.90965,0.015460573,0.019623312,17.88153538,0.286393623,0.327262791,0.057377049,0.484262295,69987849800,3.00E+11,8.44
AMC,2024,1,512.8444284,18475.30315,0.086677351,0.13308862,7.098834624,0.298347517,0.90390939,0.077844311,1.261856288,47595000000,75043722128,16.21
AMC,2024,2,569.3213404,17466.15198,0.081139116,0.126842205,7.376815734,0.417191215,0.956135044,0.077844311,1.346706587,47595000000,85411432470,17.3
AMC,2024,3,617.7889965,18083.94098,0.075448625,0.120766891,7.361706578,0.424807169,0.884762896,0.08125,1.356875,45600000000,89603397365,16.7
AMC,2023,1,417.8185467,17951.66941,0.071635545,0.112566954,10.89968988,0.310706137,1.192089689,0.070093458,1.538551401,60990000000,74224159737,21.95
AMC,2023,2,657.9707323,16779.83875,0.067413654,0.104331785,9.838119535,0.376887111,1.066756378,0.083798883,1.556145252,51015000000,76747795303,18.57
AMC,2023,3,708.2293228,17488.06807,0.068251768,0.104757093,9.634377804,0.371322592,1.006400474,0.085227273,1.38153409,50160000000,79279123712,16.21
AMC,2023,4,473.4543256,17962.45872,0.084006502,0.127247552,8.235885512,0.346522619,1.035492985,0.080645161,1.28467742,53010000000,78335288000,15.93
AMC,2022,1,671.8184491,18341.96153,0.083169009,0.142990662,9.626946764,0.352928312,1.308475103,0.083333333,1.682499999,68400000000,80786397123,20.19
AMC,2022,2,801.8759491,16790.18675,0.088276258,0.146047608,9.006892997,0.412969617,1.369847778,0.086956522,1.992173912,65550000000,81515426857,22.91
AMC,2022,3,700.8911649,17491.07791,0.093658398,0.154107731,8.30813842,0.390827819,1.286370121,0.088888889,1.812444445,64125000000,81831662110,20.39
AMC,2022,4,42.77295228,17533.85086,0.078806391,0.125971986,9.696221811,0.332605171,1.226199548,0.093023256,1.816744186,61275000000,74875430215,19.53
AMC,2021,1,662.691973,18221.5907,0.088476079,0.171455874,6.469825052,0.4267666,1.042719064,0.105263158,1.776842105,54150000000,90594046847,16.88
AMC,2021,2,741.2784221,16590.2377,0.093436985,0.178153048,7.29794177,0.494091672,1.356219266,0.088888889,1.367111111,64125000000,93459970524,15.38
AMC,2021,3,546.3030407,17136.54074,0.083735367,0.152913363,9.408585655,0.404153084,1.458870864,0.08,1.5896,71250000000,81965920736,19.87
AMC,2021,4,533.6023439,17670.14308,0.078119278,0.141012963,10.46751219,0.411024487,1.471408572,0.076923077,1.479230769,74100000000,85504247036,19.23
AMC,2020,1,399.6646112,17708.94857,0.086706825,0.16903021,6.09330194,0.456156105,0.976907236,0.115606936,1.336416185,49305000000,92803291262,11.56
AMC,2020,2,594.9273856,15879.80807,0.082749948,0.160170255,6.107793898,0.527061551,1.039055379,0.121212121,1.585454545,47025000000,95694171438,13.08
AMC,2020,3,972.2165726,16852.02465,0.081845474,0.159956283,6.754606608,0.501623877,1.085922931,0.109289618,1.36284153,52155000000,96369525054,12.47
AMC,2020,4,706.87408,17558.89873,0.080964616,0.153359449,7.667327311,0.477264174,1.167499188,0.097560976,1.410731707,58425000000,95732603127,14.46
AMV,2024,1,11.83626257,12352.02663,0.006236426,0.007631659,36.1637474,0.140465584,0.275258474,0,0,4.46E+11,1.97E+12,3.8
AMV,2024,2,-826.2928334,11525.7338,-0.050398689,-0.061518328,-2.813718014,0.147260345,0.182200981,0,0,2.75E+11,1.85E+12,3.4
AMV,2024,3,337.588509,11863.32231,-0.030401565,-0.037097347,-3.363936114,0.142851747,0.126440129,0,0,1.97E+11,1.90E+12,2.8
AMV,2023,1,25.81960861,12260.7251,0.022735415,0.028094295,13.98336793,0.15457795,0.391493975,0,0,6.29E+11,1.99E+12,3.7
AMV,2023,2,14.06741858,12274.79252,0.006565795,0.008118168,40.23894745,0.156914324,0.325871089,0,0,5.24E+11,1.99E+12,4.8
AMV,2023,3,37.15127147,12311.94379,0.005967551,0.007374688,41.99738645,0.144150133,0.308643384,0,0,4.98E+11,1.97E+12,4
AMV,2023,4,30.96185273,12340.19037,0.006945423,0.008568421,33.24313929,0.143463009,0.283626095,0,0,4.59E+11,1.97E+12,3.9
AMV,2022,1,93.91304845,11917.79716,0.063688254,0.07994229,9.039917052,0.203324273,0.70482824,0,0,1.10E+12,1.54E+12,11.47
AMV,2022,2,257.9261831,12168.44057,0.070395517,0.086908427,4.483339364,0.158497806,0.419116975,0,0,6.69E+11,1.97E+12,8.1
AMV,2022,3,46.07562923,12214.59284,0.052622052,0.063793824,4.210590682,0.145544671,0.286542503,0,0,4.59E+11,1.96E+12,6.4
AMV,2022,4,13.44352225,12234.90549,0.030940364,0.037799873,9.530716503,0.162248515,0.351453471,0,0,5.64E+11,2.00E+12,3.3
AMV,2021,1,0,0,0,0,0,0.210596706,0,0,0,0,1.42E+12,11.85
AMV,2021,2,155.7051637,11905.06098,0.031408003,0.0376296,18.78013996,0.202106165,0.873578054,0,0,9.48E+11,1.42E+12,9.46
AMV,2021,3,311.4780522,12216.53903,0.035994575,0.044296807,16.75693823,0.201738529,0.851304938,0,0,9.48E+11,1.46E+12,9.65
AMV,2021,4,305.1121254,11819.77861,0.064217446,0.077388898,10.73387187,0.205957307,0.812197954,0,0,1.26E+12,1.53E+12,13.76
