Company code,Company Name,Sector,Industry,Year,EPS,BVPS,ROA,ROE,DIV,P/E Ratio,DAR,MB,DY,Market Cap,Total Assets,Year End Price
600673.SS,"Guangdong HEC Technology Holding Co., Ltd",Technology,Electronic Components,2020,0.14,2.318135154,0.014930347,2.812202318,0,33.56944833,0.360581845,2.0273722,0,14164353831,27842828978,4.699722767
600674.SS,Sichuan Chuantou Energy Co.Ltd,Utilities,Utilities - Independent Power Producers,2020,0.7182,5.90723777,0.076462564,1.389528967,0.34,12.55584474,0.232341949,1.52653542,0.037704013,43957322204,41348967420,9.017607689
600675.SS,China Enterprise Company Limited,Real Estate,Real Estate - Development,2020,0.23,2.600665851,0.027889399,2.829573511,0.138,13.50064692,0.298963162,1.193982222,0.044442315,18774164021,49415960422,3.105148792
600679.SS,"Shanghai Phoenix Enterprise (Group) Co., Ltd.",Consumer Cyclical,Leisure,2020,0.15,5.532585866,0.022147642,1.418982979,0,91.04969025,0.046537046,2.468547957,0,4693985054,2741702886,13.65745354
600681.SS,"Bestsun Energy Co., Ltd.",Utilities,Utilities - Regulated Gas,2020,0.36,3.160576636,0.063325134,1.827811334,0.425,10.3325261,0.120192317,1.176908465,0.114256237,4987572523,8013778824,3.719709396
600682.SS,"Nanjing Xinjiekou Department Store Co., Ltd.",Consumer Cyclical,Department Stores,2020,0.56,11.99284264,0.030377454,1.459691664,0,19.83088425,0.087401537,0.925993571,0,14949171535,24741209659,11.10529518
600685.SS,CSSC Offshore & Marine Engineering (Group) Company Limited,Industrials,Aerospace & Defense,2020,2.591,17.56936508,0.0940567,2.218517561,0,10.07757404,0.183584888,1.486166075,0,21448484844,38937517273,26.11099434
600686.SS,"Xiamen King Long Motor Group Co., Ltd.",Consumer Cyclical,Auto Manufacturers,2020,-0.02,7.12439515,0.001333681,3.785515598,0.025,-427.8205872,0.157539449,1.201001848,0.002921786,6135349166,23919083347,8.556411743
600690.SS,"Haier Smart Home Co., Ltd.",Consumer Cyclical,"Furnishings, Fixtures & Appliances",2020,1.34,10.68631024,0.043652133,2.986817354,0.375,19.90546468,0.176012653,2.496027354,0.014058991,1.66828E+11,2.03498E+11,26.67332268
600692.SS,"Shang Hai Ya Tong Co.,Ltd.",Industrials,Marine Shipping,2020,0.1668,2.503997883,0.020780811,2.978898836,0,41.80376478,0.145922145,2.784694034,0,2452803927,2822897143,6.972867966
