,Revenue,Net Income,EPS (Diluted),Dividend Per Share,Total Assets,Total Liabilities,Shareholders' Equity,Book Value Per Share,Market Capitalization,PE Ratio,PS Ratio,PB Ratio,Return on Assets (ROA),Return on Equity (ROE),Earnings Yield,Dividend Yield,Stock Symbol,Date,Stock Price,Symbol
Q4 2019,,,,,,,,,,,,,,,,,3908,2019-12-31 00:00:00,13.924,3908
Q3 2024,275761,6292,0.25,-,2128258,1638695,489563,11.99,166662,5.31,0.13,0.31,1.40%,6.49%,19.97%,-,390,2024-09-30 00:00:00,4.08,0390
Q2 2024,278877,6797,0.24,-,2004572,1533147,471425,11.75,162054,5.03,0.12,0.32,1.42%,6.90%,20.90%,-,390,2024-06-30 00:00:00,4.066,0390
Q1 2024,265646,7481,0.29,-,1857390,1386445,470945,11.20,172366,5.07,0.13,0.34,2.29%,9.96%,20.80%,-,390,2024-03-31 00:00:00,3.651,0390
Q4 2023,378954,9471,0.40,0.210,1829439,1369537,459902,11.43,143201,4.09,0.10,0.28,1.72%,7.33%,25.76%,7.05%,390,2023-12-31 00:00:00,3.283,0390
Q3 2023,293755,7772,0.31,-,1739148,1290488,448659,11.03,167372,5.12,0.13,0.35,1.91%,8.68%,20.70%,-,390,2023-09-30 00:00:00,3.811,0390
Q2 2023,318141,8361,0.30,-,1702876,1271950,430926,10.75,190025,5.71,0.15,0.41,1.72%,8.26%,18.42%,-,390,2023-06-30 00:00:00,4.668,0390
Q1 2023,272625,7879,0.30,-,1656063,1220710,435352,10.62,181683,5.35,0.14,0.37,1.79%,9.53%,19.85%,-,390,2023-03-31 00:00:00,4.325,0390
Q4 2022,304306,8267,0.34,0.200,1613282,1190264,423018,10.33,146471,4.40,0.11,0.31,1.98%,8.15%,24.14%,6.08%,390,2022-12-31 00:00:00,3.72,0390
Q3 2022,289465,7890,0.31,-,1570716,1159768,410948,9.99,134698,4.39,0.11,0.30,1.94%,8.85%,24.56%,-,390,2022-09-30 00:00:00,3.477,0390
Q2 2022,293490,7528,0.26,-,1532716,1135539,397177,9.65,168094,5.15,0.13,0.36,1.96%,9.10%,20.65%,-,390,2022-06-30 00:00:00,4.185,0390
Q1 2022,267097,7587,0.29,-,1410513,1038938,371574,11.42,171433,5.22,0.13,0.37,1.67%,9.30%,20.70%,-,390,2022-03-31 00:00:00,3.788,0390
Q4 2021,303054,6971,0.36,0.196,1361726,1003384,358343,9.35,162061,5.18,0.12,0.37,2.60%,9.34%,20.92%,6.77%,390,2021-12-31 00:00:00,3.555,0390
Q3 2021,271979,7550,0.27,-,1350992,1004745,346247,9.04,155560,4.94,0.12,0.37,1.71%,8.86%,21.41%,-,390,2021-09-30 00:00:00,3.348,0390
Q2 2021,261198,6611,0.21,-,1297235,963888,333347,10.90,145371,4.96,0.11,0.36,2.11%,8.75%,22.00%,-,390,2021-06-30 00:00:00,3.299,0390
Q1 2021,237041,6485,0.24,-,1264600,936098,328502,10.65,160090,5.08,0.13,0.41,2.05%,10.52%,20.82%,-,390,2021-03-31 00:00:00,3.348,0390
Q4 2020,285986,6928,0.29,0.180,1200122,886928,313194,10.39,141837,5.05,0.12,0.38,2.21%,10.18%,21.09%,7.67%,390,2020-12-31 00:00:00,2.77,0390
Q3 2020,272450,6563,0.26,-,1208430,924934,283496,8.23,140579,4.95,0.13,0.43,2.68%,13.03%,21.48%,-,390,2020-09-30 00:00:00,2.965,0390
Q2 2020,259267,8112,0.31,-,1142444,875784,266661,9.18,128900,5.33,0.13,0.44,1.47%,6.11%,21.16%,-,390,2020-06-30 00:00:00,3.096,0390
Q1 2020,157046,3585,0.13,-,1094718,836339,258379,9.00,137287,5.74,0.15,0.49,2.29%,14.45%,18.67%,-,390,2020-03-31 00:00:00,3.212,0390
Q4 2019,,,,,,,,,,,,,,,,,390,2019-12-31 00:00:00,3.741,0390
Q3 2024,49464,2498,0.29,-,343810,222557,121252,10.00,145609,12.04,0.61,1.08,3.06%,13.71%,8.30%,-,2338,2024-09-30 00:00:00,14.36,2338
Q2 2024,56110,3304,0.38,0.372,343596,225212,118385,9.72,145877,12.32,0.62,1.15,3.00%,11.67%,8.12%,4.95%,2338,2024-06-30 00:00:00,14.424,2338
Q1 2024,56380,2600,0.30,-,338750,222068,116683,9.59,150122,14.19,0.64,1.19,2.53%,11.53%,7.04%,-,2338,2024-03-31 00:00:00,14.084,2338
Q4 2023,53575,2513,0.29,0.293,334247,221561,112686,9.18,126034,12.69,0.53,1.02,3.15%,11.69%,7.88%,4.64%,2338,2023-12-31 00:00:00,12.31,2338
Q3 2023,54248,2602,0.30,-,325221,214934,110288,8.96,110760,12.75,0.50,0.94,2.10%,9.38%,7.84%,-,2338,2023-09-30 00:00:00,10.063,2338
Q2 2023,52701,2043,0.24,0.226,322610,213061,109549,8.91,112462,16.23,0.54,0.95,2.26%,8.51%,6.16%,3.98%,2338,2023-06-30 00:00:00,10.425,2338
Q1 2023,53434,1856,0.21,-,307481,200503,106978,8.75,120978,18.71,0.58,0.99,0.83%,7.57%,5.34%,-,2338,2023-03-31 00:00:00,11.442,2338
Q4 2022,44634,1593,0.19,0.158,293666,189555,104111,8.47,97427,17.57,0.49,0.83,0.02%,2.99%,5.69%,3.02%,2338,2022-12-31 00:00:00,9.517,2338
Q3 2022,43754,920.8,0.11,-,294792,193213,101579,8.22,85579,16.35,0.45,0.76,0.83%,5.77%,6.12%,-,2338,2022-09-30 00:00:00,6.765,2338
Q2 2022,41582,1288,0.14,0.096,290050,183836,106214,8.23,122699,19.49,0.61,0.99,1.16%,5.42%,5.13%,3.00%,2338,2022-06-30 00:00:00,10.966,2338
Q1 2022,45188,1103,0.13,-,277692,172101,105591,8.30,135928,15.18,0.55,1.04,0.52%,5.82%,6.59%,-,2338,2022-03-31 00:00:00,10.895,2338
Q4 2021,40326,1432,0.16,0.185,293656,188141,105515,8.26,178615,15.33,0.66,1.38,2.01%,8.26%,6.52%,3.38%,2338,2021-12-31 00:00:00,13.43,2338
Q3 2021,44573,1551,0.17,-,293345,191356,101990,8.04,172060,13.99,0.62,1.40,3.95%,17.89%,7.15%,-,2338,2021-09-30 00:00:00,14.239,2338
Q2 2021,69902,3161,0.39,0.185,304182,203165,101018,8.00,179327,13.48,0.63,1.48,4.34%,20.86%,7.42%,3.41%,2338,2021-06-30 00:00:00,14.745,2338
Q1 2021,65414,3349,0.42,-,283539,196534,87005,7.09,174070,13.95,0.66,1.69,1.39%,13.36%,7.17%,-,2338,2021-03-31 00:00:00,16.402,2338
Q4 2020,49905,2122,0.26,0.233,271062,190363,80699,6.49,142574,13.01,0.61,1.49,3.78%,16.14%,7.69%,3.42%,2338,2020-12-31 00:00:00,13.326,2338
Q3 2020,52889,2426,0.31,-,265077,190453,74624,6.23,133396,12.77,0.60,1.57,3.48%,16.94%,7.83%,-,2338,2020-09-30 00:00:00,13.258,2338
Q2 2020,55495,2616,0.33,0.150,260978,186919,74059,6.14,118235,12.68,0.61,1.46,3.09%,14.54%,7.89%,2.59%,2338,2020-06-30 00:00:00,12.114,2338
Q1 2020,38999,2064,0.26,-,234893,162071,72822,5.98,102672,10.94,0.56,1.29,2.59%,15.10%,9.14%,-,2338,2020-03-31 00:00:00,10.47,2338
Q4 2019,,,,,,,,,,,,,,,,,2338,2019-12-31 00:00:00,13.792,2338
Q3 2024,179189,4876,0.28,-,1902332,1430297,472034,17.30,148814,5.97,0.18,0.28,1.09%,5.96%,17.74%,-,1800,2024-09-30 00:00:00,4.784,1800
Q2 2024,180543,5258,0.30,0.140,1864850,1395151,469699,16.84,134474,5.54,0.17,0.27,1.59%,6.48%,19.07%,10.30%,1800,2024-06-30 00:00:00,4.512,1800
Q1 2024,176904,6141,0.36,-,1818355,1348344,470011,16.86,127125,5.13,0.15,0.25,1.87%,8.40%,20.89%,-,1800,2024-03-31 00:00:00,3.342,1800
Q4 2023,210975,7566,0.49,0.293,1684263,1225138,459125,16.40,114553,4.60,0.14,0.23,1.34%,5.66%,23.02%,10.22%,1800,2023-12-31 00:00:00,3.152,1800
Q3 2023,182342,4908,0.28,-,1793517,1348394,445123,15.73,133104,6.80,0.17,0.28,1.18%,7.04%,15.97%,-,1800,2023-09-30 00:00:00,3.415,1800
Q2 2023,190092,5884,0.35,-,1746448,1308315,438133,15.50,158551,8.11,0.20,0.33,1.61%,6.44%,13.38%,-,1800,2023-06-30 00:00:00,3.877,1800
Q1 2023,176591,5582,0.32,-,1633364,1199160,434203,15.44,162397,7.81,0.20,0.33,0.70%,4.89%,13.90%,-,1800,2023-03-31 00:00:00,4.015,1800
Q4 2022,179886,3427,0.15,0.217,1516713,1089221,427492,15.13,123475,6.17,0.15,0.26,1.45%,5.86%,17.64%,7.61%,1800,2022-12-31 00:00:00,3.224,1800
Q3 2022,178055,4733,0.27,-,1618452,1184902,433550,14.63,106740,5.58,0.14,0.22,1.07%,7.03%,19.50%,-,1800,2022-09-30 00:00:00,2.837,1800
Q2 2022,191850,6009,0.36,-,1565683,1149489,416194,14.38,145548,6.97,0.18,0.30,1.83%,6.38%,15.55%,-,1800,2022-06-30 00:00:00,3.473,1800
Q1 2022,172095,5094,0.29,-,1477485,1074948,402537,14.25,155430,7.30,0.18,0.31,1.53%,5.06%,14.91%,-,1800,2022-03-31 00:00:00,3.347,1800
Q4 2021,169615,3030,0.12,0.204,1391109,999714,391395,14.01,142454,7.05,0.17,0.30,1.75%,6.77%,15.51%,7.29%,1800,2021-12-31 00:00:00,3.428,1800
Q3 2021,175589,5194,0.30,-,1490623,1112613,378010,15.95,135404,5.74,0.15,0.30,1.53%,7.25%,18.82%,-,1800,2021-09-30 00:00:00,3.38,1800
Q2 2021,188700,5445,0.31,-,1438973,1069137,369836,15.64,108208,4.60,0.12,0.24,1.71%,6.30%,23.18%,-,1800,2021-06-30 00:00:00,3.048,1800
Q1 2021,151928,4326,0.25,-,1359997,997427,362570,13.45,115981,5.88,0.14,0.27,2.42%,8.97%,18.62%,-,1800,2021-03-31 00:00:00,2.918,1800
Q4 2020,217851,6134,0.46,0.181,1304169,946365,357803,13.06,116086,6.69,0.16,0.27,1.98%,6.90%,16.58%,8.39%,1800,2020-12-31 00:00:00,2.559,1800
Q3 2020,163287,4950,0.27,-,1278156,963329,314827,12.57,117506,6.68,0.17,0.33,1.47%,5.12%,16.22%,-,1800,2020-09-30 00:00:00,3.094,1800
Q2 2020,150902,2787,0.12,-,1232556,925322,307234,12.23,113909,7.31,0.18,0.34,1.09%,3.31%,15.92%,-,1800,2020-06-30 00:00:00,3.338,1800
Q1 2020,95546,2335,0.13,-,1166390,858305,308085,14.22,130112,6.94,0.22,0.39,2.43%,10.27%,15.49%,-,1800,2020-03-31 00:00:00,3.91,1800
Q4 2019,,,,,,,,,,,,,,,,,1800,2019-12-31 00:00:00,4.598,1800
Q3 2024,15721,337.02,0.03,0.000,39504,33391,6113,0.41,135310,19.76,0.31,2.83,3.33%,20.22%,5.06%,4.37%,992,2024-09-30 00:00:00,10.501,0992
Q2 2024,14410,249.24,0.02,0.010,39257,33678,5578,0.38,97874,12.80,0.23,2.24,2.54%,12.33%,7.81%,5.97%,992,2024-06-30 00:00:00,10.59,0992
Q1 2024,12900,176.53,0.01,-,37924,32067,5857,0.40,99087,9.97,0.22,2.16,0.34%,7.13%,10.03%,-,992,2024-03-31 00:00:00,8.716,0992
Q4 2023,12635,113.61,0.01,0.048,38920,32873,6047,0.42,103089,8.17,0.21,2.17,4.41%,33.73%,12.24%,5.88%,992,2023-12-31 00:00:00,10.494,0992
Q3 2023,15267,437.2,0.03,-,41749,35945,5803,0.39,77741,5.23,0.15,1.72,4.86%,39.52%,19.12%,-,992,2023-09-30 00:00:00,7.691,0992
Q2 2023,17090,541.21,0.04,0.010,43293,37667,5627,0.38,66220,4.00,0.12,1.50,4.38%,39.31%,25.00%,7.67%,992,2023-06-30 00:00:00,7.514,0992
Q1 2023,16956,515.71,0.04,-,44248,38663,5585,0.38,88266,5.41,0.16,2.01,2.66%,33.09%,18.49%,-,992,2023-03-31 00:00:00,7.817,0992
Q4 2022,16694,412.16,0.03,0.038,44510,39116,5395,0.37,102595,6.45,0.18,2.43,5.28%,61.07%,15.50%,5.11%,992,2022-12-31 00:00:00,5.895,0992
Q3 2022,20127,639.61,0.05,-,45646,40854,4792,0.31,107894,7.54,0.20,2.89,4.92%,53.70%,13.57%,-,992,2022-09-30 00:00:00,4.96,0992
Q2 2022,17869,511.99,0.04,0.010,42575,38436,4139,0.27,100789,8.14,0.19,3.13,4.73%,49.95%,12.66%,4.43%,992,2022-06-30 00:00:00,6.395,0992
Q1 2022,16929,466.07,0.04,-,40461,36301,4160,0.27,107532,9.97,0.22,3.33,4.83%,30.33%,10.48%,-,992,2022-03-31 00:00:00,7.433,0992
Q4 2021,15630,260.23,0.02,0.031,37991,34380,3611,0.23,133181,15.08,0.28,4.74,4.76%,41.25%,7.07%,3.30%,992,2021-12-31 00:00:00,7.817,0992
Q3 2021,17245,400.72,0.03,-,38645,34734,3911,0.26,88145,11.83,0.20,2.91,4.12%,32.19%,8.85%,-,992,2021-09-30 00:00:00,7.228,0992
Q2 2021,14519,323.64,0.02,0.009,35084,30628,4456,0.23,61396,9.62,0.15,1.78,3.32%,23.82%,11.08%,6.66%,992,2021-06-30 00:00:00,7.477,0992
Q1 2021,13348,226.26,0.02,-,33495,29265,4230,0.21,51543,9.29,0.13,1.57,0.95%,6.07%,11.57%,-,992,2021-03-31 00:00:00,9.261,0992
Q4 2020,10579,55.99,0.00,0.028,32128,28069,4059,0.20,49982,9.70,0.13,1.59,Upgrade,Upgrade,11.15%,8.45%,992,2020-12-31 00:00:00,6.121,0992
Q3 2020,,,,,,,,,,,,,,,,,992,2020-09-30 00:00:00,4.229,0992
Q2 2020,,,,,,,,,,,,,,,,,992,2020-06-30 00:00:00,3.394,0992
Q1 2020,,,,,,,,,,,,,,,,,992,2020-03-31 00:00:00,3.291,0992
Q4 2019,,,,,,,,,,,,,,,,,992,2019-12-31 00:00:00,4.138,0992
Q3 2024,11756,636.4,0.31,-,75584,15626,59958,26.21,175718,29.23,2.66,2.65,3.31%,8.00%,3.42%,-,1880,2024-09-30 00:00:00,75.3,1880
Q2 2024,12458,976.44,0.47,-,75837,16311,59527,26.02,136669,20.75,2.02,2.14,9.14%,16.13%,4.82%,-,1880,2024-06-30 00:00:00,47.85,1880
Q1 2024,18807,2306,1.11,-,80253,18629,61624,27.14,189843,26.07,2.67,2.84,3.55%,12.55%,3.84%,-,1880,2024-03-31 00:00:00,75.829,1880
Q4 2023,16703,1507,0.73,1.650,78869,19688,59182,26.02,188937,25.54,2.54,2.90,5.86%,9.20%,3.91%,2.44%,1880,2023-12-31 00:00:00,74.517,1880
Q3 2023,14979,1341,0.65,-,79182,20836,58346,25.43,234145,38.90,3.31,3.74,5.03%,11.49%,2.57%,-,1880,2023-09-30 00:00:00,101.008,1880
Q2 2023,15089,1565,0.76,-,78910,21795,57115,24.82,245526,45.83,3.63,3.98,9.53%,17.87%,2.18%,-,1880,2023-06-30 00:00:00,102.238,1880
Q1 2023,20769,2301,1.11,-,79864,23581,56283,24.44,431443,79.19,6.46,6.71,-0.44%,4.96%,1.26%,-,1880,2023-03-31 00:00:00,187.211,1880
Q4 2022,15068,402.29,0.19,0.800,75908,21780,54127,23.48,503606,88.56,8.18,8.23,7.11%,8.98%,1.13%,0.41%,1880,2022-12-31 00:00:00,221.837,1880
Q3 2022,11714,690.25,0.35,-,69580,16093,53487,23.29,450066,70.41,7.09,7.63,11.04%,17.47%,1.42%,-,1880,2022-09-30 00:00:00,190.297,1880
Q2 2022,10868,1374,0.70,-,53619,17395,36224,15.97,532732,55.23,7.61,12.55,15.00%,32.53%,1.81%,-,1880,2022-06-30 00:00:00,,1880
Q1 2022,16782,2563,1.31,-,55520,18589,36931,16.43,396458,34.25,4.84,8.69,3.79%,14.02%,2.92%,-,1880,2022-03-31 00:00:00,,1880
Q4 2021,18177,1165,0.60,1.500,55474,20682,34791,15.17,525846,44.38,6.33,12.31,-,-,2.25%,-,1880,2021-12-31 00:00:00,,1880
Q3 2021,13973,3132,1.60,-,50779,16894,33885,14.74,613252,44.28,7.58,14.98,-,-,2.26%,-,1880,2021-09-30 00:00:00,,1880
Q2 2021,17392,2509,1.28,-,-,-,-,-,704693,55.45,8.51,-,23.91%,48.80%,1.80%,-,1880,2021-06-30 00:00:00,,1880
Q1 2021,18134,2848,1.46,-,49891,20272,29619,12.90,709087,65.61,9.47,20.18,28.68%,68.41%,1.52%,-,1880,2021-03-31 00:00:00,,1880
Q4 2020,17459,2976,1.52,1.000,41928,15742,26185,11.43,654930,88.40,10.42,21.06,22.17%,44.75%,1.13%,-,1880,2020-12-31 00:00:00,,1880
Q3 2020,15829,2234,1.14,-,39141,16665,22476,10.07,496772,118.31,9.08,19.37,11.62%,23.80%,0.85%,-,1880,2020-09-30 00:00:00,,1880
Q2 2020,11673,1051,0.54,-,34130,13794,20335,9.04,329951,126.95,6.91,14.79,-1.76%,-5.36%,0.79%,-,1880,2020-06-30 00:00:00,,1880
Q1 2020,7972,-21.86,-0.01,-,29933,8049,21884,10.17,143608,-,3.06,6.00,Upgrade,Upgrade,1.76%,-,1880,2020-03-31 00:00:00,,1880
Q4 2019,,,,,,,,,,,,,,,,,1880,2019-12-31 00:00:00,,1880
Q3 2024,47428,9230,0.36,-,360629,169771,190859,11.28,189355,7.82,0.96,0.90,5.53%,13.08%,12.79%,-,1898,2024-09-30 00:00:00,9.7,1898
Q2 2024,47589,4818,0.37,0.221,361379,173364,188014,11.12,160179,6.61,0.84,0.79,6.35%,14.24%,15.13%,8.58%,1898,2024-06-30 00:00:00,8.42,1898
Q1 2024,45395,4970,0.37,-,351794,162349,189445,11.30,144771,5.96,0.75,0.71,3.76%,8.79%,16.78%,-,1898,2024-03-31 00:00:00,7.035,1898
Q4 2023,36760,2846,0.21,0.442,349360,166578,182782,10.87,126857,4.68,0.60,0.63,5.62%,13.78%,21.37%,7.53%,1898,2023-12-31 00:00:00,6.555,1898
Q3 2023,46852,9924,0.39,-,345674,165173,180501,10.81,111060,5.00,0.51,0.57,5.82%,14.30%,19.99%,-,1898,2023-09-30 00:00:00,5.669,1898
Q2 2023,50198,4680,0.35,-,347360,173272,174088,10.43,107365,5.94,0.47,0.57,8.57%,22.20%,16.83%,-,1898,2023-06-30 00:00:00,5.373,1898
Q1 2023,59158,7155,0.54,-,348421,173994,174427,10.43,107058,5.03,0.43,0.54,3.93%,-3.34%,19.88%,-,1898,2023-03-31 00:00:00,5.096,1898
Q4 2022,45232,-1069,-0.08,0.413,340223,175055,165168,9.87,115263,-,0.46,0.62,7.89%,20.37%,17.91%,8.71%,1898,2022-12-31 00:00:00,5.438,1898
Q3 2022,57306,5951,0.45,-,343265,175188,168077,9.92,136686,5.86,0.50,0.74,9.64%,23.19%,17.07%,-,1898,2022-09-30 00:00:00,6.098,1898
Q2 2022,56309,6584,0.50,-,333041,174009,159033,9.42,138588,6.07,0.46,0.74,8.80%,25.42%,16.48%,-,1898,2022-06-30 00:00:00,5.695,1898
Q1 2022,61730,6793,0.51,-,338021,184904,153117,9.17,115653,5.50,0.37,0.61,6.07%,8.77%,18.17%,-,1898,2022-03-31 00:00:00,4.799,1898
Q4 2021,72257,1819,0.14,0.301,322610,179539,143071,8.62,89142,5.29,0.30,0.51,6.91%,17.83%,18.92%,10.22%,1898,2021-12-31 00:00:00,3.666,1898
Q3 2021,65392,4306,0.33,-,314053,174398,139655,8.47,124159,7.52,0.49,0.74,6.16%,17.08%,13.30%,-,1898,2021-09-30 00:00:00,4.848,1898
Q2 2021,55944,4098,0.30,-,301340,168265,133076,8.12,97713,7.25,0.45,0.61,5.46%,14.84%,13.80%,-,1898,2021-06-30 00:00:00,3.772,1898
Q1 2021,46236,3517,0.27,-,289709,160505,129204,7.91,81486,7.83,0.43,0.53,3.21%,7.78%,12.78%,-,1898,2021-03-31 00:00:00,2.824,1898
Q4 2020,40720,1753,0.14,0.134,282945,157949,124996,7.69,57935,8.26,0.35,0.39,3.76%,8.89%,12.11%,8.78%,1898,2020-12-31 00:00:00,1.838,1898
Q3 2020,38851,1845,0.13,-,283996,161974,122021,7.53,48810,10.64,0.32,0.35,3.87%,8.14%,9.40%,-,1898,2020-09-30 00:00:00,1.491,1898
Q2 2020,33873,1661,0.12,-,282429,162636,119793,7.39,45383,9.97,0.32,0.35,2.98%,4.76%,10.03%,-,1898,2020-06-30 00:00:00,1.388,1898
Q1 2020,27520,648.49,0.05,-,278330,159112,119218,7.41,48797,9.41,0.35,0.37,1.55%,-0.57%,10.62%,-,1898,2020-03-31 00:00:00,1.574,1898
Q4 2019,,,,,,,,,,,,,,,,,1898,2019-12-31 00:00:00,2.262,1898
Q3 2024,22585,1873,0.36,-,252091,54104,197987,35.15,144857,18.13,1.19,0.66,2.21%,3.84%,5.52%,-,914,2024-09-30 00:00:00,22.85,0914
Q2 2024,24238,1823,0.35,-,243735,47531,196204,34.78,124991,15.41,0.96,0.59,1.48%,3.00%,6.49%,-,914,2024-06-30 00:00:00,18.6,0914
Q1 2024,21328,1502,0.28,-,245175,46021,199154,35.34,117206,11.22,0.83,0.54,3.36%,3.94%,8.91%,-,914,2024-03-31 00:00:00,15.392,0914
Q4 2023,41956,2017,0.38,0.960,246189,48279,197910,35.06,122478,10.40,0.79,0.56,2.52%,4.64%,9.61%,6.20%,914,2023-12-31 00:00:00,17.056,0914
Q3 2023,33653,2207,0.42,-,247072,50452,196621,34.75,138831,10.68,0.89,0.66,4.59%,8.41%,9.36%,-,914,2023-09-30 00:00:00,19.713,0914
Q2 2023,34100,3913,0.74,-,241182,46606,194576,34.32,129633,9.61,0.85,0.62,2.58%,5.42%,10.41%,-,914,2023-06-30 00:00:00,19.666,0914
Q1 2023,31403,2553,0.48,-,243661,45083,198578,35.12,164473,10.67,1.04,0.72,4.08%,7.47%,9.37%,-,914,2023-03-31 00:00:00,23.717,0914
Q4 2022,46693,3442,0.65,1.480,243976,48068,195909,34.64,159282,8.88,1.07,0.72,3.19%,5.50%,11.26%,7.03%,914,2022-12-31 00:00:00,23.805,0914
Q3 2022,29052,2579,0.48,-,233767,44049,189718,34.09,159507,6.21,1.10,0.76,5.60%,10.53%,16.12%,-,914,2022-09-30 00:00:00,21.712,0914
Q2 2022,30810,4916,0.93,-,228954,41113,187840,33.80,209479,6.35,1.24,0.95,6.23%,10.51%,15.74%,-,914,2022-06-30 00:00:00,29.647,0914
Q1 2022,25466,4924,0.93,-,230996,34515,196481,35.52,247495,6.19,1.26,1.02,14.89%,24.14%,16.16%,-,914,2022-03-31 00:00:00,32.716,0914
Q4 2021,46247,10878,2.06,2.380,230556,38699,191857,34.67,248475,6.08,1.21,1.06,10.62%,17.30%,16.43%,9.24%,914,2021-12-31 00:00:00,31.62,0914
Q3 2021,41248,7422,1.40,-,211973,32813,179160,32.58,251720,6.35,1.20,1.16,13.35%,21.86%,15.74%,-,914,2021-09-30 00:00:00,34.096,0914
Q2 2021,46023,9158,1.72,-,200908,29238,171669,31.20,251008,6.13,1.14,1.22,8.59%,13.90%,16.32%,-,914,2021-06-30 00:00:00,33.446,0914
Q1 2021,34441,5809,1.10,-,203184,29453,173731,31.61,308773,7.22,1.39,1.50,15.89%,26.42%,13.85%,-,914,2021-03-31 00:00:00,38.869,0914
Q4 2020,52236,10417,1.96,2.120,201853,33237,168616,30.60,308292,7.38,1.47,1.54,13.30%,23.52%,13.54%,6.74%,914,2020-12-31 00:00:00,37.408,0914
Q3 2020,50051,8672,1.64,-,196665,39052,157613,28.59,321513,8.16,1.65,1.79,18.07%,31.53%,12.25%,-,914,2020-09-30 00:00:00,40.983,0914
Q2 2020,50800,11156,2.10,-,183295,34473,148821,26.98,300019,7.95,1.72,1.84,8.89%,13.67%,12.58%,-,914,2020-06-30 00:00:00,40.137,0914
Q1 2020,23207,4913,0.93,-,179662,32375,147287,26.85,311197,8.77,1.90,1.93,19.28%,29.03%,11.40%,-,914,2020-03-31 00:00:00,39.871,0914
Q4 2019,,,,,,,,,,,,,,,,,914,2019-12-31 00:00:00,42.056,0914
Q3 2024,63060,2000,0.12,-,214250,104287,109963,3.88,154640,13.53,0.66,1.27,9.82%,27.33%,7.44%,-,2600,2024-09-30 00:00:00,6.071,2600
Q2 2024,61762,4786,0.28,0.082,217092,108477,108615,3.75,129359,11.74,0.60,1.11,6.34%,16.01%,8.57%,3.32%,2600,2024-06-30 00:00:00,5.236,2600
Q1 2024,48956,2230,0.13,-,213617,110252,103364,3.54,125588,16.38,0.56,1.12,6.14%,13.88%,6.16%,-,2600,2024-03-31 00:00:00,4.802,2600
Q4 2023,36666,1364,0.08,0.080,211756,112867,98889,3.41,97508,13.30,0.39,0.90,6.57%,15.36%,7.59%,2.34%,2600,2023-12-31 00:00:00,3.768,2600
Q3 2023,54342,1936,0.11,-,210340,114299,96041,3.33,106359,24.62,0.39,1.03,4.34%,11.74%,4.18%,-,2600,2023-09-30 00:00:00,4.232,2600
Q2 2023,67783,1604,0.09,-,207665,115478,92187,3.21,91701,27.93,0.32,0.92,4.88%,13.00%,3.72%,-,2600,2023-06-30 00:00:00,3.256,2600
Q1 2023,66279,1813,0.10,-,212948,122129,90819,3.19,99075,22.38,0.31,0.95,1.94%,-0.77%,4.61%,-,2600,2023-03-31 00:00:00,3.802,2600
Q4 2022,63367,-1207,-0.08,0.036,212348,124593,87754,3.08,79887,-,0.24,0.81,6.00%,11.66%,5.93%,1.28%,2600,2022-12-31 00:00:00,3.172,2600
Q3 2022,68661,942.64,0.05,-,198442,118652,79790,3.40,70248,11.29,0.19,0.80,10.48%,26.36%,9.19%,-,2600,2022-09-30 00:00:00,2.455,2600
Q2 2022,78523,2446,0.14,-,194807,116905,77901,3.39,85109,10.44,0.22,0.93,6.83%,17.78%,9.80%,-,2600,2022-06-30 00:00:00,2.837,2600
Q1 2022,80437,2010,0.12,-,196623,121489,75134,3.31,112174,13.80,0.28,1.21,12.86%,15.34%,7.48%,-,2600,2022-03-31 00:00:00,4.342,2600
Q4 2021,103956,451.93,0.02,0.032,224863,135165,89698,3.41,114767,16.85,0.31,1.04,7.69%,16.96%,6.16%,0.96%,2600,2021-12-31 00:00:00,4.069,2600
Q3 2021,74112,2213,0.12,-,197333,118689,78645,3.23,145676,22.57,0.49,1.53,7.16%,17.45%,4.65%,-,2600,2021-09-30 00:00:00,5.56,2600
Q2 2021,68164,2113,0.12,-,194112,118161,75951,3.11,101627,23.51,0.38,1.11,4.56%,8.71%,4.52%,-,2600,2021-06-30 00:00:00,4.371,2600
Q1 2021,52653,981.14,0.06,-,196293,123542,72751,2.99,71125,41.24,0.30,0.82,1.56%,3.54%,2.86%,-,2600,2021-03-31 00:00:00,3.021,2600
Q4 2020,52836,296.96,0.00,-,195041,123736,71305,2.94,67188,112.44,0.30,0.79,3.77%,4.11%,1.35%,-,2600,2020-12-31 00:00:00,2.587,2600
Q3 2020,49046,431.63,0.01,-,195577,123654,71923,2.93,49667,150.11,0.25,0.61,1.07%,0.54%,1.17%,-,2600,2020-09-30 00:00:00,1.492,2600
Q2 2020,44413,4.78,-0.01,-,202719,131691,71028,2.89,45322,-,0.23,0.58,1.36%,0.76%,0.44%,-,2600,2020-06-30 00:00:00,1.369,2600
Q1 2020,39696,30.93,0.00,-,207859,137031,70828,2.88,47301,196.57,0.23,0.61,0.46%,0.15%,1.02%,-,2600,2020-03-31 00:00:00,1.454,2600
Q4 2019,,,,,,,,,,,,,,,,,2600,2019-12-31 00:00:00,2.52,2600
Q3 2024,6067,1722,0.06,-,672171,540630,131541,4.12,147913,32.50,5.95,1.02,0.78%,3.69%,3.08%,-,6806,2024-09-30 00:00:00,2.035,6806
