Company code,Company Name,Sector,Industry,Year,EPS,BVPS,ROA,ROE,DIV,P/E Ratio,DAR,MB,DY,Market Cap,Total Assets,Year End Price
600000.SS,PU DEV BANK,Financial Services,Banks - Regional,2023,1.07,24.69147101,0.004074719,12.29014005,0.32,5.967225315,0.146682,0.258588526,0.050118004,1.87412E+11,9.00725E+12,6.384931087
600004.SS,BAIYUN AIRPORT,Industrials,Airports & Air Services,2023,0.19,7.433607956,0.016873041,1.470826761,0,51.06978667,0.087785795,1.305323004,0,22964898248,26190045631,9.703259468
600006.SS,DONGFENG,Consumer Cyclical,Auto Manufacturers,2023,0.1,4.154818709,0.010434089,2.229800313,0.0428,57.44756222,0.009401936,1.382673138,0.007450273,11489512444,19171886082,5.744756222
600007.SS,CHINA WORLD TRADE,Real Estate,Real Estate Services,2023,1.25,9.630051552,0.097755464,1.327406872,0.7,14.65500183,0.125791229,1.902248621,0.038212209,18452112805,12881135035,18.31875229
600008.SS,BEIJING CAPITAL ECO-ENVIRONMENT PROTECTION,Industrials,Conglomerates,2023,0.2188,3.964499155,0.014686956,2.849760192,0.13,11.86295336,0.43744367,0.654714276,0.050084485,19053339810,1.09359E+11,2.595614195
600009.SS,SH AIRPORT,Industrials,Airports & Air Services,2023,0.38,16.29173221,0.01344333,1.653252407,0,85.70191233,0.290931034,1.998972624,0,81041648020,69480530980,32.56672668
600011.SS,HUANENG INT'L,Utilities,Utilities - Independent Power Producers,2023,0.35,12.01511849,0.015606423,3.157978477,0,21.52941159,0.532273051,0.62715104,0,82870900304,5.41159E+11,7.535294056
600012.SS,WANTONG EXPRESSWAY,Industrials,Infrastructure Operations,2023,1.0008,10.85870933,0.076358081,1.540129034,0.55,10.55002594,0.299542969,0.972349995,0.052090901,12306947920,21738743119,10.55846596
600015.SS,HUAXIA BANK,Financial Services,Banks - Regional,2023,1.48,20.01765581,0.00619611,13.22333277,0.383,3.576363422,0.188801452,0.264417468,0.072359476,84237852548,4.25477E+12,5.293017864
600016.SS,MINSHENG BANK,Financial Services,Banks - Regional,2023,0.72,17.61322704,0.004667513,12.03347909,0.214,4.742058449,0.103039297,0.193847617,0.062677891,1.21078E+11,7.67497E+12,3.414282084
600017.SS,RIZHAO PORT,Industrials,Marine Shipping,2023,0.21,4.323136139,0.01629784,2.54788117,0.04,12.77998288,0.400267601,0.620798494,0.01490426,8254418544,39311496831,2.683796406
600018.SS,SHANG PORT GP,Industrials,Marine Shipping,2023,0.5691,5.290723118,0.064856216,1.494829857,0.14,8.355192467,0.24012487,0.898731596,0.029443063,1.10702E+11,2.03576E+11,4.754940033
600019.SS,BAO IRON,Basic Materials,Steel,2023,0.54,9.11182593,0.031761747,1.708254841,0.21,10.4672326,0.135249877,0.620326337,0.037152981,1.24267E+11,3.76051E+11,5.652305603
600020.SS,ZHONGYUAN EXPRESSWAY,Industrials,Infrastructure Operations,2023,0.3176,6.569306172,0.016548468,3.390868241,0.019,11.14760223,0.606830665,0.538942527,0.005366506,7956765038,50060670731,3.540478468
600021.SS,SEP,Utilities,Utilities - Renewable,2023,0.4954,9.862536436,0.009447935,3.334101084,0.035,16.73001361,0.513241305,0.840356717,0.004222948,23345279215,1.68572E+11,8.288048744
600022.SS,SHANDONG IRON AND STEEL,Basic Materials,Steel,2023,-0.0373,1.975105684,-0.005986387,2.179916422,0.03,-36.72922265,0.182662994,0.693633772,0.02189781,14657356226,66751416214,1.370000005
600023.SS,ZHENENG ELEC POWER,Utilities,Utilities - Independent Power Producers,2023,0.49,5.026941363,0.044279655,1.841263359,0,9.105844887,0.333696406,0.887590221,0,59827797601,1.47241E+11,4.461863995
600025.SS,HUANENG HYDROPOWER,Utilities,Utilities - Renewable,2023,0.4,3.740503561,0.039121612,2.760605701,0.175,21.20479107,0.563912434,2.26758678,0.02063213,1.52674E+11,1.95239E+11,8.481916428
600026.SS,COSCO SHIPPING ENERGY,Energy,Oil & Gas Midstream,2023,0.7019,9.897462559,0.04645601,1.942780489,0.15,16.71823278,0.41217381,1.185609697,0.01278279,40774900645,72083612000,11.73452759
600027.SS,HUADIAN INTERNATIONAL,Utilities,Utilities - Regulated Electric,2023,0.35,8.196655498,0.020275287,2.674944745,0.2,14.11731039,0.52724151,0.602813994,0.040477156,42050038828,2.23036E+11,4.941058636
600028.SS,SINOPEC,Energy,Oil & Gas Integrated,2023,0.487,8.258459551,0.028799385,2.118306063,0.34,10.85184144,0.217430666,0.639931303,0.064334883,5.13858E+11,2.0247E+12,5.284846783
600030.SS,CITIC SECURITIES,Financial Services,Capital Markets,2023,1.3,22.03513,0.013568943,5.300376818,0.49,15.15864592,0.182571988,0.894310118,0.024865221,2.40426E+11,1.45336E+12,19.7062397
600031.SS,SANY HEAVY INDUS,Industrials,Farm & Heavy Construction Machinery,2023,0.5347,8.028330248,0.02994331,2.185858973,0.16,25.39212177,0.234644382,1.691157076,0.01178449,1.15066E+11,1.51202E+11,13.57716751
600032.SS,ZHEJIANG NEW ENERGY,Utilities,Utilities - Renewable,2023,0.2731,5.030696748,0.011848439,2.894917651,0.0692,28.98435198,0.539792528,1.573465252,0.008742201,19034548288,52931409056,7.915626526
600033.SS,FUJIAN EXPRESSWAY,Industrials,Infrastructure Operations,2023,0.3288,4.056891098,0.053854237,1.23342457,0.15,8.977705255,0.087766559,0.727618616,0.050815255,8101110244,16753669564,2.951869488
600035.SS,CHUTIAN EXPRESS,Industrials,Infrastructure Operations,2023,0.59,5.087376547,0.048204884,2.0506251,0.14,6.192427166,0.367198499,0.7181564,0.038319084,5882624755,19546838763,3.653532028
600036.SS,CMB,Financial Services,Banks - Regional,2023,5.63,52.17777043,0.013293034,10.15767563,1.738,4.66040447,0.039584048,0.502859301,0.06623961,5.41263E+11,1.10285E+13,26.23807716
600037.SS,GEHUA NETWORK,Communication Services,Broadcasting,2023,-0.1239,9.216382226,-0.01084096,1.239892096,0.073,-62.11151126,0.022760767,0.834993174,0.00948592,10710604532,15904314331,7.695616245
600038.SS,AVICOPTER,Industrials,Aerospace & Defense,2023,0.751,12.20485645,nan,nan,0.197,51.06958219,nan,3.142458609,0.005136461,31445566000,nan,38.35325623
600039.SS,SRBG,Industrials,Engineering & Construction,2023,1.04,5.179662841,0.037373575,4.747078289,0.91,6.684408738,0.316095426,1.342130811,0.13090163,60565756255,2.40915E+11,6.951785088
600048.SS,POLY DEVELOPMENTS,Real Estate,Real Estate - Development,2023,1.01,16.58617027,0.00839798,4.263496121,0.45,9.334131751,0.249231862,0.568393602,0.047732833,1.12851E+11,1.43691E+12,9.427473068
600050.SS,CHINA UNICOM,Communication Services,Telecom Services,2023,0.261,5.00746953,0.012329703,1.851857633,0.1223,16.28727931,0.070041482,0.848927762,0.028769837,1.35184E+11,6.62845E+11,4.2509799
600051.SS,NINGBO UNITED,Industrials,Industrial Distribution,2023,0.34,10.68901379,0.019138943,1.508098167,0.12,20.75449439,0.111816071,0.660166432,0.01700553,2193733453,5548838280,7.056528091
600052.SS,DONGWANG TIMES,Real Estate,Real Estate - Development,2023,0.14,3.502230663,0.032638578,1.169242098,0,35.21238736,0.032713851,1.407598386,0,4161657028,3470291411,4.92973423
600053.SS,JIUDING INVESTMENT,Financial Services,Asset Management,2023,0.0354,6.668737979,0.004511667,1.168096156,0.16,399.1525456,0.006452872,2.1188417,0.011323425,6125934267,3401214856,14.13000011
600054.SS,HUANGSHAN TOURISM,Consumer Cyclical,Lodging,2023,0.58,8.74048138,0.074794011,1.205164136,0,18.40888385,0.065415475,1.221574896,0,5480582447,5654288820,10.67715263
600055.SS,WANDONG MEDICAL,Healthcare,Medical Devices,2023,0.27,6.701372587,0.034938205,1.119424493,0.12,62.69599067,0.00306076,2.526037354,0.007088881,11901358456,5396325531,16.92791748
600056.SS,CHINA MEHECO,Healthcare,Medical Distribution,2023,0.7006,7.72825938,0.028015012,2.693758726,0.14755,15.58537691,0.150238878,1.412881547,0.013513,16333685147,37409912222,10.91911507
600057.SS,XIAMEN XIANGYU,Industrials,Integrated Freight & Logistics,2023,0.63,9.333071553,0.012134743,3.487410798,0.61,10.21308975,0.215652083,0.689402894,0.094805195,14368059196,1.29705E+11,6.43424654
600059.SS,GUYUE LONGSHAN,Consumer Defensive,Beverages - Wineries & Distilleries,2023,0.44,6.381549109,0.057950338,1.169004099,0.08,20.79347914,0.00079565,1.433684935,0.008744,8339817153,6844231540,9.149130821
600060.SS,HISENSE VISUAL,Technology,Consumer Electronics,2023,1.622,14.47901423,0.046464485,1.787656013,0.644,12.29775261,0.040900457,1.37764591,0.03228563,26030177191,45106594415,19.94695473
600061.SS,SDIC CAPITAL,Financial Services,Capital Markets,2023,0.36,8.293247634,0.008413829,4.763151242,0.092,18.35798025,0.424263089,0.796898053,0.013920679,42257000450,2.80114E+11,6.60887289
600062.SS,CR DOUBLE-CRANE,Healthcare,Drug Manufacturers - Specialty & Generic,2023,1.3002,10.67525099,0.086386685,1.308842881,0.289,14.03416474,0.018723413,1.709301357,0.015838028,18956855126,15430959899,18.24722099
600063.SS,WANWEI HI-TECH,Basic Materials,Chemicals,2023,0.16,3.822163772,0.024247165,1.744371043,0.15,26.50069892,0.270601223,1.109348547,0.035376425,8923824291,14092283021,4.240111828
600064.SS,NANJING GAOKE,Real Estate,Real Estate - Development,2023,0.902,10.13570561,0.041845835,2.009456171,0.42,6.389365757,0.211671624,0.568604509,0.07287608,9972308995,37283181671,5.763207912
600066.SS,YUTONG BUS,Industrials,Farm & Heavy Construction Machinery,2023,0.82,6.286968452,0.058887343,2.19519036,1,14.98641386,0.000571533,1.954655803,0.081374517,27206796915,30856955973,12.28885937
600072.SS,CSSC SCIENCE & TECHNOLOGY,Basic Materials,Steel,2023,0.1074,7.23142356,0.003365577,4.230894759,0.045,172.1329218,0.391644393,2.556491907,0.002434133,27851150626,48080793430,18.48707581
600073.SS,BMGC,Consumer Defensive,Packaged Foods,2023,0.24,5.278175544,0.014723622,2.268158465,0.161,28.03262273,0.249435874,1.274650568,0.023930452,6308880950,15320349904,6.727829456
600075.SS,XINJIANG TIANYE,Basic Materials,Chemicals,2023,-0.45,5.41878549,-0.036809228,2.275278402,0.1,-9.600000381,0.392369321,0.797226644,0.023148147,7375795493,21065468963,4.320000172
600078.SS,CHENGXING,Basic Materials,Chemicals,2023,-0.0918,2.802341841,-0.010997892,2.414812613,0.08,-91.35323153,0.294961899,2.99257804,0.009539451,5556487286,5530981480,8.386226654
600079.SS,HUMANWELL HEALTHCARE,Healthcare,Drug Manufacturers - Specialty & Generic,2023,1.32,10.44191064,0.058956666,1.801333215,0.16,18.21672411,0.25746471,2.302842522,0.006653892,39248726722,36204297567,24.04607582
600081.SS,"Dong Feng Electronic Technology Co.,Ltd.",Consumer Cyclical,Auto Parts,2023,0.266,8.202651324,0.012757128,1.929433527,0.070628,41.84071103,0.062321596,1.356833138,0.006345944,6154974104,10516941735,11.12962914
600082.SS,HI-TECH DEV,Industrials,Conglomerates,2023,0.0196,2.739949127,0.004324718,1.657534409,0,175.4432917,0.269735849,1.255019111,0,2221791560,2934374408,3.438688517
600085.SS,TONGRENTANG,Healthcare,Drug Manufacturers - Specialty & Generic,2023,1.217,9.521179905,0.055462446,1.485377522,0.32,42.99607978,0.103437133,5.495771492,0.00611548,71763850906,30089450164,52.3262291
600088.SS,CHINA TV MEDIA,Communication Services,Entertainment,2023,0.597,3.134000448,0.139684185,1.313004768,0,21.47419289,0.057339619,4.090648157,0,5098627763,1698626008,12.82009315
600089.SS,TEBA,Industrials,Electrical Equipment & Parts,2023,2.3888,12.38182329,0.055772822,2.187327123,1.12,5.692685521,0.222131635,1.098278246,0.082360892,68711307292,1.91898E+11,13.59868717
600094.SS,GREATTOWN,Real Estate,Real Estate - Development,2023,0.09,5.503427634,0.008787429,1.958468598,0,33.01384449,0.121465769,0.539890083,0,6764338843,25326101115,2.971246004
600095.SS,XIANGCAI,Consumer Defensive,Farm Products,2023,0.04,4.153629641,0.003614269,2.776681008,0.069,186.7662787,0.296395486,1.79858384,0.009236143,21360011180,33041353329,7.47065115
600096.SS,YUNTIANHUA,Basic Materials,Agricultural Inputs,2023,2.4691,10.21761158,0.086021132,2.388442993,1,6.024226746,0.373388393,1.455762743,0.06722952,27284591406,52570781784,14.87441826
600097.SS,KAICHUANG INT'L,Consumer Defensive,Farm Products,2023,0.62,9.306429349,0.043598519,1.483156782,0.133,16.85286491,0.182901889,1.12274814,0.012728763,2517496719,3402941792,10.44877625
600098.SS,GUANGZHOU DEV,Energy,Thermal Coal,2023,0.4694,7.225112164,0.02212982,2.62895363,0.2,10.99740692,0.462851862,0.714477878,0.038743301,18100212623,74014050570,5.162182808
600099.SS,LINHAI,Consumer Cyclical,Auto Parts,2023,0.061,2.32620012,0.015709128,1.662504333,0.03,166.9568546,0.035406978,4.378113493,0.002945691,2231598745,847406671.7,10.18436813
600101.SS,MINGXING ELECTRIC,Utilities,Utilities - Diversified,2023,0.327308,5.145058316,0.046047873,1.381664637,0.061538,19.56837089,0.021436561,1.244861369,0.00960798,3508992846,3894611438,6.404884338
600103.SS,QINGSHAN PAPER,Basic Materials,Paper & Paper Products,2023,0.0551,1.719966463,0.01976685,1.46144408,0.05,43.01371029,0.147696465,1.377966076,0.021096553,5340351190,6167016439,2.370055437
600104.SS,SAIC MOTOR,Consumer Cyclical,Auto Manufacturers,2023,1.226,24.73531945,0.014012975,2.935634432,0.3371,10.73216381,0.193662967,0.531937049,0.02562011,1.52304E+11,1.00665E+12,13.15763283
600105.SS,ETERN,Technology,Communication Equipment,2023,0.03,1.924739741,0.005155896,2.687900944,0,182.7886899,0.37544707,2.849040097,0,8017057192,8388512401,5.483660698
600106.SS,CHONGQING ROAD & BRIDGE,Industrials,Infrastructure Operations,2023,0.16,3.516744701,0.031539324,1.434580424,0.046,41.36312604,0.243944798,1.881882459,0.006950635,8795653770,6705027010,6.618100166
600108.SS,YASHENG GP,Consumer Defensive,Farm Products,2023,0.0536,2.147300364,0.011612791,2.152017059,0.004,51.74923744,0.394223442,1.291742493,0.001442086,5400286941,8992934283,2.773759127
600109.SS,SINOLINK SECURITIES,Financial Services,Asset Management,2023,0.462,8.771875014,0.014683444,3.568437494,0.04,19.26939002,0.28357894,1.014886575,0.004493141,33050911321,1.17032E+11,8.902458191
600110.SS,NUODE,Industrials,Electrical Equipment & Parts,2023,0.0166,3.524383649,0.001792356,1.994290878,0.1,339.7590281,0.367715283,1.600279773,0.017730497,9786415149,15238872730,5.639999866
600111.SS,CNREHT,Basic Materials,Other Industrial Metals & Mining,2023,0.6558,5.980342823,0.05854163,1.505379565,0.17,29.37137154,0.172453149,3.220843022,0.008825784,69632557210,40496655048,19.26174545
600113.SS,ZJDR,Industrials,Industrial Distribution,2023,0.5,5.535954761,0.05541311,1.504010845,0.12,16.07868195,0.092804339,1.452204962,0.014926597,3387513052,3736476726,8.039340973
600114.SS,NBTM,Consumer Cyclical,Auto Parts,2023,0.32,4.099973451,0.029238397,2.319701816,0.1,47.72206247,0.399955583,3.724672896,0.006548334,9412821403,6769069473,15.27105999
600116.SS,THREE GORGES WATER CONSERVANCY,Utilities,Utilities - Renewable,2023,0.27,5.83835155,0.021908499,2.060550237,0.15,27.31817563,0.365416847,1.263354452,0.020336481,14103767852,23537179468,7.375907421
600118.SS,CHINA SPACESAT,Industrials,Aerospace & Defense,2023,0.13,5.358723033,0.011662758,1.648802774,0.075,198.253925,0.042391695,4.809543262,0.002910021,30476326483,13507540792,25.77301025
600120.SS,ZHEJIANG ORIENT,Financial Services,Asset Management,2023,0.14,4.596489468,0.012245211,2.249063156,0.079,25.2067021,0.17000849,0.767746411,0.022386336,12052665156,39605453037,3.528938293
600123.SS,LANHUA SCI-TECH VENTURE,Energy,Thermal Coal,2023,1.4124,11.29664307,0.06780195,1.854945818,1,7.301788768,0.262215043,0.912930185,0.096964559,15193593220,30937298162,10.31304646
600125.SS,TIELONG LOGISTICS,Industrials,Railroads,2023,0.361,5.386555254,0.047030502,1.418187534,0.08,16.44387734,0.085590385,1.102047494,0.013476545,7749879678,10010076733,5.936239719
600126.SS,HANG STEEL,Basic Materials,Steel,2023,0.05,5.980759669,0.005840465,1.543945703,0.05,105.4102612,0.058755747,0.88124475,0.009486742,17799523403,31201453541,5.270513058
600128.SS,SOHO HOLLY,Consumer Cyclical,Specialty Retail,2023,0.13,8.555684563,0.00550682,2.188174385,0.1,74.01343859,0.086521442,1.124602824,0.010393123,2374339268,5926389975,9.621747017
600129.SS,TAIJI GP,Healthcare,Drug Manufacturers - Specialty & Generic,2023,1.48,6.504298065,0.057045365,3.84740617,0,31.14202345,0.293156374,7.086113557,0,25667214987,14411774084,46.0901947
600131.SS,STATE GRID,Utilities,Utilities - Renewable,2023,0.69,5.268309243,0.061018049,2.143748421,0.2,21.69434782,0.009627111,2.841348013,0.013360857,17989265614,13573847624,14.9691
600132.SS,CHONGQING BREWERY,Consumer Defensive,Beverages - Brewers,2023,2.76,4.422166998,0.107904001,3.391677921,2.6,22.53817683,0.013219877,14.06671618,0.041797036,30105594674,12386911594,62.20536804
600133.SS,EAST LAKE HIGH TECH,Industrials,Engineering & Construction,2023,1.2106,8.383780326,0.056515982,1.940894064,0.126,8.758128664,0.283603072,1.264655102,0.011883888,11304906160,19096762500,10.60259056
600135.SS,LUCKY FILM,Basic Materials,Chemicals,2023,-0.0843,4.508097132,-0.013015706,1.425090509,0.021,-95.72953375,0.073537771,1.790112204,0.002602231,4465187386,3585000724,8.069999695
600137.SS,LANGSHA,Consumer Cyclical,Apparel Manufacturing,2023,0.233,5.505861148,0.031969331,1.322172345,0.13,77.02053872,0.000219286,3.259396676,0.007244041,1744646199,707714704.6,17.94578552
600138.SS,CYTS ,Consumer Cyclical,Lodging,2023,0.27,8.584845262,0.011222238,2.070921143,0,39.00999493,0.354057631,1.226894406,0,7623988577,17286872736,10.53269863
600141.SS,XINGFA GP,Basic Materials,Chemicals,2023,1.25,18.76723143,0.030944573,2.028267246,1,14.17742462,0.273879632,0.944293827,0.056427738,19551555493,44560893361,17.72178078
