Quarter,Revenue,Net Income,EPS (Diluted),Dividend Per Share,Total Assets,Total Liabilities,Shareholders' Equity,Book Value Per Share,Market Capitalization,PE Ratio,PS Ratio,PB Ratio,Return on Assets (ROA),Return on Equity (ROE),Earnings Yield,Dividend Yield,Stock Symbol,Date,Stock Price,Symbol
Q3 2020,9561898,3990903,714.02,-,1188572083,1094996063,93576020,16724.94,311916593,20.84,8.34,3.33,1.58%,21.14%,5.53%,-,VCB,9/30/2020 0:00,36.58,VCB
Q2 2020,8877338,4610339,823.51,-,1185262404,1095684373,89578031,16010.5,297822859,18.58,7.77,3.32,1.41%,20.15%,6.15%,-,VCB,6/30/2020 0:00,34.92,VCB
Q1 2020,10133037,4177915,749.17,-,1144270262,1059198276,85071986,15205.18,229950402,14.58,5.9,2.7,Upgrade,Upgrade,7.85%,-,VCB,3/31/2020 0:00,26.97,VCB
Q4 2019,,,,,,,,,,,,,,,,,VCB,12/31/2019 0:00,39.23,VCB
Q3 2024,12805459,5151318,746.84,-,2575981275,2437541619,138439656,19333,283311664,13.66,5.05,2.05,1.08%,19.80%,8.24%,-,BID,9/30/2024 0:00,41.07,BID
Q2 2024,14867124,6365954,922.93,-,2521053454,2386353751,134699703,18797.13,246543853,12.22,4.46,1.83,1.02%,18.79%,9.24%,-,BID,6/30/2024 0:00,35.74,BID
Q1 2024,12782520,5812648,842.71,-,2328730752,2199712917,129017835,17971.88,296992710,15.44,5.53,2.3,1.11%,20.30%,7.36%,-,BID,3/31/2024 0:00,43.06,BID
Q4 2023,15656633,6027424,494.82,-,2300868728,2178001839,122866889,17093.19,247398918,13.1,4.7,2.01,0.89%,16.22%,8.69%,-,BID,12/31/2023 0:00,35.87,BID
Q3 2023,11937244,4582880,664.42,-,2132854577,2013766739,119087838,16563.44,224345531,13.31,4.49,1.88,1.05%,19.82%,8.72%,-,BID,9/30/2023 0:00,32.52,BID
Q2 2023,13324275,5426134,786.68,-,2124767632,2010615988,114151644,15860.28,219287007,12.5,4.37,1.92,1.05%,20.78%,9.24%,-,BID,6/30/2023 0:00,31.79,BID
Q1 2023,11751350,5468480,792.82,-,2106864549,1997016087,109848462,15225.95,233703800,13.52,4.81,2.13,0.80%,16.22%,8.55%,-,BID,3/31/2023 0:00,33.88,BID
Q4 2022,12990693,4078937,199.69,-,2120676711,2016558206,104118505,14410.24,195259019,12.69,4.28,1.88,1.06%,21.98%,9.26%,-,BID,12/31/2022 0:00,28.31,BID
Q3 2022,12125582,5277956,765.19,-,2048952718,1948027658,100925060,13955.29,171483957,11.92,4.11,1.7,1.09%,22.64%,9.44%,-,BID,9/30/2022 0:00,24.86,BID
Q2 2022,11685443,5157859,747.78,-,1979292691,1885375152,93917539,13184.39,169460548,15.19,4.54,1.8,0.81%,16.52%,7.65%,-,BID,6/30/2022 0:00,24.57,BID
Q1 2022,8835528,3571160,517.74,-,1847704434,1757866709,89837725,12559.73,220045786,22.79,6.39,2.45,0.52%,10.48%,5.21%,-,BID,3/31/2022 0:00,31.9,BID
Q4 2021,9064021,2185273,54.86,-,1761695792,1675366766,86329026,12052.85,187671324,21.49,5.68,2.17,0.51%,9.95%,5.62%,-,BID,12/31/2021 0:00,27.21,BID
Q3 2021,7744644,2048016,296.92,-,1686678164,1600659921,86018243,12008.19,158668612,20,4.92,1.84,0.93%,17.93%,6.21%,-,BID,9/30/2021 0:00,22.9,BID
Q2 2021,8771783,3658712,530.44,-,1642336884,1557788374,84548510,11795.87,190040352,23.77,6.11,2.25,0.71%,13.45%,5.22%,-,BID,6/30/2021 0:00,27.42,BID
Q1 2021,7432524,2648137,383.92,-,1558887407,1476624113,82263294,11457.4,172745675,27.33,5.99,2.1,0.42%,7.73%,4.77%,-,BID,3/31/2021 0:00,24.93,BID
Q4 2020,8283537,1495894,-60.85,116.621,1516685712,1437039100,79646612,11078.11,192654664,-,7.21,2.42,0.60%,10.80%,3.63%,0.42%,BID,12/31/2020 0:00,27.8,BID
Q3 2020,6634473,2108359,305.67,-,1467805954,1386365229,81440725,11343.68,164098336,24.99,5.72,2.01,0.57%,10.31%,5.10%,-,BID,9/30/2020 0:00,23.29,BID
Q2 2020,6503004,1983041,287.5,-,1446040448,1366394306,79646142,11090.39,152434484,24.3,5.47,1.91,0.39%,7.36%,5.30%,-,BID,6/30/2020 0:00,21.63,BID
Q1 2020,5298189,1409328,204.32,-,1446044081,1366774763,79269318,11032.86,124079257,20.67,4.47,1.57,Upgrade,Upgrade,6.29%,-,BID,3/31/2020 0:00,17.61,BID
Q4 2019,,,,,,,,,,,,,,,,,BID,12/31/2019 0:00,26.34,BID
Q3 2024,12647634,5225859,973.16,-,2229791111,2088805155,140985956,26088.52,198421195,9.19,4.02,1.41,1.02%,16.23%,10.88%,-,CTG,9/30/2024 0:00,36.95,CTG
Q2 2024,11823698,5365295,999.13,-,2161436302,2025463448,135972854,25148.77,166469744,8.23,3.57,1.22,0.97%,15.60%,12.15%,-,CTG,6/30/2024 0:00,31,CTG
Q1 2024,11017730,4958810,923.43,-,2077615056,1947032568,130582488,24149.55,190903207,9.52,4.14,1.46,1.24%,19.54%,10.51%,-,CTG,3/31/2024 0:00,35.55,CTG
Q4 2023,13892394,6030792,1123.05,-,2032613606,1906741786,125871820,23279.48,145526776,7.31,3.2,1.16,0.83%,12.98%,13.68%,-,CTG,12/31/2023 0:00,27.1,CTG
Q3 2023,9952829,3863075,719.38,-,1888338295,1766333172,122005123,22563.72,144412806,9.18,3.35,1.18,1.14%,18.23%,12.57%,-,CTG,9/30/2023 0:00,26.89,CTG
Q2 2023,11293577,5203306,968.96,-,1860104522,1742044149,118060373,21835.09,141769643,9.32,3.36,1.2,1.06%,17.47%,12.43%,-,CTG,6/30/2023 0:00,26.4,CTG
Q1 2023,10294224,4806377,895.04,-,1823962183,1711017010,112945173,20891.25,140327918,9.57,3.42,1.24,0.96%,15.99%,12.16%,-,CTG,3/31/2023 0:00,26.13,CTG
Q4 2022,11622119,4276077,347.59,-,1808810868,1700494560,108316308,20032.87,130956704,9.02,3.25,1.21,0.77%,12.71%,12.92%,-,CTG,12/31/2022 0:00,24.39,CTG
Q3 2022,9003553,3338328,621.66,-,1750789603,1644680947,106108656,19623.46,111493414,8.24,2.92,1.05,1.12%,18.62%,13.96%,-,CTG,9/30/2022 0:00,20.76,CTG
Q2 2022,10057393,4645413,865.06,-,1691061895,1588279814,102782081,19000.52,125670378,9.93,3.5,1.22,1.18%,19.58%,11.69%,-,CTG,6/30/2022 0:00,23.4,CTG
Q1 2022,9643522,4663907,868.51,-,1663730167,1565433744,98296423,18169.75,155946607,15.19,4.75,1.59,0.80%,12.61%,7.88%,-,CTG,3/31/2022 0:00,29.04,CTG
Q4 2021,9517899,2917260,165.88,-,1531587398,1437937887,93649511,17309.95,162914946,13.51,4.68,1.74,0.68%,10.45%,8.65%,-,CTG,12/31/2021 0:00,30.34,CTG
Q3 2021,6707545,2459772,458.06,-,1447809011,1352207779,95601232,17685.4,146094818,9.89,3.87,1.53,0.65%,9.93%,11.34%,-,CTG,9/30/2021 0:00,26.55,CTG
Q2 2021,6977142,2250195,419.03,-,1473022358,1379832802,93189556,17239.92,196223420,13.4,5.21,2.11,1.93%,29.20%,8.38%,-,CTG,6/30/2021 0:00,35.67,CTG
Q1 2021,11572420,6461533,1203.25,-,1343984509,1252147404,91837105,16989.5,149494693,9.36,3.89,1.63,1.67%,25.73%,11.88%,-,CTG,3/31/2021 0:00,27.17,CTG
Q4 2020,12477145,5397434,669.22,554.692,1341509978,1256070754,85439224,15798.58,128643627,10.8,3.88,1.51,0.75%,11.40%,10.67%,2.37%,CTG,12/31/2020 0:00,23.38,CTG
Q3 2020,6652816,2336652,435.13,-,1261204481,1177882018,83322463,15410.17,98856391,11.19,3.39,1.19,1.17%,18.07%,11.11%,-,CTG,9/30/2020 0:00,17.72,CTG
Q2 2020,7767284,3571650,665.11,-,1239556783,1158537342,81019441,14982.23,80239368,8.91,2.73,0.99,0.78%,12.32%,13.90%,-,CTG,6/30/2020 0:00,14.38,CTG
Q1 2020,6291999,2414466,449.62,-,1222651543,1143840309,78811234,14573.34,64042558,8.89,2.34,0.81,Upgrade,Upgrade,14.60%,-,CTG,3/31/2020 0:00,11.48,CTG
Q4 2019,,,,,,,,,,,,,,,,,CTG,12/31/2019 0:00,13.95,CTG
