600055.SS,WANDONG MEDICAL,Healthcare,Medical Devices,2019,nan,nan,nan,nan,0.1,nan,nan,nan,0.009972197796784288,7050211060.060547,nan,10.02787971496582
600056.SS,CHINA MEHECO,Healthcare,Medical Distribution,2019,nan,nan,nan,nan,0.309757,nan,nan,nan,0.03652712439737408,12685347915.557861,nan,8.480191230773926
600057.SS,XIAMEN XIANGYU,Industrials,Integrated Freight & Logistics,2019,nan,nan,nan,nan,0.24,nan,nan,nan,0.07514437796100847,7132062804.726257,nan,3.1938517093658447
600059.SS,GUYUE LONGSHAN,Consumer Defensive,Beverages - Wineries & Distilleries,2019,nan,nan,nan,nan,0.1,nan,nan,nan,0.012313622435684629,7402712083.800537,nan,8.121087074279785
600060.SS,HISENSE VISUAL,Technology,Consumer Electronics,2019,nan,nan,nan,nan,0.09,nan,nan,nan,0.009264410162006704,12677255918.74707,nan,9.714595794677734
600061.SS,SDIC CAPITAL,Financial Services,Capital Markets,2019,nan,nan,nan,nan,0.053289,nan,nan,nan,0.005810782618389453,58637332951.666016,nan,9.170709609985352
600062.SS,CR DOUBLE-CRANE,Healthcare,Drug Manufacturers - Specialty & Generic,2019,nan,nan,nan,nan,0.279,nan,nan,nan,0.024192080782527818,11981206087.296875,nan,11.532699584960938
600063.SS,WANWEI HI-TECH,Basic Materials,Chemicals,2019,nan,nan,nan,nan,0.025,nan,nan,nan,0.007027776841330065,7486791625.279053,nan,3.5573127269744873
600064.SS,NANJING GAOKE,Real Estate,Real Estate - Development,2019,nan,nan,nan,nan,0.178571,nan,nan,nan,0.03411864658902846,9056295290.596008,nan,5.233824253082275
600066.SS,YUTONG BUS,Industrials,Farm & Heavy Construction Machinery,2019,nan,nan,nan,nan,0.5,nan,nan,nan,0.04855964966601626,22796086701.891846,nan,10.296614646911621
600072.SS,CSSC SCIENCE & TECHNOLOGY,Basic Materials,Steel,2019,nan,nan,nan,nan,0.02,nan,nan,nan,0.0015220781501812826,19795567840.200195,nan,13.13992977142334
600073.SS,BMGC,Consumer Defensive,Packaged Foods,2019,nan,nan,nan,nan,0.1,nan,nan,nan,0.013530043454936835,6930717015.974121,nan,7.3909592628479
600075.SS,XINJIANG TIANYE,Basic Materials,Chemicals,2019,nan,nan,nan,nan,0.1,nan,nan,nan,0.020784663794025333,8214518247.299194,nan,4.811239719390869
600078.SS,CHENGXING,Basic Materials,Chemicals,2019,nan,nan,nan,nan,0.01,nan,nan,nan,0.001969017959390845,3364992121.275421,nan,5.078673839569092
