,Company code,Company Name,Sector,Industry,Year,EPS,BVPS,ROA,ROE,DIV,P/E Ratio,DAR,MB,DY,Market Cap,Total Assets,Year End Price
152,600283.SS,QIANJIANG WATER,Utilities,Utilities - Regulated Water,2021,0.307143,3.711048034,0.023619183,2.384577113,0.107143,28.06573627,0.243318858,2.322846365,0.012429302,4834420751.0,6382847330.0,8.620194435
153,600284.SS,PD CONSTRUCTION,Industrials,Engineering & Construction,2021,0.5512,7.020949712,0.024823617,3.121825812,0.16,10.16935174,0.099155811,0.798374424,0.028544176,5438621248.0,21545858746.0,5.60534668
154,600285.SS,LINGRUI PHARM,Healthcare,Drug Manufacturers - Specialty & Generic,2021,0.65,4.018566979,0.095316197,1.658850958,0.4,21.77278519,0.035826078,3.521730619,0.028263936,8025987609.0,3793087404.0,14.15231037
155,600287.SS,ST SAINTY,Industrials,Industrial Distribution,2021,-1.3976,4.034864609,-0.150265254,2.120814047,0.12,-3.299615556,0.194771792,1.142923778,0.026021661,2023766292.0,4062462735.0,4.611542702
156,600288.SS,DAHENG TECH,Industrials,Electrical Equipment & Parts,2021,0.2105,4.0878335,0.026014401,1.626779018,0.01,63.17130517,0.022450822,3.252960214,0.000752018,5808374094.0,3534060596.0,13.29755974
157,600292.SS,SPICYD,Utilities,Utilities - Regulated Electric,2021,0.07,6.567498389,0.005321952,1.869394342,0.011,120.883206,0.199487872,1.288439512,0.001299956,6607136559.0,10431089634.0,8.461824417
158,600295.SS,ERDOS,Consumer Cyclical,Textile Manufacturing,2021,2.178571,9.395554412,0.122287916,2.080470793,0.408163,4.184562005,0.251211619,0.970284991,0.044772558,18010109513.0,49807200050.0,9.116365433
159,600298.SS,ANGEL YEAST,Consumer Defensive,Packaged Foods,2021,1.59,7.890519924,0.097320569,1.867185132,0.49473,36.43404163,0.272835871,7.341737522,0.008540116,50320714001.0,13445647467.0,57.93012619
160,600299.SS,ADISSEO,Basic Materials,Chemicals,2021,0.55,5.255341908,0.070393957,1.355257668,0.176,21.46867925,0.051399915,2.246813585,0.014905435,31667268369.0,20905892136.0,11.80777359
161,600300.SS,V V,Consumer Defensive,Packaged Foods,2021,0.14,1.874381535,0.043285763,1.671211058,0.1,28.59496049,0.231033256,2.13579487,0.024979427,6473887488.0,5158848551.0,4.003294468
162,600305.SS,HENGSHUN VINEGAR-INDUSTRY,Consumer Defensive,Packaged Foods,2021,0.1191,1.957322655,0.037028613,1.428064544,0.1574,130.4100703,0.063807913,7.935247331,0.010134022,17223878449.0,3211501543.0,15.53183937
163,600308.SS,SDHT,Basic Materials,Paper & Paper Products,2021,0.492857,6.153477174,0.049927212,1.715959871,0.127857,8.522271401,0.138414715,0.682583359,0.03044025,6371250146.0,16184084579.0,4.200261116
164,600309.SS,WANHUA CHEM,Basic Materials,Specialty Chemicals,2021,7.85,21.81655605,0.129519217,2.65440842,1.3,11.91605392,0.401687287,4.287616388,0.013897646,293695000000.0,190310000000.0,93.54102325
165,600310.SS,GUANGXI ENERGY,Utilities,Utilities - Renewable,2021,0.072,2.141569963,0.003575926,4.911732522,0.0625,65.51091539,0.529919733,2.202489757,0.013250548,6913440046.0,21788587809.0,4.716785908
166,600312.SS,PINGGAO ELEC,Industrials,Electrical Equipment & Parts,2021,0.0522,6.733249795,0.003690908,2.020024323,0.028,169.8654182,0.034337323,1.316893788,0.003157785,12031776055.0,19175290656.0,8.866974831
167,600315.SS,SH JAHWA,Consumer Defensive,Household & Personal Products,2021,0.97,10.35853652,0.053456121,1.744223448,0.19951,40.3533149,0.100024929,3.778788191,0.005096989,26312750413.0,12145511722.0,39.14271545
168,600316.SS,HONGDU AVIATION,Industrials,Aerospace & Defense,2021,0.2111,7.306908217,0.008458239,3.415591744,0.057,183.9495089,0.002793191,5.314387451,0.001467871,27846784733.0,17900673658.0,38.83174133
169,600320.SS,ZHENHUA HEAVY INDUSTRIES,Industrials,Specialty Industrial Machinery,2021,0.08,4.51240795,0.005615059,4.438064923,0.0,45.84222734,0.426979003,0.812731967,0.0,12183029868.0,78332081199.0,3.667378187
170,600323.SS,GRANDBLUE ENV,Utilities,Utilities - Regulated Water,2021,1.45,12.14770604,0.039735038,2.77898187,0.22,13.8386141,0.38445063,1.65183372,0.010963825,16360745274.0,29278480367.0,20.06599045
171,600325.SS,HUAFA,Real Estate,Real Estate - Development,2021,1.34,7.564649944,0.008997812,3.702695292,0.45,3.861658609,0.349528175,0.684053138,0.086962865,14241337494.0,355057000000.0,5.174622536
172,600327.SS,GRAND ORIENT,Consumer Cyclical,Department Stores,2021,0.724,4.067778125,0.077609808,2.106679505,0.5,7.440491276,0.163994278,1.324289457,0.092817491,4766235431.0,8253970596.0,5.386915684
173,600328.SS,CNSIG CHEM,Basic Materials,Chemicals,2021,1.184615,5.254650475,0.087358785,2.036075718,0.176923,9.5346605,0.159823535,2.149505833,0.01566397,16622706688.0,16906220288.0,11.29490185
174,600329.SS,DA REN TANG,Healthcare,Drug Manufacturers - Specialty & Generic,2021,1.0,11.16265561,0.084828186,1.391974647,0.3,28.89204979,0.003658148,2.58827745,0.010383479,16473033786.0,9067085006.0,28.89204979
175,600330.SS,TIANTONG,Technology,Electronic Components,2021,0.42,4.083988946,0.050279828,1.61224372,0.05,37.76481946,0.115986314,3.883757861,0.003152342,19563709987.0,8254020877.0,15.86122417
176,600332.SS,GYBYS,Healthcare,Medical Distribution,2021,2.288,20.67173354,0.056261374,2.110591161,0.538,13.75191528,0.150100619,1.522096931,0.017098699,44235461762.0,66117789764.0,31.46438217
177,600335.SS,SINOMACH AUTO,Consumer Cyclical,Auto & Truck Dealerships,2021,0.18,7.07542556,0.008511005,2.855399041,0.12,47.21185896,0.093919797,1.201077524,0.014120746,12711424365.0,30092655731.0,8.498134613
178,600336.SS,AUCMA,Technology,Consumer Electronics,2021,0.23,2.993364059,0.023781191,2.875105721,0.12,30.05436814,0.146837253,2.309276298,0.017359844,5516282251.0,7582082827.0,6.912504673
179,600339.SS,CPEC,Energy,Oil & Gas Equipment & Services,2021,0.0823,4.44454282,0.004394328,4.200797451,0.046,36.25298763,0.006683043,0.67129984,0.015417508,16658003166.0,104539000000.0,2.983620882
180,600345.SS,YCIG,Technology,Communication Equipment,2021,0.46,6.402364624,0.039452513,1.098441959,0.05,35.86731786,0.014694922,2.577011337,0.003030493,5438257253.0,2318037902.0,16.49896622
181,600346.SS,HLGF,Consumer Cyclical,Textile Manufacturing,2021,2.21,8.130497328,0.073853331,3.670045132,0.77,9.588258838,0.538283612,2.606243035,0.036337806,149159000000.0,210296000000.0,21.19005203
182,600348.SS,HUAYANG,Energy,Thermal Coal,2021,0.98,5.941819838,0.053278289,2.709191099,0.166667,6.388364033,0.296194384,1.05364971,0.026621584,22585102984.0,66280295792.0,6.260596752
183,600350.SS,SHANDONG HI-SPEED,Industrials,Infrastructure Operations,2021,0.597,7.666420536,0.024242561,2.690062893,0.38,7.233099722,0.446357526,0.563256413,0.088000434,20952060916.0,125906000000.0,4.318160534
184,600351.SS,YABAO PHARM,Healthcare,Drug Manufacturers - Specialty & Generic,2021,0.24,4.065228918,0.045892628,1.375591514,0.05,36.20893955,0.132152435,2.137676787,0.005753644,6256904755.0,4076677071.0,8.690145493
185,600352.SS,ZHEJIANG LONGSHENG,Basic Materials,Specialty Chemicals,2021,1.04,9.3331565,0.051333409,1.994274045,0.25,10.99176957,0.27225838,1.224820387,0.02186951,37190246930.0,65726507288.0,11.43144035
186,600353.SS,XUGUANG ELECTRONICS,Industrials,Electrical Equipment & Parts,2021,0.076357,1.442083943,0.031361958,1.356410357,0.021429,68.51350686,0.022953116,3.627726297,0.004096159,4348102334.0,1847812679.0,5.231485844
187,600356.SS,HENGFENG PAPER,Basic Materials,Paper & Paper Products,2021,0.34,7.707519424,0.03445802,1.239334535,0.133,21.790245,0.134788955,0.961227977,0.017951908,2213203430.0,2941956134.0,7.4086833
188,600360.SS,ST SINO-MICROELECTRONICS,Technology,Semiconductor Equipment & Materials,2021,0.12,3.353964018,0.017048312,2.107294661,0.015,74.8297294,0.377615808,2.677299899,0.001670459,8623033584.0,6787021224.0,8.979567528
189,600361.SS,INNOVATION NEW MATERIAL,Basic Materials,Aluminum,2021,0.26,1.128915048,0.054043825,3.466409072,0.08,21.44605013,0.261617464,4.939231739,0.014347272,22902975392.0,16073568899.0,5.575973034
190,600362.SS,JIANGXI COPPER,Basic Materials,Copper,2021,1.63,33.63394833,0.034995995,2.069589976,0.1,12.60227133,0.329145441,0.610743112,0.004868146,42629168623.0,161035000000.0,20.54170227
191,600363.SS,LIANOVATION,Technology,Electronic Components,2021,0.52,7.347857521,0.03564025,1.703893035,0.058,59.3272686,0.157549707,4.198527201,0.001880054,14043803398.0,6501579329.0,30.85017967
192,600366.SS,NINGBO YUNSHENG,Industrials,Tools & Accessories,2021,0.5325,4.418716611,0.071153046,1.497005319,0.1,24.06903298,0.190322552,2.900561677,0.007802284,14086131980.0,7283530164.0,12.81676006
193,600367.SS,REDSTAR DEV,Basic Materials,Chemicals,2021,1.0,5.685019413,0.102087601,1.351544643,0.02,18.34749985,0.038301873,3.227341635,0.001090067,6258901117.0,2876365000.0,18.34749985
194,600368.SS,WUZHOU COMM,Industrials,Railroads,2021,0.435944,3.312641226,0.072938028,1.826979702,0.105594,5.954148308,0.351491887,0.783566663,0.040680744,4178128759.0,9621025498.0,2.59567523
195,600369.SS,SOUTHWEST SECURITIES ,Financial Services,Capital Markets,2021,0.16,3.816006066,0.012620687,3.25355438,0.1,31.73515499,0.229610523,1.33061235,0.019694248,33741374102.0,82258033563.0,5.077624798
196,600370.SS,SANFAME,Consumer Cyclical,Textile Manufacturing,2021,0.1676,1.671341238,0.054372602,1.778401018,0.1,17.63036115,0.101802922,1.767950471,0.033842682,11513596696.0,11581654816.0,2.954848528
197,600373.SS,CHINESE MEDIA,Communication Services,Publishing,2021,1.51,11.72956914,0.076915459,1.591078403,0.55,6.964323536,0.076812299,0.896548579,0.052300616,14751288819.0,26567137006.0,10.51612854
198,600376.SS,CAPITAL DEV ,Real Estate,Real Estate - Development,2021,0.0209,11.87214068,0.000840159,4.714859096,0.4,259.0071756,0.406744385,0.455962418,0.073892764,13963856791.0,313859000000.0,5.413249969
199,600377.SS,NINGHU EXPRESSWAY,Industrials,Infrastructure Operations,2021,0.8496,8.397402558,0.057645693,1.972677931,0.46,8.775415057,0.321310763,0.88784509,0.06169865,28448676752.0,74246831643.0,7.455592632
