Comp_data,Year,Quarter,EPS,BVPS,ROA,ROE,P/E Ratio,DAR,MB,DY,DIV,Market Cap,Total Assets,Stock Price,Time,SIZE
VHC,2023,2,2395.405931,43900.57145,0.109430747,0.167584872,11.52505037,0.330025612,1.858745736,0.024509804,1.252450979,14963600000000.0,12305700000000.0,51.1,2023-06-30,30.141083685597668
VHC,2023,3,849.2851151,36879.72059,0.086713069,0.131786047,13.94103243,0.315552799,1.773332307,0.03058104,1.896941899,14679200000000.0,12366000000000.0,62.03,2023-09-30,30.145971887064924
VHC,2023,4,212.2695122,37190.51813,0.078143103,0.115833282,17.96099512,0.274345319,2.005887623,0.026809652,1.568096516,16744200000000.0,11805700000000.0,58.49,2023-12-31,30.099603581616122
VHC,2022,1,2987.019757,34515.4309,0.172981696,0.258142296,9.547220434,0.3739909,2.306214871,0.025125628,1.789195977,14596800000000.0,10283000000000.0,71.21,2022-03-31,29.961513162175603
VHC,2022,2,4302.540367,39547.12737,0.211747367,0.321678277,6.909341502,0.358242869,1.964744475,0.025740026,1.84272844,14248400000000.0,11536300000000.0,71.59,2022-06-30,30.076519701680855
VHC,2022,3,2455.117971,42000.9109,0.211168822,0.325031159,5.613838033,0.339611372,1.642821513,0.028985507,1.884347823,12653000000000.0,11907100000000.0,65.01,2022-09-30,30.108155976783415
VHC,2022,4,1035.53083,41026.9762,0.194403862,0.290938761,5.301178167,0.335426268,1.396642046,0.034904014,1.915183248,10507500000000.0,11580400000000.0,54.87,2022-12-31,30.08033512979116
VHC,2021,1,720.2089469,29144.79587,0.097017718,0.129635921,9.885963839,0.257501265,1.274670105,0.053835801,1.559623149,6759290000000.0,7233850000000.0,28.97,2021-03-31,29.609792513827383
VHC,2021,2,1429.589848,29886.55616,0.097913163,0.134696141,14.56005646,0.313470694,1.927287965,0.034722222,1.17361111,10480100000000.0,7971590000000.0,33.8,2021-06-30,29.70690508695151
VHC,2021,3,1403.946338,31290.5025,0.104861273,0.147199347,13.7856989,0.293754316,1.936689895,0.0330033,1.267326732,11025900000000.0,8111820000000.0,38.4,2021-09-30,29.724343373182077
VHC,2021,4,2498.739695,31749.55828,0.138205784,0.199176633,17.28215815,0.32654722,3.294534024,0.019120459,0.919502869,19031600000000.0,8734160000000.0,48.09,2021-12-31,29.798262890036398
VHC,2020,1,836.1670633,27631.36862,0.158926845,0.213169131,6.077686059,0.219075605,1.234104632,0.058651026,0.878592375,6204360000000.0,6440340000000.0,14.98,2020-03-31,29.493602449682257
VHC,2020,2,1231.414347,28538.75212,0.126084395,0.166743562,9.389558563,0.231166994,1.496211181,0.046838408,1.167213115,7769100000000.0,6756360000000.0,24.92,2020-06-30,29.541505399422483
VHC,2020,3,964.1151264,29502.86724,0.112001408,0.146712862,10.05835763,0.233695713,1.406642943,0.048192771,1.498313253,7550760000000.0,7007570000000.0,31.09,2020-09-30,29.578012109232642
VHC,2020,4,842.1146942,28424.58693,0.104139853,0.143103064,9.343371655,0.282359537,1.289376697,0.0,0.0,6668320000000.0,7191980000000.0,30.75,2020-12-31,29.60398763222637
VIB,2024,1,788.843053,15143.33448,0.021195325,0.22988943,6.421610714,0.907183242,1.406559436,0.0,0.0,54034000000000.0,413888000000000.0,20.42,2024-03-31,33.656616521752674
