,Revenue,Net Income,EPS (Diluted),Dividend Per Share,Total Assets,Total Liabilities,Shareholders' Equity,Book Value Per Share,Market Capitalization,PE Ratio,PS Ratio,PB Ratio,Return on Assets (ROA),Return on Equity (ROE),Earnings Yield,Dividend Yield,Stock Symbol,Date,Stock Price,Symbol
Q2 2023,2408320,533622,1599.55,-,16916639,10713847,6202792,14912.38,13991997,18.84,2.36,2.26,3.43%,11.30%,5.48%,-,IDC,2023-06-30 00:00:00,37.92,IDC
Q1 2023,1146682,147786,417.88,-,17427813,11151142,6276671,15435.94,13529997,8.35,1.98,2.16,-4.15%,-19.89%,12.27%,-,IDC,2023-03-31 00:00:00,34.88,IDC
Q4 2022,313461,-336587,-1146.20,2000.000,17013411,10885488,6127923,14988.07,10460998,-,1.42,1.71,11.00%,38.04%,16.90%,14.83%,IDC,2022-12-31 00:00:00,26.97,IDC
Q3 2022,2052828,422317,1337.00,2000.000,16215006,9863368,6351638,15545.21,16400996,7.90,2.03,2.58,27.73%,98.87%,12.83%,6.02%,IDC,2022-09-30 00:00:00,42.28,IDC
Q2 2022,3322186,1426466,4920.80,-,16251152,9690865,6560288,16315.80,16599000,9.11,2.40,2.53,5.59%,21.95%,11.15%,-,IDC,2022-06-30 00:00:00,41.47,IDC
Q1 2022,1673456,255311,773.67,-,16259182,10947298,5311884,12591.17,24030000,36.99,4.95,4.52,0.62%,3.03%,2.73%,-,IDC,2022-03-31 00:00:00,59.31,IDC
Q4 2021,1025497,777.6,-16.37,545.455,16075835,11047799,5028037,11817.17,21780000,-,5.15,4.33,2.03%,16.58%,2.09%,5.07%,IDC,2021-12-31 00:00:00,53.76,IDC
Q3 2021,891988,168598,510.91,2181.818,16101059,11233918,4867141,12285.63,15600000,14.08,2.98,3.21,1.95%,22.84%,7.13%,5.81%,IDC,2021-09-30 00:00:00,37.53,IDC
Q2 2021,1266219,231641,702.03,-,15415402,10720181,4695222,11799.53,10800000,10.08,1.93,2.30,2.03%,6.84%,9.97%,-,IDC,2021-06-30 00:00:00,25.98,IDC
Q1 2021,1046200,53291,161.47,-,14909633,10440232,4469401,11171.02,11280000,12.86,2.10,2.52,14.96%,59.46%,7.82%,-,IDC,2021-03-31 00:00:00,27.13,IDC
Q4 2020,2031067,659434,1985.51,-,14529375,9571422,4957952,12660.76,10650000,12.27,1.98,2.15,3.00%,16.02%,8.20%,-,IDC,2020-12-31 00:00:00,25.62,IDC
Q3 2020,1248664,132177,400.91,-,14283027,9941539,4341488,10728.48,7050000,39.83,1.47,1.62,1.69%,6.10%,3.28%,-,IDC,2020-09-30 00:00:00,16.96,IDC
Q2 2020,1044967,37516,113.76,-,14530678,10399929,4130749,10241.17,5400000,22.17,1.12,1.31,2.19%,6.89%,5.51%,-,IDC,2020-06-30 00:00:00,12.79,IDC
Q1 2020,1055024,44049,133.48,-,14536457,10254606,4281851,10582.03,4800000,17.58,0.96,1.12,Upgrade,Upgrade,6.82%,-,IDC,2020-03-31 00:00:00,11.37,IDC
Q4 2019,,,,,,,,,,,,,,,,,IDC,2019-12-31 00:00:00,13.43,IDC
Q3 2024,663014,178931,327.08,-,19556577,13379666,6176911,11291.31,17450893,24.37,7.30,2.83,5.09%,16.31%,4.30%,-,MBS,2024-09-30 00:00:00,31.9,MBS
Q2 2024,754703,216720,495.20,-,17593722,12185183,5408540,12358.42,13610603,19.35,6.30,2.52,4.59%,14.24%,5.43%,-,MBS,2024-06-30 00:00:00,25.94,MBS
