,Fiscal Quarter,Current,Q2 2024,Q1 2024,Q2 2023,Q1 2023
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023"
0,Debt / Equity Ratio,-1.03,-1.03,-1.03,-,-1.04
1,Debt / FCF Ratio,115.25,36.44,48.94,-,128.59
2,Asset Turnover,4.62,-,-,-,
3,Inventory Turnover,-,15.06,-,-,-
4,Quick Ratio,0.49,0.49,0.49,-,-
5,Current Ratio,0.96,0.96,0.96,-,-
6,Return on Assets (ROA),-160.40%,-,-,-,
7,Return on Capital (ROIC),-1373.16%,-,-,-,
