,Fiscal Quarter,Current,H1 2025,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,189,135,142,243,230,263,506,740,250,233,334,Upgrade
1,Market Cap Growth,-23.08%,-44.44%,-38.24%,-7.69%,-54.67%,-64.40%,102.23%,218.12%,-25.00%,-0.43%,-4.00%,Upgrade
2,Enterprise Value,188,133,71,165,104,179,408,701,293,252,443,Upgrade
3,Last Close Price,0.03,0.02,0.02,0.04,0.03,0.04,0.07,0.12,0.04,0.04,0.06,Upgrade
4,PE Ratio,-,-,-,-,-,4.32,12.50,-,-102.41,-,-14.78,Upgrade
5,PS Ratio,-,0.21,0.25,0.60,0.62,0.65,1.47,2.88,1.15,1.23,1.81,Upgrade
6,PB Ratio,0.93,0.66,0.35,0.61,0.52,0.58,1.11,2.02,0.80,0.87,1.15,Upgrade
7,P/TBV Ratio,0.74,0.74,0.47,0.81,0.69,0.77,1.48,2.93,1.27,1.37,1.82,Upgrade
8,P/FCF Ratio,-,-,13.87,-,-,2.93,9.91,9.17,6.72,-,84.94,Upgrade
9,P/OCF Ratio,-,-,6.10,-40.75,-,2.45,8.76,8.96,5.50,-,7.75,Upgrade
10,EV/Sales Ratio,-,0.20,0.13,0.41,0.28,0.44,1.19,2.73,1.35,1.33,2.40,Upgrade
11,EV/EBITDA Ratio,-,5.52,6.30,-,2.47,2.32,7.44,15.70,11.27,-,20.29,Upgrade
12,EV/EBIT Ratio,-,-,-2.97,-,-,3.07,11.03,24.90,39.86,-,57.72,Upgrade
13,EV/FCF Ratio,-,-,6.95,-,-,1.99,7.98,8.68,7.87,-,112.80,Upgrade
14,Debt / Equity Ratio,0.54,0.54,0.36,0.26,0.23,0.24,0.27,0.44,0.43,0.49,0.46,Upgrade
15,Debt / FCF Ratio,-,-,14.42,-,-,1.22,2.40,2.01,3.62,-,34.08,Upgrade
16,Return on Capital Employed (ROCE),-,-,-4.47%,-,-,10.47%,6.47%,5.37%,1.68%,-,1.81%,Upgrade
17,Earnings Yield,-27.60%,-28.14%,-12.61%,6.66%,23.17%,8.00%,1.66%,-0.98%,-2.02%,-6.77%,Upgrade,
18,FCF Yield,-,7.21%,-18.19%,6.37%,34.11%,10.09%,10.91%,14.88%,0.53%,1.18%,Upgrade,
19,Buyback Yield / Dilution,-1.23%,-,-,-,-1.92%,-11.60%,-11.11%,-1.48%,-2.58%,-20.00%,-16.94%,Upgrade
20,Total Shareholder Return,-1.23%,-,-,-,-1.92%,-11.60%,-11.11%,-1.48%,-2.58%,-20.00%,-16.94%,Upgrade
