Stock Symbol,Date,Stock Price
300767,2024-09-30,11.64
300767,2024-06-30,8.48
300767,2024-03-31,11.64
300767,2023-12-31,17.38
300767,2023-09-30,19.98
300767,2023-06-30,25.27
300767,2023-03-31,40.96
300767,2022-12-31,46.59
300767,2022-09-30,47.67
300767,2022-06-30,57.98
300767,2022-03-31,50.13
300767,2021-12-31,86.53
300767,2021-09-30,90.38
300767,2021-06-30,68.86
300767,2021-03-31,48.93
300767,2020-12-31,43.14
300767,2020-09-30,47.09
300767,2020-06-30,38.97
300767,2020-03-31,23.26
300767,2019-12-31,19.79
