,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022"
0,Market Capitalization,5734,18401,7627,-,-,-
1,Enterprise Value,5484,17599,7202,-,-,-
2,Last Close Price,23.70,81.30,33.70,-,-,-
3,PS Ratio,3.64,13.08,5.69,-,-,-
4,PB Ratio,4.87,16.71,6.16,-,-,-
5,P/TBV Ratio,17.40,17.40,6.22,-,-,-
6,EV/Sales Ratio,3.90,12.51,5.37,-,-,-
7,Debt / Equity Ratio,0.30,0.30,0.20,0.01,0.08,-
8,Earnings Yield,-3.64%,-1.13%,-2.82%,-,-,-
9,FCF Yield,-13.00%,-4.05%,-4.86%,-,-,-
10,Buyback Yield / Dilution,-6.74%,-10.83%,-2.57%,-9.49%,-,-
11,Total Shareholder Return,-6.74%,-10.83%,-2.57%,-9.49%,-,-
