,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters
0,Cash & Equivalents,276.57,349.74,291.15,275.94,242.87,279.39,259.7,304.72,218.38,205.92,284.83,293.6,279.48,278.01,402.6,518.56,513.81,539.78,247.23,326.36,Upgrade
1,Trading Asset Securities,18,25.3,25.41,3.9,34.8,19.8,8.5,3,23.6,5.6,-,14.5,1.75,3,30,32.3,55,45,86.65,13,Upgrade
2,Cash & Short-Term Investments,294.57,375.04,316.56,279.85,277.67,299.19,268.2,307.72,241.98,211.52,284.83,308.1,281.23,281.01,432.6,550.86,568.81,584.78,333.88,339.36,Upgrade
3,Cash Growth,6.09%,25.35%,18.03%,-9.06%,14.75%,41.45%,-5.84%,-0.12%,-13.96%,-24.73%,-34.16%,-44.07%,-50.56%,-51.95%,29.57%,62.32%,87.57%,115.46%,8.48%,38.28%,Upgrade
4,Accounts Receivable,507.86,535.11,398.4,432.03,399.13,393.68,334.17,339.59,363.71,449.94,383.35,410.23,428.52,435.75,290.67,310.12,297.41,302.02,240.25,334.99,Upgrade
5,Other Receivables,10.47,16.44,9.85,13.89,6.15,10.02,10.41,7.25,14.92,9.34,16.25,14.18,20.8,18.64,19.82,11.64,49.01,22,16.56,21.33,Upgrade
6,Receivables,518.34,551.55,408.25,445.92,405.28,403.7,344.57,346.85,378.64,459.28,399.6,424.41,449.32,454.4,310.49,321.76,346.42,324.02,256.81,356.32,Upgrade
7,Inventory,346.07,274.09,255.03,231.03,277.48,238.46,255.18,265.99,293.53,348.76,413.02,410.77,448.52,327.42,303.88,250.93,217.69,219.36,259.05,239.24,Upgrade
8,Other Current Assets,44.58,22.07,17.74,15.58,17.95,17,17.05,13.57,22.45,16.25,24.1,16.63,39.75,29.11,25.23,16.67,31.77,22.64,31.14,24.93,Upgrade
