Stock Symbol,Date,Stock Price
002294,2024-09-30,34.66
002294,2024-06-30,26.63
002294,2024-03-31,28.59
002294,2023-12-31,32.08
002294,2023-09-30,29.12
002294,2023-06-30,30.63
002294,2023-03-31,34.25
002294,2022-12-31,31.81
002294,2022-09-30,23.66
002294,2022-06-30,27.21
002294,2022-03-31,20.88
002294,2021-12-31,25.97
002294,2021-09-30,27.52
002294,2021-06-30,31.27
002294,2021-03-31,35.98
002294,2020-12-31,26.93
002294,2020-09-30,32.69
002294,2020-06-30,28.19
002294,2020-03-31,16.43
002294,2019-12-31,18.47
