,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,247,250,359,327,494,821,936,705,603,385,500,Upgrade
1,Market Cap Growth,-23.53%,-23.53%,-27.27%,-60.16%,-47.26%,16.36%,55.32%,83.33%,20.51%,-11.76%,-10.34%,Upgrade
2,Enterprise Value,1432,1478,1851,1806,1908,2332,1571,2294,2384,2064,2387,Upgrade
3,Last Close Price,0.19,0.20,0.28,0.26,0.39,0.64,0.73,0.55,0.47,0.30,0.39,Upgrade
4,PE Ratio,5.56,5.61,7.93,-5.37,-,-,-,-0.84,-,-,-,Upgrade
5,Forward PE,-,1.86,1.86,1.86,1.86,1.86,1.60,1.60,1.60,1.60,1.96,Upgrade
6,PS Ratio,0.04,0.04,0.06,0.09,0.26,0.69,0.52,0.31,0.30,0.21,0.22,Upgrade
7,PB Ratio,0.13,0.13,0.19,0.18,0.26,0.40,0.43,0.26,0.23,0.12,0.15,Upgrade
8,P/TBV Ratio,0.13,0.13,0.19,0.18,0.26,0.40,0.43,0.26,0.23,0.16,0.15,Upgrade
9,P/FCF Ratio,0.63,0.64,1.67,-,-,-,-,0.57,0.96,0.89,10.66,Upgrade
10,P/OCF Ratio,0.59,0.59,1.50,-,-,-1.06,-,0.55,0.90,0.85,2.03,Upgrade
11,PEG Ratio,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,Upgrade
12,EV/Sales Ratio,0.23,0.24,0.31,0.49,1.02,1.96,0.87,1.00,1.17,1.13,1.03,Upgrade
13,EV/EBITDA Ratio,6.64,20.06,25.19,512.99,-,-22.68,-,90.26,-,11.94,7.39,Upgrade
14,EV/EBIT Ratio,-,-51.56,-,-32.88,-,-,-,-8.08,-,-,-,Upgrade
15,EV/FCF Ratio,3.64,3.76,8.60,-,-,-,-,1.86,3.78,4.77,50.87,Upgrade
16,Debt / Equity Ratio,0.66,0.66,0.66,0.84,0.82,0.74,0.70,0.46,0.64,0.58,0.53,Upgrade
17,Debt / FCF Ratio,3.13,3.13,5.83,-,-,-,-,0.99,2.63,4.28,38.13,Upgrade
18,Return on Capital Employed (ROCE),-,-1.26%,-,-2.22%,-,-,-,-9.34%,-,-,-,Upgrade
19,Earnings Yield,18.00%,17.81%,12.60%,-18.61%,-26.53%,-66.04%,-51.51%,-119.02%,-159.35%,-29.58%,1.53%,Upgrade
20,FCF Yield,158.91%,157.28%,59.94%,-87.53%,-54.80%,-109.73%,-15.31%,174.94%,104.57%,112.59%,9.38%,Upgrade
