,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022"
0,Market Capitalization,692,3034,-,-,-,-
1,Enterprise Value,220,2783,-,-,-,-
2,Last Close Price,0.45,2.02,-,-,-,-
3,PS Ratio,1.54,6.92,-,-,-,-
4,PB Ratio,1.38,6.20,-,-,-,-
5,P/TBV Ratio,6.25,6.25,-,-,-,-
6,EV/Sales Ratio,0.50,6.35,-,-,-,-
7,Debt / Equity Ratio,0.07,0.07,0.00,0.00,-0.01,-
8,Debt / FCF Ratio,-,-,-,0.05,-,-
9,Earnings Yield,-180.55%,-41.19%,-,-,-,-
10,FCF Yield,-25.46%,-5.81%,-,-,-,-
11,Buyback Yield / Dilution,-103.87%,-43.55%,-,-,-,-
12,Total Shareholder Return,-103.87%,-43.55%,-,-,-,-
