,Fiscal Quarter,Q2 2024,Q1 2024,Q2 2023,Q1 2023
,Period Ending,"Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023"
0,Cash & Equivalents,959.66,959.66,-,-
1,Trading Asset Securities,8.34,8.34,-,-
2,Cash & Short-Term Investments,968.0,968.0,-,466.51
3,Accounts Receivable,24.36,24.36,-,-
4,Other Receivables,3.03,3.03,-,-
5,Receivables,27.39,27.39,-,-
6,Other Current Assets,84.93,84.93,-,-
7,Total Current Assets,1080.0,1080.0,-,-
8,"Property, Plant & Equipment",74.99,74.99,-,-
9,Long-Term Investments,2.93,2.93,-,-
10,Other Intangible Assets,0.71,0.71,-,-
11,Long-Term Deferred Tax Assets,10.95,10.95,-,-
12,Other Long-Term Assets,7.99,7.99,-,-
13,Total Assets,1178.0,1178.0,-,-
14,Accounts Payable,17.45,17.45,-,-
15,Short-Term Debt,79.7,79.7,-,-
16,Current Portion of Leases,20.45,20.45,-,-
17,Current Income Taxes Payable,7.82,7.82,-,-
18,Other Current Liabilities,106.52,106.52,-,-
19,Total Current Liabilities,231.94,231.94,-,-
20,Long-Term Leases,46.53,46.53,-,-
21,Total Liabilities,278.47,278.47,-,-
22,Common Stock,0.06,0.06,-,-
23,Retained Earnings,-377.65,-377.65,-,-
24,Comprehensive Income & Other,1272.0,1272.0,-,-
25,Total Common Equity,893.92,893.92,-,132.7
26,Minority Interest,5.49,5.49,-,-
27,Shareholders' Equity,899.4,899.4,-,170
28,Total Liabilities & Equity,1178.0,1178.0,-,-
29,Total Debt,146.68,146.68,-,397.44
30,Net Cash (Debt),821.32,821.32,-,69.07
31,Net Cash Per Share,1.06,1.06,-,0.19
32,Filing Date Shares Outstanding,832.66,832.66,371.82,371.82
33,Total Common Shares Outstanding,832.66,832.66,371.82,371.82
34,Working Capital,848.38,848.38,-,-
35,Book Value Per Share,1.07,1.07,-,0.40
36,Tangible Book Value,893.21,893.21,-,131.71
37,Tangible Book Value Per Share,1.07,1.07,-,0.40
