,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022"
0,Market Capitalization,23569,24910,23386,-,-,-
1,Enterprise Value,21130,21852,28169,-,-,-
2,Last Close Price,47.75,53.50,50.20,-,-,-
3,PS Ratio,4.06,5.04,5.05,-,-,-
4,PB Ratio,3.99,4.46,3.89,-,-,-
5,P/TBV Ratio,4.73,4.73,4.31,-,-,-
6,EV/Sales Ratio,4.27,4.42,6.08,-,-,-
7,Debt / Equity Ratio,0.02,0.02,0.03,-3.43,-4.54,-
8,Earnings Yield,-2.75%,-2.61%,-4.28%,-,-,-
9,FCF Yield,-2.64%,-2.50%,-4.89%,-,-,-
10,Buyback Yield / Dilution,-54.74%,-69.16%,-39.91%,-2.98%,-,-
11,Total Shareholder Return,-54.74%,-69.16%,-39.91%,-2.98%,-,-
