,Fiscal Quarter,Current,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,+2 Quarters
,Period Ending,"Nov '24 Nov 14, 2024","Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020",+2 Quarters
0,Market Capitalization,60,60,30,34,79,71,163,2681,2680,2439,2760,Upgrade
1,Market Cap Growth,75.86%,75.86%,-62.69%,-51.67%,-51.45%,-97.35%,-93.91%,9.92%,-2.90%,35.95%,24.48%,Upgrade
2,Enterprise Value,1096,1096,1053,1090,866,780,830,3316,3368,3089,3427,Upgrade
3,Last Close Price,0.05,0.05,0.03,0.03,0.07,0.06,0.13,2.66,2.67,2.47,2.93,Upgrade
4,PE Ratio,-,-,-,-,-,-,-,34.85,32.26,23.03,26.23,Upgrade
5,PS Ratio,0.16,0.16,0.08,0.10,0.22,0.21,0.36,4.36,5.60,7.43,7.04,Upgrade
6,PB Ratio,-0.06,-0.06,-0.03,-0.04,-0.09,-0.60,1.19,1.90,2.29,2.22,2.93,Upgrade
7,P/TBV Ratio,-,-,-,-,-,-,3.13,2.28,2.95,3.05,4.08,Upgrade
8,P/FCF Ratio,0.58,0.58,0.34,-0.28,-,-,-,-,25.34,42.19,132.24,Upgrade
9,P/OCF Ratio,0.58,0.58,0.33,-0.30,-,-,-,20.93,24.87,22.42,35.19,Upgrade
10,EV/Sales Ratio,2.88,2.88,2.89,3.18,2.40,2.32,1.83,5.39,7.04,9.42,8.75,Upgrade
11,EV/EBITDA Ratio,39.76,217.57,-,-,-,-,-,23.13,26.56,-103.50,-,Upgrade
12,EV/EBIT Ratio,-,-43.33,-,-,-,-,-,38.75,52.79,-,-,Upgrade
13,EV/FCF Ratio,10.63,10.63,11.99,-8.94,-,-,-,-,31.85,53.44,164.17,Upgrade
14,Debt / Equity Ratio,-0.92,-0.92,-1.01,-1.10,-1.24,-6.95,5.40,0.49,0.59,0.68,0.73,Upgrade
15,Debt / FCF Ratio,9.29,9.29,12.01,-8.68,-,-,-,-,6.57,12.97,33.17,Upgrade
16,Return on Capital Employed (ROCE),-,-,-,-,-,-,-,4.61%,3.97%,-,-,Upgrade
17,Earnings Yield,-152.59%,-152.59%,-577.57%,-2457.45%,-1305.07%,-1891.25%,-643.80%,2.87%,3.10%,4.34%,3.81%,Upgrade
18,FCF Yield,170.97%,170.97%,297.26%,-355.54%,-325.90%,-238.84%,-42.53%,2.87%,3.95%,2.37%,0.76%,Upgrade
19,Buyback Yield / Dilution,-,-,-,-9.03%,-20.23%,-12.21%,-4.11%,-5.02%,-2.64%,-,Upgrade,
20,Total Shareholder Return,-,-,-,-9.03%,-20.23%,-12.21%,-4.11%,-5.02%,-2.64%,-,Upgrade,
