,Fiscal Quarter,Q2 2024,Q1 2024,Q2 2023,Q1 2023
,Period Ending,"Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023"
0,Revenue,1332,1332,1380,1380
1,Cost of Revenue,1028,1028,1091,1091
2,Gross Profit,304.46,304.46,289.07,289.07
3,"Selling, General & Admin",261.48,261.48,240.67,240.67
4,Other Operating Expenses,-24.67,-24.67,-19.79,-19.79
5,Operating Expenses,236.11,236.11,224.73,224.73
6,Operating Income,68.35,68.35,64.34,64.34
7,Interest Expense,-1.17,-1.17,-1.59,-1.59
8,Interest & Investment Income,11.98,11.98,7.27,7.27
9,Earnings From Equity Investments,0.12,0.12,0.01,0.01
10,Currency Exchange Gain (Loss),2.98,2.98,0.04,0.04
11,EBT Excluding Unusual Items,82.26,82.26,70.07,70.07
12,Gain (Loss) on Sale of Investments,-24.52,-24.52,10.66,10.66
13,Gain (Loss) on Sale of Assets,0.12,0.12,0.4,0.4
14,Other Unusual Items,0.05,0.05,-0.01,-0.01
15,Pretax Income,57.9,57.9,81.12,81.12
16,Income Tax Expense,15.15,15.15,22.83,22.83
17,Earnings From Continuing Operations,42.75,42.75,58.29,58.29
18,Minority Interest in Earnings,0.24,0.24,-4.44,-4.44
19,Net Income,42.99,42.99,53.85,53.85
20,Net Income to Common,42.99,42.99,53.85,53.85
21,Shares Outstanding (Basic),2747,2747,2670,2670
22,Shares Outstanding (Diluted),2747,2747,2670,2670
23,EPS (Basic),0.02,0.02,0.02,0.02
24,EPS (Diluted),0.02,0.02,0.02,0.02
25,Free Cash Flow,60.9,60.9,99.4,99.4
26,Free Cash Flow Per Share,0.02,0.02,0.04,0.04
27,Gross Margin,22.85%,22.85%,20.94%,20.94%
28,Operating Margin,5.13%,5.13%,4.66%,4.66%
29,Profit Margin,3.23%,3.23%,3.90%,3.90%
30,Free Cash Flow Margin,4.57%,4.57%,7.20%,7.20%
31,EBITDA,81.87,81.87,75.52,75.52
32,EBITDA Margin,6.14%,6.14%,5.47%,5.47%
33,D&A For EBITDA,13.52,13.52,11.18,11.18
34,EBIT,68.35,68.35,64.34,64.34
35,EBIT Margin,5.13%,5.13%,4.66%,4.66%
36,Effective Tax Rate,26.16%,26.16%,28.15%,28.15%
