Stock Symbol,Date,Stock Price
688003,2024-09-30,36.98
688003,2024-06-30,32.76
688003,2024-03-31,36.54
688003,2023-12-31,36.86
688003,2023-09-30,38.17
688003,2023-06-30,43.85
688003,2023-03-31,40.5
688003,2022-12-31,30.81
688003,2022-09-30,31.0
688003,2022-06-30,32.18
688003,2022-03-31,27.62
688003,2021-12-31,36.54
688003,2021-09-30,35.5
688003,2021-06-30,33.45
688003,2021-03-31,27.41
688003,2020-12-31,28.41
688003,2020-09-30,30.03
688003,2020-06-30,28.56
688003,2020-03-31,24.16
688003,2019-12-31,27.44
