,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,407,1230,1591,1598,1382,611,625,875,1598,1709,1876,Upgrade
1,Market Cap Growth,-23.02%,-23.02%,15.11%,161.36%,121.11%,-30.16%,-60.87%,-48.78%,-14.81%,15.49%,-30.77%,Upgrade
2,Enterprise Value,2139,3012,3303,3123,2850,2489,2612,2777,2505,2626,2667,Upgrade
3,Last Close Price,0.05,0.16,0.21,0.23,0.20,0.09,0.09,0.13,0.23,0.25,0.27,Upgrade
4,PE Ratio,-,-,-,-,5.21,-11.47,-,-,-,-,-,Upgrade
5,PS Ratio,1.41,4.29,5.22,1.31,0.86,1.48,80.42,-7.66,71.45,10.53,54.42,Upgrade
6,PB Ratio,425.29,425.29,18.10,83.19,9.28,-27.72,-5.07,8.75,7.70,4.63,4.76,Upgrade
7,P/TBV Ratio,-,-,28.62,-,13.90,-,-,-,17.32,5.75,5.74,Upgrade
8,P/FCF Ratio,-,-264.85,-,-,9.93,3.20,3.54,-21.37,-,-8.66,-,Upgrade
9,P/OCF Ratio,-,-374.18,-,-,4.47,4.37,3.54,3.81,5.10,15.69,-,Upgrade
10,EV/Sales Ratio,7.47,10.51,10.83,2.56,1.78,6.01,-,-24.31,-,16.18,77.38,Upgrade
11,EV/EBITDA Ratio,31.23,-,57.94,-,5.07,-,-,-,-,-124.57,-,Upgrade
12,EV/EBIT Ratio,45.17,-,88.23,-,5.27,-,-,-,-,-52.53,-,Upgrade
13,EV/FCF Ratio,-460.62,-648.56,-,-,20.47,13.04,14.78,-67.80,-,-13.31,-,Upgrade
14,Debt / Equity Ratio,593.21,593.21,20.06,89.18,10.04,-69.85,-15.29,20.05,9.30,2.60,2.34,Upgrade
15,Debt / FCF Ratio,-,-369.42,-,-,10.74,8.07,10.66,-48.96,-,-4.86,-,Upgrade
16,Return on Capital Employed (ROCE),2.36%,-,1.79%,-,46.20%,-,-,-,-,-5.04%,-,Upgrade
17,Earnings Yield,-41.11%,-13.62%,-12.11%,-0.88%,19.18%,-8.72%,-52.19%,-34.34%,-13.63%,-10.36%,-10.79%,Upgrade
18,FCF Yield,-1.14%,-0.38%,-16.18%,-5.55%,10.07%,31.22%,28.26%,-4.68%,-1.59%,-11.55%,-15.76%,Upgrade
19,Buyback Yield / Dilution,-10.04%,-10.66%,-9.41%,-,-,-,-,-,-,-,0.02%,Upgrade
20,Total Shareholder Return,-10.04%,-10.66%,-9.41%,-,-,-,-,-,-,-,0.02%,Upgrade
