,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023"
0,Debt / Equity Ratio,0.35,0.35,0.02,-
1,Debt / FCF Ratio,4.52,-,0.12,-
2,Return on Capital Employed (ROCE),15.11%,15.11%,16.93%,-
3,Buyback Yield / Dilution,-12.25%,-18.75%,-,-
4,Total Shareholder Return,-12.25%,-18.75%,-,-
