,Fiscal Quarter,H1 2024,H2 2023,H1 2023
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023"
0,Revenue,22.83,25.17,16.33
1,Revenue Growth (YoY),39.81%,-,-
2,Cost of Revenue,6.59,6.05,5.36
3,Gross Profit,16.24,19.13,10.97
4,"Selling, General & Admin",5.49,6.45,3.7
5,Research & Development,0.28,0.11,-
6,Other Operating Expenses,0.01,0.95,-0.07
7,Operating Expenses,5.9,7.24,5.22
8,Operating Income,10.34,11.88,5.74
9,Interest Expense,-0.49,-0.08,-0.14
10,Interest & Investment Income,0.05,0.18,0.15
11,Currency Exchange Gain (Loss),-0.08,-,-
12,Pretax Income,9.82,11.98,5.75
13,Income Tax Expense,2.47,3.01,1.47
14,Net Income,7.34,8.97,4.28
15,Net Income to Common,7.34,8.97,4.28
16,Net Income Growth,71.41%,-,-
17,Shares Outstanding (Basic),24,21,20
18,Shares Outstanding (Diluted),24,21,20
19,Shares Change (YoY),18.75%,-,-
20,EPS (Basic),0.31,0.42,0.21
21,EPS (Diluted),0.31,0.42,0.21
22,EPS Growth,44.34%,-,-
23,Free Cash Flow,-10.05,18.58,-1.18
24,Free Cash Flow Per Share,-0.42,0.88,-0.06
25,Operating Margin,45.29%,47.21%,35.17%
26,Profit Margin,32.16%,35.64%,26.24%
27,Free Cash Flow Margin,-44.03%,73.83%,-7.21%
28,EBITDA,11.33,12.44,6.52
29,D&A For EBITDA,0.99,0.56,0.78
30,EBIT,10.34,11.88,5.74
