,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,1476,1484,1385,2147,1616,1888,2063,3241,3500,3942,5361,Upgrade
1,Market Cap Growth,-30.89%,-30.89%,-14.32%,13.75%,-21.66%,-41.76%,-41.05%,-17.78%,-34.72%,-31.09%,-17.41%,Upgrade
2,Enterprise Value,3011,3014,2825,3419,2997,2957,2880,3781,4248,4940,6978,Upgrade
3,Last Close Price,3.16,3.32,3.16,4.90,3.69,4.31,4.71,7.40,7.99,9.00,11.99,Upgrade
4,PE Ratio,-,-,-,-,-,-,-,-,-12.46,-,-,Upgrade
5,Forward PE,-,9.34,9.34,9.34,9.34,9.34,9.34,9.34,9.34,9.11,9.74,Upgrade
6,PS Ratio,0.42,0.45,0.42,0.65,0.45,0.54,0.71,1.18,1.28,1.35,1.47,Upgrade
7,PB Ratio,0.55,0.59,0.51,0.68,0.45,0.44,0.45,0.64,0.66,0.76,0.96,Upgrade
8,P/TBV Ratio,0.64,0.64,0.56,0.78,0.51,0.50,0.52,0.70,0.71,0.81,1.02,Upgrade
9,P/FCF Ratio,-,-14.22,-,-,-,-,-,-,-52.44,-,10.63,Upgrade
10,P/OCF Ratio,-,-34.61,-,-,-,-,-,-,113.67,-,6.98,Upgrade
11,PEG Ratio,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,Upgrade
12,EV/Sales Ratio,0.92,0.92,0.85,1.03,0.84,0.85,0.99,1.38,1.56,1.70,1.91,Upgrade
13,EV/EBITDA Ratio,133.28,-89.91,-,-,-,-,-,-,-,-,-,Upgrade
14,EV/FCF Ratio,-28.86,-28.89,-,-,-,-,-,-,-63.65,-,13.83,Upgrade
15,Debt / Equity Ratio,0.90,0.90,0.85,0.75,0.63,0.53,0.45,0.76,0.72,0.36,0.41,Upgrade
16,Debt / FCF Ratio,-,-21.75,-,-,-,-,-,-,-56.83,-,4.52,Upgrade
17,Earnings Yield,-33.85%,-33.66%,-55.08%,-46.08%,-49.94%,-31.12%,-31.35%,-8.37%,-8.03%,-20.31%,-5.50%,Upgrade
18,FCF Yield,-7.07%,-7.03%,-17.40%,-9.82%,-25.83%,-25.98%,-19.19%,-6.14%,-1.91%,-0.35%,9.41%,Upgrade
19,Dividend Yield,0.00%,-,-,-,-,-,-,-,-,-,4.17%,Upgrade
20,Buyback Yield / Dilution,-0.21%,-0.40%,-0.03%,-0.02%,-,-,-,-,-,-,-,Upgrade
21,Total Shareholder Return,-0.21%,-0.40%,-0.03%,-0.02%,-,-,-,-,-,-,4.17%,Upgrade
