,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,630,593,519,704,945,1315,1142,919,867,387,394,Upgrade
1,Market Cap Growth,-15.79%,-15.79%,-45.10%,-46.48%,-17.32%,43.06%,31.82%,137.29%,120.00%,-32.18%,-46.43%,Upgrade
2,Enterprise Value,7108,6622,4609,4947,4817,4227,4221,4026,3755,2510,2290,Upgrade
3,Last Close Price,0.34,0.32,0.28,0.38,0.51,0.71,0.87,0.70,0.66,0.29,0.30,Upgrade
4,PE Ratio,5.34,5.03,4.82,6.51,10.24,29.16,-,25.38,-,4.48,4.07,Upgrade
5,PS Ratio,0.38,0.36,0.30,0.39,0.44,1.07,-,0.88,-,0.14,0.14,Upgrade
6,PB Ratio,0.35,0.32,0.29,0.42,0.56,0.76,0.89,0.78,0.77,0.41,0.42,Upgrade
7,P/TBV Ratio,0.33,0.33,0.30,0.43,0.57,0.78,0.93,0.79,0.78,0.42,0.42,Upgrade
8,P/FCF Ratio,-,-0.42,-,-,-,4.87,-,8.12,-,-,-,Upgrade
9,P/OCF Ratio,0.78,0.78,1.76,-,-,4.87,-,7.81,-,-,-,Upgrade
10,EV/Sales Ratio,4.32,4.03,2.66,2.71,2.25,3.45,-,3.86,-,0.88,0.79,Upgrade
11,EV/EBITDA Ratio,10.15,9.82,8.65,10.56,11.24,21.61,-,22.43,-,10.51,9.39,Upgrade
12,EV/EBIT Ratio,18.21,16.99,14.28,17.74,19.12,38.75,-,39.18,-,15.76,13.95,Upgrade
13,EV/FCF Ratio,-5.05,-4.70,-,-,-,15.65,-,35.55,-,-,-,Upgrade
14,Debt / Equity Ratio,4.05,4.05,4.39,3.50,3.08,2.75,2.84,3.09,3.11,3.67,2.77,Upgrade
15,Debt / FCF Ratio,-,-5.28,-,-,-,17.58,-,32.25,-,-,-,Upgrade
16,Return on Capital Employed (ROCE),5.14%,5.14%,4.32%,6.07%,5.92%,2.63%,-,3.38%,-,7.55%,9.53%,Upgrade
17,Earnings Yield,18.72%,19.89%,20.77%,15.35%,9.77%,3.43%,-,3.94%,-,22.34%,24.58%,Upgrade
18,FCF Yield,-223.70%,-237.68%,-361.08%,-175.30%,-77.52%,20.54%,-,12.32%,-,-232.42%,-124.33%,Upgrade
19,Buyback Yield / Dilution,0.09%,-,0.17%,-26.17%,-,-11.79%,-,-,-,-,-,Upgrade
20,Total Shareholder Return,0.09%,-,0.17%,-26.17%,-,-11.79%,-,-,-,-,-,Upgrade
