Stock Symbol,Date,Stock Price
002511,2024-09-30,7.95
002511,2024-06-30,6.92
002511,2024-03-31,8.39
002511,2023-12-31,9.92
002511,2023-09-30,10.17
002511,2023-06-30,11.07
002511,2023-03-31,11.94
002511,2022-12-31,13.56
002511,2022-09-30,10.05
002511,2022-06-30,12.36
002511,2022-03-31,11.74
002511,2021-12-31,16.34
002511,2021-09-30,16.9
002511,2021-06-30,26.95
002511,2021-03-31,25.19
002511,2020-12-31,20.34
002511,2020-09-30,20.9
002511,2020-06-30,21.73
002511,2020-03-31,16.45
002511,2019-12-31,12.29
