,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022"
0,"Selling, General & Admin",57.28,62.98,60.27,66.21,5.93
1,Operating Expenses,57.28,62.98,60.27,66.21,5.93
2,Operating Income,-57.28,-62.98,-60.27,-66.21,-5.93
3,Interest & Investment Income,22.55,25.31,19.41,7.47,0.11
4,Currency Exchange Gain (Loss),-0.01,-0.03,-0.02,-0.08,-0.03
5,Other Non Operating Income (Expenses),-,5.26,-,-11.79,-91.1
6,Pretax Income,-34.74,-32.44,-40.88,-70.62,-96.94
7,Net Income,-34.74,-32.44,-40.88,-70.62,-96.94
8,Net Income to Common,-34.74,-32.44,-40.88,-70.62,-96.94
9,Shares Outstanding (Basic),25,25,25,25,22
10,Shares Outstanding (Diluted),25,25,25,25,22
11,Shares Change (YoY),-,-0.82%,14.18%,-,-
12,EPS (Basic),-1.39,-1.30,-1.63,-2.80,-4.42
13,EPS (Diluted),-1.39,-1.30,-1.63,-2.80,-4.42
14,Free Cash Flow,-2.71,-6.42,-7.08,-12.87,-23.4
15,Free Cash Flow Per Share,-0.11,-0.26,-0.28,-0.51,-1.07
16,EBIT,-57.28,-62.98,-60.27,-66.21,-5.93
