,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022
,Period Ending,"Nov '24 Nov 11, 2024","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022"
0,Market Capitalization,1201,1095,1249,1239,1239,1232
1,Market Cap Growth,-11.62%,-11.62%,0.81%,0.51%,-,-
2,Enterprise Value,1142,1056,1228,1231,1227,-
3,Last Close Price,9.60,8.47,9.66,9.59,9.59,9.54
4,PB Ratio,-957.87,-957.87,-59.79,-28.34,-21.73,-21.85
5,Earnings Yield,-5.59%,-6.14%,-5.87%,-9.00%,-13.53%,-7.87%
6,FCF Yield,-0.83%,-0.83%,-1.08%,-1.61%,-2.93%,-1.90%
7,Buyback Yield / Dilution,-6.15%,-,0.82%,-14.18%,-,-
8,Total Shareholder Return,-3.03%,-,0.82%,-14.18%,-,-
