,Fiscal Quarter,Current,Q2 2024,Q1 2024,Q2 2023,Q1 2023
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023"
0,Market Capitalization,22144,17988,-,-,-
1,Enterprise Value,18709,27049,-,-,-
2,Last Close Price,6.50,5.28,-,-,-
3,PS Ratio,18.62,91.68,-,-,-
4,PB Ratio,5.01,4.04,-,-,-
5,P/TBV Ratio,4.08,4.08,-,-,-
6,EV/Sales Ratio,88.35,137.86,-,-,-
7,Debt / Equity Ratio,0.04,0.04,0.04,-,-1.78
8,Asset Turnover,0.05,-,-,-,
9,Quick Ratio,15.44,15.44,15.44,-,-
10,Current Ratio,15.68,15.68,15.68,-,-
11,Return on Equity (ROE),-59.76%,-,-,-,
12,Return on Assets (ROA),-11.88%,-,-,-,
13,Return on Capital (ROIC),-12.31%,-,-,-,
14,Earnings Yield,-12.32%,-11.05%,-,-,-
15,FCF Yield,-3.30%,-4.02%,-,-,-
