,Fiscal Quarter,Q2 2024,Q1 2024,Q2 2023,Q1 2023
,Period Ending,"Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023"
0,Cash & Equivalents,1314.0,1314.0,-,-
1,Short-Term Investments,417.02,417.02,-,-
2,Trading Asset Securities,1655.0,1655.0,-,-
3,Cash & Short-Term Investments,3386.0,3386.0,-,3483
4,Accounts Receivable,58.53,58.53,-,-
5,Other Receivables,13.0,13.0,-,-
6,Receivables,76.53,76.53,-,-
7,Restricted Cash,0.53,0.53,-,-
8,Other Current Assets,47.03,47.03,-,-
9,Total Current Assets,3510.0,3510.0,-,-
10,"Property, Plant & Equipment",452.37,452.37,-,-
11,Long-Term Investments,480.55,480.55,-,-
12,Other Intangible Assets,7.85,7.85,-,-
13,Other Long-Term Assets,11.72,11.72,-,-
14,Total Assets,4463.0,4463.0,-,-
15,Accounts Payable,7.7,7.7,-,-
16,Accrued Expenses,49.56,49.56,-,-
17,Short-Term Debt,64.9,64.9,-,-
18,Current Portion of Leases,23.25,23.25,-,-
19,Current Income Taxes Payable,2.17,2.17,-,-
20,Current Unearned Revenue,32.21,32.21,-,-
21,Other Current Liabilities,44.09,44.09,-,-
22,Total Current Liabilities,223.87,223.87,-,-
23,Long-Term Leases,75.42,75.42,-,-
24,Long-Term Unearned Revenue,21.78,21.78,-,-
25,Total Liabilities,321.07,321.07,-,-
26,Common Stock,0.24,0.24,-,-
27,Additional Paid-In Capital,12588.0,12588.0,-,-
28,Retained Earnings,-8293.0,-8293.0,-,-
29,Treasury Stock,-0.02,-0.02,-,-
30,Comprehensive Income & Other,-179.93,-179.93,-,-
31,Total Common Equity,4116.0,4116.0,-,-5328
32,Minority Interest,25.85,25.85,-,-
33,Shareholders' Equity,4142.0,4142.0,-,-5310
34,Total Liabilities & Equity,4463.0,4463.0,-,-
35,Total Debt,163.57,163.57,-,9450
36,Net Cash (Debt),3222.0,3222.0,-,-5968
37,Net Cash Per Share,4.42,4.42,-,-12.33
38,Filing Date Shares Outstanding,3407.0,3407.0,483.98,483.98
39,Total Common Shares Outstanding,3407.0,3407.0,483.98,483.98
40,Working Capital,3286.0,3286.0,-,-
41,Book Value Per Share,1.21,1.21,-,-11.01
42,Tangible Book Value,4108.0,4108.0,-,-5334
43,Tangible Book Value Per Share,1.21,1.21,-,-11.02
