,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024
,Period Ending,"Mar '25 Mar 11, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024"
0,Asset Turnover,0.95,0.88,-,
1,Inventory Turnover,-,5.12,4.84,-
2,Quick Ratio,3.71,3.71,3.71,3.71
3,Current Ratio,4.92,4.92,4.98,4.98
4,Return on Equity (ROE),13.14%,12.53%,-,
5,Return on Assets (ROA),9.56%,6.58%,-,
6,Return on Capital (ROIC),11.29%,7.76%,-,
7,Return on Capital Employed (ROCE),12.62%,10.08%,5.98%,2.99%
