Stock Symbol,Date,Stock Price
002142,2024-09-30,25.7
002142,2024-06-30,21.45
002142,2024-03-31,20.06
002142,2023-12-31,19.55
002142,2023-09-30,26.13
002142,2023-06-30,24.1
002142,2023-03-31,26.02
002142,2022-12-31,30.91
002142,2022-09-30,30.06
002142,2022-06-30,33.6
002142,2022-03-31,35.09
002142,2021-12-31,35.92
002142,2021-09-30,31.53
002142,2021-06-30,34.46
002142,2021-03-31,34.39
002142,2020-12-31,31.25
002142,2020-09-30,27.84
002142,2020-06-30,22.9
002142,2020-03-31,20.09
002142,2019-12-31,24.5
