,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,1689,3323,828,226,410,792,831,784,580,1088,696,Upgrade
1,Market Cap Growth,1368.97%,1368.97%,102.29%,-71.43%,-50.70%,1.00%,43.22%,-27.92%,-16.67%,114.29%,-12.73%,Upgrade
2,Enterprise Value,2002,3575,1158,629,901,1146,1195,1276,997,1444,847,Upgrade
3,Last Close Price,0.30,0.71,0.18,0.06,0.10,0.20,0.21,0.20,0.20,0.38,0.24,Upgrade
4,PE Ratio,-,-,-,-,-,61.90,-,45.49,27.25,64.43,-,Upgrade
5,PS Ratio,1.80,4.58,1.94,0.52,0.53,0.41,0.39,0.32,0.19,0.93,-,Upgrade
6,PB Ratio,4.39,10.40,2.26,0.47,0.72,1.25,1.29,1.06,1.09,2.24,1.41,Upgrade
7,P/TBV Ratio,10.42,10.42,2.26,0.48,0.72,1.26,1.29,1.06,1.09,2.24,1.41,Upgrade
8,P/FCF Ratio,-,-,19.02,3.72,-7.32,-,-3.45,-,-,4.46,-,Upgrade
9,P/OCF Ratio,-,-,18.48,3.62,-7.63,-,-3.45,-,-,4.46,-,Upgrade
10,EV/Sales Ratio,2.76,4.93,2.71,1.44,1.17,0.59,0.56,0.52,0.33,1.23,-,Upgrade
11,EV/EBITDA Ratio,-,-1448.69,-,-,-,19.91,36.05,22.93,17.83,46.32,-,Upgrade
12,EV/EBIT Ratio,-,-,-,-,-,22.49,38.44,23.82,18.53,47.94,-,Upgrade
13,EV/FCF Ratio,-45.87,-,26.60,10.33,-16.11,-,-4.96,-,-,5.92,-,Upgrade
14,Debt / Equity Ratio,1.16,1.16,1.04,0.82,0.83,0.89,0.82,0.74,1.25,0.96,0.93,Upgrade
15,Debt / FCF Ratio,-,-,8.76,6.50,-8.42,-,-2.19,-,-,1.90,-,Upgrade
16,Return on Capital Employed (ROCE),-,-,-,-,-,6.82%,4.38%,6.68%,9.06%,5.54%,-,Upgrade
17,Earnings Yield,-9.74%,-4.95%,-24.35%,-52.89%,-3.48%,1.62%,-0.68%,2.20%,3.67%,1.55%,-,Upgrade
18,FCF Yield,-2.58%,-1.31%,5.26%,26.90%,-13.66%,-7.23%,-29.01%,-47.44%,25.14%,22.42%,-,Upgrade
19,Buyback Yield / Dilution,-11.70%,-20.00%,-3.40%,-,0.24%,-13.32%,-34.80%,-18.67%,-,-,-,Upgrade
20,Total Shareholder Return,-11.70%,-20.00%,-3.40%,-,0.24%,-13.32%,-34.80%,-18.67%,-,-,-,Upgrade
