,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,2728,2915,3283,3316,3564,3920,3799,4194,3944,3652,4140,Upgrade
1,Market Cap Growth,-12.09%,-12.09%,-7.87%,-15.42%,-6.18%,-6.52%,-3.69%,14.83%,-4.73%,-15.02%,-5.95%,Upgrade
2,Enterprise Value,9024,9366,9341,9480,6859,7335,7225,7635,7352,7675,8159,Upgrade
3,Last Close Price,1.87,1.92,2.07,1.92,1.99,2.11,1.97,2.11,1.91,1.71,2.12,Upgrade
4,PE Ratio,44.28,47.06,-38.43,-,-,8.55,6.07,12.10,-17.49,-,16.59,Upgrade
5,PS Ratio,3.43,3.71,4.07,4.55,5.46,6.21,5.86,6.74,6.23,6.05,6.77,Upgrade
6,PB Ratio,0.42,0.38,0.42,0.42,0.42,0.50,0.46,0.54,0.52,0.51,0.57,Upgrade
7,P/FCF Ratio,6.03,6.03,6.16,6.96,8.09,9.52,8.91,9.15,9.61,9.82,9.84,Upgrade
8,P/OCF Ratio,6.03,6.03,6.16,6.96,8.09,9.52,8.91,9.15,9.61,9.82,9.84,Upgrade
9,EV/Sales Ratio,11.50,11.93,11.58,13.02,10.50,11.62,11.14,12.27,11.61,12.71,13.34,Upgrade
10,EV/EBIT Ratio,25.31,26.26,25.35,16.88,13.31,18.57,17.78,19.82,19.03,20.26,21.15,Upgrade
11,EV/FCF Ratio,19.37,19.37,17.53,19.90,15.56,17.81,16.94,16.67,17.91,20.64,19.39,Upgrade
12,Debt / Equity Ratio,0.74,0.74,0.72,0.70,0.65,0.46,0.45,0.46,0.47,0.50,0.58,Upgrade
13,Debt / FCF Ratio,11.57,11.57,10.56,11.66,12.49,8.82,8.55,7.92,8.83,9.59,9.89,Upgrade
14,Earnings Yield,2.27%,2.13%,-2.60%,-5.16%,0.90%,11.69%,16.48%,8.26%,-5.72%,-5.87%,6.03%,Upgrade
15,FCF Yield,16.59%,16.59%,16.23%,14.37%,12.37%,10.51%,11.23%,10.92%,10.41%,10.18%,10.16%,Upgrade
16,Dividend Yield,9.63%,9.17%,9.16%,10.36%,10.64%,10.28%,11.16%,9.80%,10.45%,10.72%,8.91%,Upgrade
17,Buyback Yield / Dilution,2.79%,2.64%,3.28%,-0.66%,-0.98%,-0.83%,-0.97%,-1.18%,9.26%,-13.38%,-26.43%,Upgrade
18,Total Shareholder Return,12.41%,11.81%,12.44%,9.70%,9.66%,9.45%,10.18%,8.62%,19.71%,-2.66%,-17.52%,Upgrade
