,Fiscal Quarter,Current,Q4 2024,Q4 2023,Q4 2019,Q4 2018
,Period Ending,"Mar '25 Mar 12, 2025","Dec '24 Dec 31, 2024","Dec '23 Dec 31, 2023","Dec '19 Dec 31, 2019","Dec '18 Dec 31, 2018"
0,Last Close Price,8400.00,8000.00,10583.33,5019.10,2426.26
1,Debt / Equity Ratio,1.09,1.09,0.41,2.11,-
2,Debt / EBITDA Ratio,-,9.25,-,-,-
3,Quick Ratio,0.70,0.70,0.76,0.70,-
4,Current Ratio,1.40,1.40,1.46,1.11,-
5,Return on Capital Employed (ROCE),-,18.14%,14.95%,12.25%,-
