,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,9681,10234,9082,8114,8529,10419,10004,10465,5670,5302,8851,Upgrade
1,Market Cap Growth,26.14%,26.14%,6.49%,-22.12%,-14.75%,-0.44%,76.42%,97.39%,-35.94%,-46.01%,-21.95%,Upgrade
2,Enterprise Value,-1633,-1455,-1270,-3099,-2146,-1035,274,1844,-598,-1479,2553,Upgrade
3,Last Close Price,2.10,2.22,1.79,1.60,1.51,1.85,1.66,1.74,0.90,0.84,1.32,Upgrade
4,PE Ratio,6.66,7.04,3.46,3.10,4.59,7.48,5.44,5.18,6.40,10.40,11.25,Upgrade
5,Forward PE,7.44,7.46,4.82,4.50,4.16,4.83,5.00,8.49,8.25,6.71,8.78,Upgrade
6,PS Ratio,0.70,0.74,0.63,0.57,0.53,0.61,0.61,0.75,0.46,0.46,0.73,Upgrade
7,PB Ratio,0.50,0.50,0.42,0.40,0.42,0.52,0.48,0.52,0.31,0.32,0.52,Upgrade
8,P/TBV Ratio,0.53,0.53,0.45,0.43,0.45,0.56,0.52,0.56,0.33,0.34,0.55,Upgrade
9,P/FCF Ratio,5.87,6.20,8.91,11.56,9.35,6.67,4.34,5.57,5.36,10.66,10.10,Upgrade
10,P/OCF Ratio,4.65,4.65,5.34,4.23,3.52,3.46,2.77,4.03,3.78,5.81,6.92,Upgrade
11,PEG Ratio,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,Upgrade
12,EV/Sales Ratio,-,-,-,-,-,-,0.02,0.13,-,-,0.21,Upgrade
13,EV/EBITDA Ratio,-,-,-,-,-,-,0.08,0.77,-,-,1.44,Upgrade
14,EV/EBIT Ratio,-,-,-,-,-,-,0.10,1.09,-,-,2.37,Upgrade
15,EV/FCF Ratio,-0.99,-,-,-,-,-,0.12,0.98,-,-,2.91,Upgrade
16,Debt / Equity Ratio,0.12,0.12,0.10,0.11,0.12,0.10,0.06,0.06,0.13,0.14,0.13,Upgrade
17,Debt / FCF Ratio,1.47,1.47,2.18,3.10,2.58,1.23,0.56,0.61,2.22,4.55,2.60,Upgrade
18,Return on Capital Employed (ROCE),5.92%,5.92%,6.20%,7.18%,9.36%,12.54%,12.37%,8.36%,4.35%,3.87%,6.09%,Upgrade
19,Earnings Yield,15.02%,14.21%,28.89%,32.24%,21.77%,13.37%,18.38%,19.32%,15.61%,9.61%,8.89%,Upgrade
20,FCF Yield,17.04%,16.12%,11.23%,8.65%,10.69%,15.00%,23.06%,17.95%,18.65%,9.38%,9.90%,Upgrade
