,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,41,72,43,52,99,237,448,362,520,1133,2071,Upgrade
1,Market Cap Growth,37.50%,37.50%,-56.80%,-78.00%,-77.94%,-34.55%,-13.92%,-68.02%,-74.88%,-33.75%,1.61%,Upgrade
2,Enterprise Value,704,719,676,666,956,1128,1349,1232,1340,1863,2725,Upgrade
3,Last Close Price,0.07,0.12,0.07,0.11,0.21,0.62,1.16,0.94,1.35,2.94,5.38,Upgrade
4,PE Ratio,-,-,-,-,70.35,-,-,-,-,-,9.87,Upgrade
5,PS Ratio,0.17,0.27,0.16,0.21,0.26,0.50,1.08,0.65,0.70,0.98,1.37,Upgrade
6,PB Ratio,0.08,0.14,0.07,0.06,0.09,0.24,0.38,0.25,0.36,0.85,1.49,Upgrade
7,P/TBV Ratio,0.16,0.16,0.08,0.06,0.10,0.26,0.40,0.27,0.38,0.90,1.58,Upgrade
8,P/FCF Ratio,4.63,-,5.53,-,-,3.80,-67.78,-,-7.18,-,11.82,Upgrade
9,P/OCF Ratio,1.60,1.60,1.19,-43.79,-,2.73,4.20,2.43,17.46,-,7.14,Upgrade
10,EV/Sales Ratio,2.64,2.69,2.57,2.69,2.49,2.39,3.24,2.20,1.80,1.61,1.80,Upgrade
11,EV/EBITDA Ratio,-,-,-,-,-,-191.70,-,19.94,10.83,6.69,6.58,Upgrade
12,EV/EBIT Ratio,-,-,-,-,-,-,-,-,-,10.59,8.44,Upgrade
13,EV/FCF Ratio,78.57,-,87.69,-,-,18.08,-204.14,-,-18.50,-,15.55,Upgrade
14,Debt / Equity Ratio,1.41,1.41,1.12,0.73,0.59,0.89,0.77,0.64,0.62,0.64,0.71,Upgrade
15,Debt / FCF Ratio,78.53,-,89.17,-,-,14.17,-138.66,-,-12.51,-,5.62,Upgrade
16,Return on Capital Employed (ROCE),-,-,-,-,-,-,-,-,-,9.35%,18.46%,Upgrade
17,Earnings Yield,-940.07%,-543.84%,-992.81%,-30.00%,1.42%,-160.91%,-74.12%,-29.89%,-14.23%,7.15%,10.13%,Upgrade
18,FCF Yield,21.59%,12.49%,18.08%,-26.56%,22.94%,26.31%,-1.48%,-9.73%,-13.92%,9.02%,8.46%,Upgrade
19,Buyback Yield / Dilution,-62.48%,-50.00%,-75.35%,-20.00%,-16.33%,-0.00%,-0.01%,-0.01%,-0.14%,-0.14%,-,Upgrade
20,Total Shareholder Return,-62.48%,-50.00%,-75.35%,-20.00%,-16.33%,-0.00%,-0.01%,-0.01%,-0.14%,-0.14%,-,Upgrade
